Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2,Total_ChrF
And he do know what do situation.,And he does not know what to do about this whole situation.,He do know what do situation.,35.1680526720751,0.8558949,He do know what to do.,He do know what to do in the situation.,60.01009408312324
And she go on explain she say she be too.,And then she went on to explain she said maybe she was too strong.,She's a teacher.,5.187423110218329,0.68775165,She's a very good explainer.,She's a very good teacher.,45.366319891815365
He is like let us have sexes tonight hearts monitor.,So she had to wear that heart monitor and gordy said you know they want to have a baby and he is like he is like let us have sex tonight with that heart monitor.,He is sexy.,2.269525163057353,0.73983884,He is a man.,He is sexy and charming.,25.573994508171072
Alright i be pouring cold liquid nitrogens over balloon.,Alright i am pouring the very cold liquid nitrogen over this balloon.,i'm going to blow it up.,8.383101726884929,0.8018328,i'm going to blow the balloon up.,i'm going to blow the balloon up with liquid nitrogen.,49.4882410345589
I do not know they did either.,I do not know why they did not either.,I do not know how they were able to do it.,40.01309176314277,0.792922,I do not know what they did.,I do not know how they were able to do that.,58.44237987162854
And he give me permission tell story.,And he gave me permission to tell the story.,He was a man of integrity.,10.164219386121404,0.71207243,He was a man of great wisdom.,He was a man of great stories.,53.415660258190336
You can overcome that little bits by get their muscle shape.,You can overcome that a little bit by getting your muscle in better shape.,They will be able to run faster.,8.991711290490569,0.73971,They will be able to overcome their little bits.,They will be able to run faster than before.,52.530567672992014
Like how come it is the news.,Like how come it is not on the news.,I don't get it.,7.477519200339623,0.7180723,I don't know.,I don't get it. I don't know.,47.33395543132313
Stephanie said to me friday this is historic day.,Stephanie said to me on friday this is an historic day.,Stephanie is very excited.,21.42282653788691,0.81840765,Stephanie is excited.,Stephanie is very excited about it.,67.57002675647874
A herds of pig was feed hillside.,A large herd of pigs was feeding on the nearby hillside.,The pigs were in a pen.,12.63777337785698,0.83450246,The pigs were in a barn.,The pigs were in the pasture.,59.16251043791797
The people begin plead jesus to leave their region.,Then the people began to plead with jesus to leave their region.,jesus is unable to leave.,18.83441082972206,0.7681248,jesus is unable to leave and begins to scream at the people.,jesus is unable to leave and begins to scold them.,58.406021090047965
And you turn it and put chocolate side.,And then you turn it over and put chocolate on the other side.,And you put it on a plate and eat it.,17.81022968587137,0.7849078,And you put it on top of ice cream.,And you put it on a plate and eat.,63.53935860384223
Today and i mean everything looked at stores.,Today and i mean everything looked good at the store.,Today everything looked at stores.,50.19583424511575,0.8637583,Today everything looked at stores.,Today was a good day.,57.21405590137736
I ate today than i have week long though.,I ate more today than i probably have all week long though.,I was so hungry.,4.888289823526323,0.8227211,I was so hungry today.,I was hungry today.,62.82638560918791
Well it be pack up garbage bags now.,Well it is all packed up in garbage bags now.,The garbage truck be coming soon.,23.153121748394376,0.7694529,The garbage truck is going to pick them up.,The garbage truck be coming.,63.81654362612037
I say i would be get seven hundred.,I said i would be happy to get seven hundred.,I am a skeptic.,4.8076923076923075,0.68517596,I am a sailor.,I am a math major.,21.904726125040057
I always make sure i have a fivehundreddollar balance.,So i always make sure i have a minimum fivehundreddollar balance.,I want to be able to pay my bills.,7.826523567438648,0.75600004,I want to be able to pay my bill.,I want to be able to pay off my credit card.,65.70594396562443
Well then i do understand you like rita.,Well then i do not understand why you like rita.,I do understand that you like rita.,52.08470421892994,0.86058354,I do like rita too.,I do like rita.,59.18548617988603
But she get five or six book,But she got about five or six books and a bunch of cd's apparently frank sinatra.,But she get five or six book.,29.565356718014325,0.868506,But she get five or six book,"But she get five or six book, and that was enough.",66.77293104667157
Neil say these was one most games he saw.,Neil said that was one of the most exciting games he ever saw.,Neil was a big fan of football.,11.248505951449538,0.80317366,Neil was a big fan of basketball.,Neil was a big sports fan.,57.924901053429544
Alright lug swing that arm his way.,Alright lug swing that arm out of your way.,He's going to hit you.,13.452200361082944,0.76729834,He's going to hit it.,He's going to hit you with it.,69.96817735416346
Folks question be did they have to use spillways.,Folks the question is did they ever have to use the spillway.,"No, they didn't have to use spillways.",37.02001963034493,0.81890225,The answer is yes.,"No, they didn't have to.",38.847740189037964
I know somebody who makes living a musician.,I know somebody who makes a living as a musician.,He is a very talented musician.,24.385435989905027,0.8301245,He is a very talented person.,He is a famous singer.,40.84956828576857
I mean there be lot of things you will find something.,I mean there is a lot of things out there you will find something.,You will find a lot of things.,38.15414640716569,0.92222726,You will find something.,You will find a lot of things there.,62.30503668697822
He was here two weeks and i miss him.,He was actually here two weeks ago and i missed him.,He is a great person and a good friend.,14.401525041787597,0.73202085,He is a great person.,He is a great person and i want him back.,60.547631787518796
If there be coffee house campus i am not go.,If there is not a coffee house on the campus i am not going.,I am not a coffee person.,26.831043661745795,0.84385586,I am not a coffee drinker.,I don't like the smell of coffee.,32.61899155133418
Sorts of dictates i feel about be spacesuit.,Sort of dictates how i feel about being in this spacesuit.,I don't think i'd like to be in a spacesuit.,28.132807532639813,0.8270476,I don't think i'd be comfortable in a spacesuit.,I don't think i'd like to wear a spacesuit.,69.26109728919242
What we do that is where ferrier come.,What we do then that is where the ferrier comes in.,Ferrier come.,23.22152220503154,0.85272074,Ferrier come.,Ferrier come from ferrier.,57.609489481255004
That is the biggest crocks shits i have heard.,That is the biggest crock of shit i have ever heard.,I don't want to believe it.,8.831998534174645,0.75978386,I don't want to believe that.,I don't get it.,58.09832520539491
You know save the whale or saving polar bea.,You know saving the whale or saving uh the polar bea.,You can do both.,6.820582994332,0.74370277,You can do something to help them.,You can do something to help.,51.402548605048004
It smells like you are walking dumpster.,It smells like you are walking past a dumpster.,It is a disgusting smell.,16.86266568741627,0.8477386,It is a disgusting place.,It is a dirty place.,54.10149504899946
Just from lift up hoods and look it.,Just from lifting up the hood and looking at it.,You'll see it.,6.014847131488798,0.723837,You'll see that they're not as big as you thought.,You'll see that they're not as big as you think.,46.286784229220125
Do tell him or do tell carolyn.,Do not tell him or do not tell carolyn.,do tell carolyn.,40.04604022545592,0.8229264,do tell carolyn.,do tell him.,65.59338113245946
And liza had go something so they be babysitting cassandra.,And liza had to go do something so they are stuck babysitting cassandra.,liza was the babysitter.,18.409897210651895,0.83986616,liza was exhausted.,liza was happy.,39.92861589522646
I think i was able keep stuff.,I think i was able to keep up with that stuff.,I was able to find a good place to live.,25.506607367040335,0.7669951,I was able to find a lot of it.,I was able to find a good home.,65.5519843555757
And you got have a bunches workers.,And you got to have a bunch of workers.,You can't have a bunch of workers if you don't have a business.,57.377784075448524,0.81879425,You can't do this alone.,You can't have a bunch of workers if you don't have a lot of people.,47.12845889224877
Order overcome your fear we must face our fears.,In order to overcome our fears we must face our fears.,We must be willing to face our fears.,35.705639150498705,0.96563435,We must do what we are afraid of.,"We must be willing to face our fears, no matter what.",40.98708115378601
Yes they put stuff that was three times money.,Yes they put up stuff that was worth three times the money.,They put a lot of money into it.,17.419664764598995,0.82551366,They put a lot of stuff.,They put a lot of money in it.,68.354816351298
My moms do know what do get me.,My mom does not know what to do to get me out.,My mom bought me a new dress.,18.332601889184,0.7257428,My mom bought me a brand new bike for my birthday.,My mom bought me a brand new bike.,58.81488538743044
Midwife said these mother they be have babies without us.,The midwives said well these mothers they are having the babies without us.,They were in labor.,8.156426864881636,0.7787975,They were so happy.,They were so confident.,41.161230570841504
Twenty years they could let guy go.,After twenty years they could let the guy go.,He was a convicted murderer.,9.248978536788833,0.72689986,He had been in jail too long.,He was too old.,16.408883090397435
I do know person can do it.,I do not know how a person can do it.,It's just hard to do.,8.424022571543732,0.81858397,It's just hard.,It's just hard to believe.,64.70109665938357
So jamie old lady go and yelled them.,So jamie the old lady went and yelled at them.,Jamie was very angry.,9.71548847759027,0.84928155,Jamie was angry at them.,Jamie was angry at them for their behavior.,43.70790169892913
They try really great pant and they look in them.,They try on these really great pants and they look really good in them.,They want to wear them all the time.,15.535112982923286,0.82673895,They look like a fashion model.,They look like a fashionista.,35.211538975274614
He get and he would pull thing.,He got up there and he would pull that thing out.,He was a good thief.,9.792787444494566,0.7651696,He was a good wrestler.,He was a good student.,50.94416432861505
She need get into some campus group.,She needs to get into some in campus group.,She is a student at the university.,14.421037448608793,0.8706458,She is a student at a university.,She is a student at a community college.,60.75339838167464
That that your makeup determines who you are.,That that your genetic makeup largely determines who you are.,I think that's a false idea.,9.838246283204139,0.6588192,I think that's true.,I think that's a very flawed idea.,51.96177388979881
I do know how old it is.,So i do not know how old it is.,It is very old.,10.750248181704903,0.82284546,It is a very old house.,It is a very old boat.,51.15071530458616
Yeah we did have it the dining room.,Yeah we did have it once in the dining room.,We had it for a long time.,11.542450491820388,0.76836544,We had it for a while.,We had a lot of it.,42.03073577836173
No i did bring your set keys.,No i did not bring your set of keys.,I'm sorry.,4.132231404958678,0.68518114,"I'm sorry, I forgot.",I'm sure you didn't forget.,23.824551036605506
I mean that looks of like black person.,I mean that looks kind of like a black person.,I want to slap that black person.,38.761396943907975,0.8127515,I am not sure.,I want to slap that person.,39.25635717908056
You argue me enough i changed my mind.,You argued with me long enough i changed my mind.,I'm going to vote for you.,7.866192294342242,0.70664907,I don't think I'm going to change my mind.,"I don't think I'm going to change my mind, though.",47.300041216853685
I think though it is neat watch them.,I think though it is really neat to watch them.,I like watching them do tricks.,20.140949323429012,0.84461343,I can tell they love it.,I can tell that they are very excited.,21.513365784381563
She says we are having them do exercises.,She says now we are having them do uh exercises.,She is a physical therapist.,13.586386420210248,0.7653005,She is a teacher.,She is a doctor.,34.32221984149774
Like describe growth patterns plant or something.,Like describing growth patterns like a plant or something.,I'd like to do something with plants.,29.101633962287405,0.7658999,I'd like to do a word search.,I'd like to do a word search on this.,54.02224719339166
Then i go off and worked couple companies and.,Then i went off and worked for a couple of companies and.,I was able to get a job.,6.219631455795687,0.7791195,I was able to get a job at a good company.,I was able to get a job at a big company.,64.25162706716387
Frets come and spend week him and i said no.,A fret to come and spend a week with him and i said no.,Frets was a jerk.,6.934029619809682,0.7373458,Frets was very disappointed.,Frets was a jerk to me.,45.396087944069905
You are now standing one those diversion tunnels.,You are now standing in one of those old diversion tunnels.,You can now see that there is a fire hydrant.,15.972975661299987,0.72728544,You can now see that there is a fire hydrant at your feet.,You can now see that you are in a tunnel.,63.149970216261494
I have read books so i do know.,I have not read the book so i do not know.,I know how to read a book.,21.44691972966295,0.76507545,I know how to read.,I know how to spell.,65.63007124340558
And i can always put  up tops.,And i can always put thoughse back up into the top.,I am a person who likes to dress up.,10.897139808508962,0.69172513,I am a person who likes to wear tops.,I am a very creative person.,43.75595500211442
I do not think you will be get ones.,I do not think you will be getting much out of that one.,I think you will be disappointed.,33.98445751523936,0.82054067,I think you will be get ones.,I think you will be a disappointment.,61.42451255544007
And there is um there is nickelodean free.,And there is um also there is also a nickelodean free.,"And there is, there is, there is, there is, there is, there is, there is, there is,",28.885849103921203,0.7170286,And there is um there is nickelodean free.,"And there is, there is, there is, there is, there is, there is nickelodean free.",56.00406748408919
Why did he want ask hector move editorial.,Why did he want to ask hector to move back to editorial.,He wanted to know how hector was doing.,21.40903384800358,0.84439397,He wanted to know how hector felt about the article.,He wanted to know how hector felt about the news.,67.04747341569407
I do know where i drew it.,I do not know where i drew it out.,I drew it on the wall.,27.22251268243399,0.7812563,I drew it on the wall of my room.,I drew it on the wall of my bedroom.,68.09777649927587
Today i mean as todays as it was.,As typical today i mean as topical today as it was then.,Today is a good day.,11.77012111088807,0.7079953,Today is today.,Today is todays.,62.166940744524254
When you get back we have hoove.,When you get back here we have dry hooves.,We'll take care of it.,7.052830175296741,0.7080715,We'll take care of you.,We're going to eat.,38.98784182504676
Darren drag that crashpad to center mats and.,Darren drag that crashpad to the center of the mats and . bad connection.,Darren is on the floor.,12.498348471537145,0.8153516,Darren puts it down.,Darren is getting ready to ride.,25.325887014717
This is his second day work it go there.,This is your second day of work it only goes down hill from there.,He is a new employee.,5.838738668333854,0.75887764,He is a new employee at the company.,He is a new employee at the restaurant.,58.21758571469206
A shots did they give him shot.,A shot why did they give him a shot.,They gave him a shot.,42.87942829579919,0.9245018,They gave him a shot.,A shots did they give him shot.,47.98391103472747
And pities the ref gave it a safety.,And out of pity the ref gave it not a safety.,It would have been a touchdown.,11.656367504211822,0.7841637,It would have been a fumble.,It would have been a touchdown if he had blown it.,56.63467364034519
They tell me stay away her do call or anything.,They tell me to stay away from her do not even call or anything.,I don't know what to do.,7.152199723906905,0.7082329,I don't want to be a stalker.,I don't know what to do.,49.52971906988458
My wives said she would like have register put room.,My wife said she would like to have a register put in this room.,My wife was disappointed.,16.230806492611862,0.75278485,My wife was upset.,My wife was angry.,51.05250327187601
And i found there is two books list our names one.,And i found there is two books listed under her name besides this one.,I can't remember the other one.,13.297833393894306,0.7683389,I can't remember the other.,I was so excited.,45.54916167857943
She would not give them for world.,She would not give them up for the world.,She was very grateful for them.,25.22985078574378,0.843684,She was very grateful for her parents.,She loved her parents.,50.02150944496206
Oh it is what you have want.,Oh it is just what you have always wanted.,It's what you have want.,37.05244672976847,0.84108144,It's what you have always wanted.,It is just what you have want.,58.443392934551994
And people went see what have happened.,And the people went out to see what had happened.,The robbery was a success.,5.507460369975535,0.69359565,The robbery was a huge success.,The robbery was over.,68.23098001898667
Times it come up i would punch.,Every time it come up busy i would punch redial.,I would punch him in the face.,26.8315023040902,0.74151903,I would punch the wall.,I would punch him in the mouth.,58.48496222548244
I was go see wilbur but he did.,I was going to see wilbur but he did not.,Wilbur is my brother.,15.943594252768733,0.74970686,Wilbur is my favorite artist.,Wilbur has a phobia of dogs.,27.872129956912357
Only heat you have in this room is one register there.,The only heat you have in this room is that one register over there.,The room is very cold.,14.382839871978542,0.79011106,The room is too hot.,The room is so cold.,53.711527167452424
I be lot of things that be go on.,I am aware of a lot of the things that are going on.,I be the one in charge of everything.,20.164153063826948,0.7386519,I be bored.,I be the one in charge.,41.52530367086985
Because this wall is eventually go come.,Because this wall is eventually going to come out.,I am going to break it down.,16.861919604019157,0.75766695,I am going to paint it white.,I am going to paint it red.,55.69423411249767
Mothers took the babies put baby put moses in water.,The mother took the baby put the baby put moses in the water.,The baby was crying.,13.699657421212105,0.7855648,The babies were thirsty.,The babies were thirsty and cried.,40.18906270956562
This mother know what she be doing.,And it does not say here that she devised a plan but believe me this mother knew what she was doing.,She is feeding her baby with a spoon.,10.300656495393431,0.6554698,She is feeding her baby a healthy diet.,She is feeding her baby a healthy breakfast.,62.73413335583952
At he is sitting its feet i pet him.,At least he is not sitting on his feet when i pet him now.,He is very happy.,4.771542025322865,0.7649342,He is very happy and loves me.,He is very happy and friendly.,57.21976483176344
He would cut his nose spite her faces.,He would cut off his nose to spite his face.,He was very ruthless.,9.581276836040487,0.790849,He was very ruthless and had no respect for others.,He was very ruthless and had no respect for anyone.,57.24570318100169
It do matter you can keep her hand grip.,It does not matter you can keep your right hand grip.,You are so strong.,6.709097260278362,0.71768117,You're not strong enough to hold her.,You're not strong enough to do it.,41.88774778761287
He has theories draw at art parallels.,He in here has some theories drawing at least art historical parallels.,He is a philosopher.,8.178059866235614,0.76186645,He is a theorist.,He is a theorist in philosophy.,42.755179501928176
But why is it important a democracies person participate.,But why is it important in a democracy for the people to participate.,It is important a democracies person participate in the democratic process.,46.38925649509487,0.8694364,It is important a democracies person participate because it is the only way to keep the government accountable.,It is important a democracies person participate because it is the only way they can be represented.,62.14944992054794
So i eat local foods and get ill.,So i eat the local food and get deathly ill.,I don't know what to do.,8.996288286578814,0.67297256,I don't know what to do with myself.,I don't want to eat food that is bad for me.,34.85164228424796
We will have to buy those whiles.,We will not have to buy that for a while.,They are too expensive.,10.817917578201227,0.6955799,They are expensive.,We cannot afford to wait.,27.607583147194948
My sister make a loaves bread got have piece.,My sister made a loaf of bread got to have a piece.,My sister make a loaves bread got have piece.,55.08458536837077,0.9572081,My sister is a baker.,My sister make a loaves bread and got have piece.,53.59461973255094
And doors are open house come two dogs.,And all the doors are open into the house come these two dogs.,And the dogs are in the house and eat a lot of food.,32.843136601058376,0.8133838,And the dogs are in a dog park.,And the dogs are in the house and eat a hamburger.,56.35831889926561
Turn the tv and help us roll tamales.,Turn off the tv and help us roll some tamales.,We are going to make tamales.,25.008831546566736,0.87660265,We are making tamales.,We are making tamales for a party.,53.54939289599615
I do know i would wear it.,So i do not know when i would wear it.,I am a fashionista.,6.362936783902411,0.7499018,I am a fashion lover.,I am a girl.,40.667362147467934
And the whole time here he would look.,And then the whole time under here he would just look.,He was a very curious person.,7.970148467937244,0.8002239,He was a man of few words.,He was a nerd.,31.988492368954695
Just looked and then look and walked.,N just kind of looked and then looked and then walked.,I walked down the street.,16.550800746996295,0.7794031,I walked away.,I walked down the hall.,48.55790349728631
I mean he was pretty wild guy be he.,I mean he was a pretty wild guy was not he.,He had a lot of friends.,8.297077261587047,0.77060056,He had a lot of friends and a lot of fun.,He had a lot of fun.,68.57831964982334
He have be voted one top ten racehorse the century.,He has also been voted one of the top ten racehorses of the century.,He was a top ten racehorse of the century.,52.161749142436165,0.9693538,He was a very good racehorse.,He was a top ten racehorse.,62.13543036373779
And friendships would be made these dancer intermingling.,And friendships would be made with all these dancers intermingling.,The dancers would dance together.,23.035497171990063,0.9070573,The dancers would dance in the ballroom.,The dancers would dance in the street.,68.11014595437788
You should wear them your birthday party.,You should wear them over here for your birthday party.,You will look good in them.,10.257749844768245,0.8332774,You will look cute in a pair of sparkly leggings.,You will look cute in a pair of shorts.,46.84770985313683
And i consider myself real free thinker it comes to stuff.,And i consider myself a real free thinker when it comes to that stuff.,I don't care about rules.,8.792542649951068,0.745465,I don't care about the rules.,I don't care about the rules and regulations.,60.444631842132324
I think you give him herbs some kind.,I think you gave him some herb of some kind.,He'll be fine.,4.952980564956,0.7440157,He'll be happy.,He's sick.,26.255080303760025
Nineteen seventynine john head to your new trainer ronald mcanally.,So in late nineteen seventynine john headed west to his new trainer ronald mcanally.,ronald mcanally is a good trainer.,28.619901839496293,0.85983837,ronald mcanally is a great coach.,ronald mcanally is a very good trainer.,65.6939377398507
Well he should just go gas station.,Well he should just go to a gas station.,He needs to get some gas.,11.380983304039802,0.8673995,He needs gas.,He needs to get some fuel.,53.86831210518236
And we want to try get rid this.,And we want to try to get rid of that.,We want to try and get rid of this.,59.79156573356922,0.94540656,We want to get rid of this.,We want to try to get rid of the thorns.,63.76576165264582
There be eight clubs this mean there are only four left.,Now there are eight clubs out that means there are only four more left.,There be four clubs left.,17.210060819272204,0.91983944,There are only four clubs left.,There be four clubs left to play.,64.64442126510606
It do make any difference for her.,It really does not make any difference for her.,She didn't care about the outcome.,11.337086121859699,0.8030425,She didn't care about the way she looked.,She didn't care about the way she looked or felt.,67.54813252092083
It is got go up and around.,It is got to go up out and around.,It is going to move.,20.641140981698477,0.8132522,It is going to move around.,It is a little hard to walk.,32.19872822555042
And if you have moving molecules types temperature do you have.,And if you have fast moving molecules what type of temperature do you have.,You have moving molecules type temperature do you have.,64.00584841357984,0.93760574,You have moving molecules type temperature do you have. If you have moving molecules types temperature do you have.,You have moving molecules type temperature do you have. If you have moving molecules type temperature do you have.,68.7045646363325
So my measurement a loss power be based what.,So your measurement of a loss of power is based on what.,on the watts of the generator.,11.890896483284235,0.8210422,on the watts of the electric motor.,on the watts of the electric motor?,69.07023488236123
And parts will be lot less than you thought.,And some parts will be a lot less than you thought.,You will have a great time.,13.170119874910538,0.6710665,You will have a great time playing the game.,You will have a great time playing the drums.,68.76457736568531
They saw the man who have be possessed legions of demons.,When they came to jesus they saw the man who had been possessed by the legion of demons.,They knew he was a demon.,9.726210718593043,0.835451,They knew that he was a demon.,They knew he was a demon possessed.,64.06407151062594
You know i have haneve admire president nixon.,You know i have nev particularly admired uh president nixon.,i think he was a great man.,8.165031930329922,0.71699035,i think he was a great leader.,i think he's a great leader.,67.53091843580741
And i keep tell him get relationships before you have children.,And i keep telling him get out of that relationship before you have children.,I don't want him to have a broken heart.,12.25120084914616,0.7469158,I don't want him to have children.,I don't want him to have a sour relationship.,58.47038944146254
But i do want to give them reason.,But i do not want to give them any reason to.,I want them to have a good life.,20.744459077675227,0.7157467,I want them to listen.,I want them to have a chance.,55.70395615491404
She said person were driving their lights.,She said people were driving around with their lights on.,She was a little irritated.,13.317886886175827,0.7278768,She was a little apprehensive.,"She was a little apprehensive, but she didn't mind.",47.66131859482296
You can talk both us at the times.,You cannot talk to both of us at the same time.,We can talk all the time.,22.677383418500273,0.70790625,We can talk about anything.,We can talk all the time in the office.,46.361192360238434
And he is rea good at make budget.,And he is rea good at making the budget out.,He is a good accountant.,20.005216804792305,0.83456194,He is a good manager.,He is a good manager.,64.23807833629012
I might have go therapy or something fi out.,I might have to go to therapy or something to fi out.,I am not sure what to do.,8.949478936375959,0.7973168,I am not sure how to deal with it.,I am not sure how to deal with this.,56.07125156747681
Areas that and like be able to have the local food.,In areas like that and like not be able to have the local food.,I want to go to a local restaurant.,14.465534650208358,0.75164235,I want to go to a local restaurant when I am there.,I want to go to a lot of the local food.,58.095439088508236
He have print my shoulder and ribs.,He had hoof prints on his shoulder and ribs.,He have print my shoulder and ribs.,54.3831997087681,0.87682486,He is a tattoo artist.,He have print my shoulder and ribs.,44.43614892199772
Because environment be going to be negatively impacte.,Because environment supposedly is going to be also negatively impacted.,I want to do my part to save the environment.,23.891357593812824,0.75702703,I want to do my part to save the planet.,I want to do something to help it.,51.66087853368779
I thought this was most thing i heard in my life.,I thought that was the most hilarious thing i heard in my entire life.,I was blown away.,4.850625015291392,0.78678936,I was very surprised.,I was so amazed.,17.137258407811302
Oo i have to go bathroom really.,Oo i have to go to the bathroom really bad.,I can't wait to go to the bathroom.,49.721900326616726,0.87444544,I can't wait to get out of here.,I can't wait to go to the bathroom now.,62.03681549572335
I mean i be going start dancing with women.,I mean i am going to start dancing with those brazilian women.,I am going to start dancing with women.,58.31451623988685,0.92774546,I am going to dance with women.,I am going to start dancing.,67.96143246006214
Let me try finish what i be talk but uh.,Let me try to finish what i am talking about here but uh therther.,I can't.,1.5220700152207,0.73697126,I just can't.,I just can't think of anything.,28.62644022118947
I had client offices building next grand central.,I had a client in the office building next to grand central.,I had to go there every day.,12.406524991218419,0.7026082,I had to go there every day to work.,I had to go there every day to get work done.,69.6924622175223
We hunt tree and bounce them time time and.,Yeah we have a lotta trees we hunt through the trees and bounce off them from time to time and.,We can't catch them all.,7.022776158013038,0.7354289,We can't catch them.,We can't miss them.,61.09228185021518
Two year after that she have one.,Then two years after that she had another one.,She had a baby girl.,12.974013808477627,0.7948346,She had a baby girl and it was a boy.,She had a baby girl that year.,58.76918462130748
A lot of it has do r.,A lot of it has to do with the with the r.,It has a lot of do r.,19.341102785483365,0.8028333,It's a lot of do r.,It has a lot of do r in it.,66.27121619013295
And play sevenyearold children but he do.,And not played with a sevenyearold child but he did.,He is a very naughty boy.,7.824135211142657,0.73285156,He is a very naughty child.,He is a very good child.,57.635886288647164
We were real happy get this place natural gas.,We were real happy to get this place with natural gas.,We were real happy get this place natural gas.,75.27879619558739,0.9887639,We were able to save a lot of money.,We were real happy get this place natural gas.,50.391364629823364
If i was and have pass and fall walls.,If i was alright and had not passed out and fallen over the wall.,I would like a room with no walls.,11.449709525242065,0.72423315,I would be angry.,I would like a room with a bed.,45.68969806580656
I have not spiked fever or seen any signs.,I have not spiked any fever or seen any signs of.,I am not sick.,8.160893533677134,0.8520801,I have not had a fever for a week.,I have not had a fever for a few days.,31.960720005230485
Yeah he be try to cast spell her.,Yeah he is trying to cast a spell over her.,He's a wizard.,3.9414414414414414,0.7879562,He be a wizard.,He be a witch.,43.104241019432834
I mean the skeleton part it you know.,I mean all the skeleton part of it you know an.,I don't know how to spell it.,15.332374418070724,0.68422365,I don't know how to explain it.,"I don't know how to spell it, but it's there.",55.91528563130248
He is judgmental on people it bugs me.,He is like so judgmental on people it bugs me.,He is so arrogant.,10.425798634502332,0.8204441,He is so arrogant and rude.,He is so arrogant and selfish.,62.69818887248394
So i will call you and tell you.,So i will call all of you and tell you.,I want to talk to you.,12.452083375331718,0.78995085,I want to tell you the good news.,I want to tell you.,51.737593409441075
And one kid who be be really having problems.,And this one little kid who is been really having a problem.,He had a lot of anger issues.,8.787533160854592,0.74622786,He had a lot of anger problems.,He had a lot of anger issues and he was in trouble.,53.864808943542265
And that fear starts to eat you.,And that fear starts to eat away at you.,And you can't get rid of it.,11.822810573932546,0.74753654,And you can't get out of it.,And you can't breathe.,58.936177120598934
Had deer its legs up and santa claus was bandage it.,Had the deer with its uh leg up and santa claus was bandaging it.,The deer was in pain.,15.684963763240138,0.87550855,Santa claus had a red beard.,Santa claus had a red hat on.,30.761278995107045
