Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2,Total_ChrF
I feel that uh margaret is.,So i felt that uh margaret is.,Margaret is.,39.231692942990165,0.86164796,a kind person and a good friend.,a kind person.,25.36672054601437
Thereby conceptualize will similar to a mas.,Thereby conceptualizing free will as similar to a healthy ma.,Thereby conceptualize will similar to a mas.,58.46704448723094,0.79620117,Thereby conceptualize will similar to a mas.,"Thereby conceptualize will similar to a mas, thereby conceptualize will similar to a mas.",63.626809447781106
He testified trial youm five years ago.,He testified in a trial youm about five years ago.,He was a good witness.,10.690966634292254,0.8174711,He was a great witness.,He was a very good witness.,58.89456536372782
They film movie at oakland catholic.,They filmed a movie at oakland catholic.,They film movie at oakland catholic.,83.78701010587658,0.988894,They film movie at oakland catholic in california.,They are filming a movie.,49.842264520510426
Righteousnesses he have fill for you.,The righteousness he had to fill for you.,And he hath redeemed you from all your sins.,18.163914064182464,0.84096885,And he hath filled you with righteousnesses.,And he hath redeemed you from your enemies.,46.20627959208024
And he do know what do situation.,And he does not know what to do about this whole situation.,He do know what do situation.,35.1680526720751,0.8558949,He do know what to do.,He do know what to do in the situation.,60.01009408312324
And she go on explain she say she be too.,And then she went on to explain she said maybe she was too strong.,She's a teacher.,5.187423110218329,0.68775165,She's a very good explainer.,She's a very good teacher.,45.366319891815365
He is like let us have sexes tonight hearts monitor.,So she had to wear that heart monitor and gordy said you know they want to have a baby and he is like he is like let us have sex tonight with that heart monitor.,He is sexy.,2.269525163057353,0.73983884,He is a man.,He is sexy and charming.,25.573994508171072
Alright i be pouring cold liquid nitrogens over balloon.,Alright i am pouring the very cold liquid nitrogen over this balloon.,i'm going to blow it up.,8.383101726884929,0.8018328,i'm going to blow the balloon up.,i'm going to blow the balloon up with liquid nitrogen.,49.4882410345589
I do not know they did either.,I do not know why they did not either.,I do not know how they were able to do it.,40.01309176314277,0.792922,I do not know what they did.,I do not know how they were able to do that.,58.44237987162854
And he give me permission tell story.,And he gave me permission to tell the story.,He was a man of integrity.,10.164219386121404,0.71207243,He was a man of great wisdom.,He was a man of great stories.,53.415660258190336
You can overcome that little bits by get their muscle shape.,You can overcome that a little bit by getting your muscle in better shape.,They will be able to run faster.,8.991711290490569,0.73971,They will be able to overcome their little bits.,They will be able to run faster than before.,52.530567672992014
They have definitely lost powers.,No they have definitely lost power.,They are no longer in control.,12.788905560507057,0.78772926,They are no longer in control of the company.,They are no longer able to do magic tricks.,52.93717263226302
So he get radio this summer.,So he got another radio this summer.,He is going to be a radio jockey.,17.59205634331062,0.8143248,He is going to be a radio DJ.,He is going to be a radio jockey in the summer.,66.41499568568366
Well she never did anything it.,Well she never did anything about it.,She was always so busy.,7.014149892590038,0.7277624,She was a good girl.,She was just a person.,29.431194529935556
Like how come it is the news.,Like how come it is not on the news.,I don't get it.,7.477519200339623,0.7180723,I don't know.,I don't get it. I don't know.,47.33395543132313
Because i had not heard that.,Because i had not heard all of this.,I didn't know if it was true or not.,11.679711891386303,0.79987144,I didn't know what to do.,I didn't know if it was true.,63.23067194012286
Stephanie said to me friday this is historic day.,Stephanie said to me on friday this is an historic day.,Stephanie is very excited.,21.42282653788691,0.81840765,Stephanie is excited.,Stephanie is very excited about it.,67.57002675647874
A herds of pig was feed hillside.,A large herd of pigs was feeding on the nearby hillside.,The pigs were in a pen.,12.63777337785698,0.83450246,The pigs were in a barn.,The pigs were in the pasture.,59.16251043791797
He said you put it.,He said when you put it in.,You didn't put it.,20.42844247577876,0.7531828,You put it.,You put it on the table.,35.12197787155393
I have like city life.,I have always liked city life.,I can walk to my favorite restaurant.,13.459776801535241,0.75707996,I can walk everywhere.,I can walk to my favorite restaurants.,55.33565717148746
What would i do with scanners.,What would i do with a scanner.,I would scan my family's heirlooms.,21.968114652736652,0.82175374,I would scan my papers.,I would scan my family's photos.,58.300065728433424
He will have much lefts.,He will have this much left.,He will have a lot of leftovers.,44.62689591107441,0.8352543,He will have much lefts if he eats all the food.,He will have much lefts if he eats all of the food.,52.33046473497659
Even though navys threw you out.,Even though the navy threw you out.,You were still a sailor.,7.399750232253545,0.8207828,You were still a good guy.,You were still a good man.,65.71363856038418
The people begin plead jesus to leave their region.,Then the people began to plead with jesus to leave their region.,jesus is unable to leave.,18.83441082972206,0.7681248,jesus is unable to leave and begins to scream at the people.,jesus is unable to leave and begins to scold them.,58.406021090047965
And you turn it and put chocolate side.,And then you turn it over and put chocolate on the other side.,And you put it on a plate and eat it.,17.81022968587137,0.7849078,And you put it on top of ice cream.,And you put it on a plate and eat.,63.53935860384223
Today and i mean everything looked at stores.,Today and i mean everything looked good at the store.,Today everything looked at stores.,50.19583424511575,0.8637583,Today everything looked at stores.,Today was a good day.,57.21405590137736
I ate today than i have week long though.,I ate more today than i probably have all week long though.,I was so hungry.,4.888289823526323,0.8227211,I was so hungry today.,I was hungry today.,62.82638560918791
You would have have monies left.,You would not have had any money left anyway proba.,You would have have monies left.,32.12771999442137,0.9025556,You would be able to pay your rent.,You would be able to pay your bill.,45.73276242362793
Well it be pack up garbage bags now.,Well it is all packed up in garbage bags now.,The garbage truck be coming soon.,23.153121748394376,0.7694529,The garbage truck is going to pick them up.,The garbage truck be coming.,63.81654362612037
But i want act in english.,But i want to act in english.,But i want act in English.,60.451080742627724,0.98126364,But i want act in english.,But i want act in German.,67.53688059493435
I say i would be get seven hundred.,I said i would be happy to get seven hundred.,I am a skeptic.,4.8076923076923075,0.68517596,I am a sailor.,I am a math major.,21.904726125040057
Because i have receive note.,No because i have received notes back.,I have received a letter.,37.922145345429826,0.81558895,I have received a note.,I have received a note from my friend.,57.554750405139934
Sharon stand in fronts classes go.,Sharon standing in front of the class going.,Sharon is a teacher.,16.772454908848143,0.88376826,Sharon is a teacher in a school.,Sharon is a teacher in a classroom.,62.59538120752409
I always make sure i have a fivehundreddollar balance.,So i always make sure i have a minimum fivehundreddollar balance.,I want to be able to pay my bills.,7.826523567438648,0.75600004,I want to be able to pay my bill.,I want to be able to pay off my credit card.,65.70594396562443
This smell like garbage it be.,This smells like guayaquil this smells like rotten garbage it is.,The trash smells like garbage.,30.66661141685479,0.8779024,I'm sure it's rotten.,I'm sure it's rotting.,30.514775007355638
Well then i do understand you like rita.,Well then i do not understand why you like rita.,I do understand that you like rita.,52.08470421892994,0.86058354,I do like rita too.,I do like rita.,59.18548617988603
Then we have distribute it.,Then we have to distribute it.,We have to distribute it.,80.52712334650991,0.98675025,We have to distribute it to all the students.,We have to distribute it to all the recipients.,62.940398721229364
But she get five or six book,But she got about five or six books and a bunch of cd's apparently frank sinatra.,But she get five or six book.,29.565356718014325,0.868506,But she get five or six book,"But she get five or six book, and that was enough.",66.77293104667157
You have been pat areas.,You have been very nice to pat in the literary area.,You have been in the wrong areas.,36.30334177993915,0.6648709,You have been in the wrong areas for a long time.,You have been a pat area.,59.751014729979005
I can give you rice cakes.,I can give you a rice cake.,You can eat them with a spoon.,11.765210247988916,0.72535634,You can eat them.,I can give you rice cakes.,29.610241686182675
Neil say these was one most games he saw.,Neil said that was one of the most exciting games he ever saw.,Neil was a big fan of football.,11.248505951449538,0.80317366,Neil was a big fan of basketball.,Neil was a big sports fan.,57.924901053429544
Well i am go make.,Well i am going to make.,I am going to make ice cream.,62.83409220515378,0.8427689,I am going to make a cake.,I am going to make a sandwich.,62.25306377646553
Good you do have wind it.,Good you do not have to wind it.,You have a lot to do.,17.743429273204786,0.66815007,You have a lot of it.,You have a lot of practice.,57.631230739395725
I mean their parents are.,I mean their parents are so disinterested.,They're a bunch of spoiled brats.,10.73146160091284,0.7467644,They're a bunch of pricks.,They're a bunch of dopes.,67.24059785836245
I think that be truth.,I think that is closer to the truth.,I think that be the truth.,56.1566157453935,0.8814498,I think that be true.,I think that be the reason.,66.72682851650583
They stopped it the times.,They stopped it by the time.,They had to stop it several times.,28.062037211538932,0.82752347,They had to stop it.,They had to stop the car.,66.70640011222594
Alright lug swing that arm his way.,Alright lug swing that arm out of your way.,He's going to hit you.,13.452200361082944,0.76729834,He's going to hit it.,He's going to hit you with it.,69.96817735416346
We were talk book or movie.,We were talking about the book or about the movie.,We were talk book and movie.,36.59212357210931,0.9197159,We were talk book.,We were talk about the book.,58.00319684715895
Like little jokey things like.,Just like just little jokey things just like.,I like to joke around with people.,16.066301368281835,0.83494866,I like to play jokey games.,I like to play jokey things.,46.37424932296282
Folks question be did they have to use spillways.,Folks the question is did they ever have to use the spillway.,"No, they didn't have to use spillways.",37.02001963034493,0.81890225,The answer is yes.,"No, they didn't have to.",38.847740189037964
He be in and wind.,He is in there and winds up.,He be in and wind.,31.937919108738853,0.8559266,He be in and windy.,He be in the air.,53.29032202796209
I know somebody who makes living a musician.,I know somebody who makes a living as a musician.,He is a very talented musician.,24.385435989905027,0.8301245,He is a very talented person.,He is a famous singer.,40.84956828576857
I mean there be lot of things you will find something.,I mean there is a lot of things out there you will find something.,You will find a lot of things.,38.15414640716569,0.92222726,You will find something.,You will find a lot of things there.,62.30503668697822
He brother had lotta things.,He haher brother had a lotta things.,He was a very rich man.,9.10344051674218,0.7552126,He was a hoarder.,He was a very rich man in life.,44.91779380829445
He was here two weeks and i miss him.,He was actually here two weeks ago and i missed him.,He is a great person and a good friend.,14.401525041787597,0.73202085,He is a great person.,He is a great person and i want him back.,60.547631787518796
If there be coffee house campus i am not go.,If there is not a coffee house on the campus i am not going.,I am not a coffee person.,26.831043661745795,0.84385586,I am not a coffee drinker.,I don't like the smell of coffee.,32.61899155133418
No she yoused be our floors.,No she yoused to be on our floor.,She washed our floors.,32.0357247742634,0.8066276,She washed the floors.,She washed them.,64.67972025317232
Muscle was just just labored breathing.,The muscle was just hard from just labored breathing.,Muscle was in a lot of pain.,18.889727955885117,0.8746439,Muscle was in a bad way.,Muscle was in a lot of pain from the exercise.,47.912826666113354
Sorts of dictates i feel about be spacesuit.,Sort of dictates how i feel about being in this spacesuit.,I don't think i'd like to be in a spacesuit.,28.132807532639813,0.8270476,I don't think i'd be comfortable in a spacesuit.,I don't think i'd like to wear a spacesuit.,69.26109728919242
Water go in wicket gate.,All the water goes in through the wicket gate.,Water go in the wicket gate.,49.196994212626734,0.93969536,Water go in the cricket field.,Water go in cricket net.,55.40601811681844
What we do that is where ferrier come.,What we do then that is where the ferrier comes in.,Ferrier come.,23.22152220503154,0.85272074,Ferrier come.,Ferrier come from ferrier.,57.609489481255004
Well they did a bunch people.,Well they did a whole bunch of people.,They did a bunch of people.,59.353440874902816,0.9816483,They did a bunch people.,They did a bunch of people in the hospital.,61.382445024723445
Let us listen to commitments.,Mustang sally let us listen to the commitments.,Let us listen to commitments.,54.721433686706824,0.8814473,Let us listen to promises.,Let us hear commitments.,49.301183195115925
That is the biggest crocks shits i have heard.,That is the biggest crock of shit i have ever heard.,I don't want to believe it.,8.831998534174645,0.75978386,I don't want to believe that.,I don't get it.,58.09832520539491
I would go lennox pulse.,I would not go with the lennox pulse.,Lennox Pulse is a great place to eat.,20.047612030370654,0.6726406,Lennox Pulse is a great place to go.,Lennox pulse is the best.,58.374808125043074
There is a movie sit desk.,There is a movie sitting on the desk out there.,There is a movie sitting on a desk.,63.33161199116324,0.9755062,There is a movie sit desk.,There is a movie playing on the television.,50.14463969090747
There was people the bac.,There was like people in the bac.,There was a lot of people at the bac.,53.6596305994627,0.9209161,There was a lot of food on the table.,There was a lot of people at the party.,60.26736648212149
If you want get something.,So if you want to get into something good.,I'll buy it for you.,6.106921158577379,0.68621373,I'll help you get it.,I'll buy it.,37.628750837901784
You know save the whale or saving polar bea.,You know saving the whale or saving uh the polar bea.,You can do both.,6.820582994332,0.74370277,You can do something to help them.,You can do something to help.,51.402548605048004
She need get the newspaper.,She needs to get into the newspaper.,She is running late for her appointment.,18.077587006085537,0.734148,She is running late for work.,She is running late for the meeting.,66.35845079723333
I think everyone would be.,I thought everyone would be like.,I think everyone would be.,58.18915900694628,0.82720435,I think everyone would be disappointed.,I think everyone would be sad to see me go.,63.47090332778542
Like i could take insulins.,Like then i could not take the insulin there.,I'm so naive.,4.210027667591798,0.65570027,I'm so sick.,I'm so numb.,35.86160927149608
It smells like you are walking dumpster.,It smells like you are walking past a dumpster.,It is a disgusting smell.,16.86266568741627,0.8477386,It is a disgusting place.,It is a dirty place.,54.10149504899946
Just from lift up hoods and look it.,Just from lifting up the hood and looking at it.,You'll see it.,6.014847131488798,0.723837,You'll see that they're not as big as you thought.,You'll see that they're not as big as you think.,46.286784229220125
And yet they are married.,And yet when they are married.,They have a lot in common.,11.140736068762527,0.7363249,"They have a lot in common, like a love for each other and a mutual respect for each other.","They have a lot in common, like a love for each other and a mutual respect for one another.",52.027701748800006
Do tell him or do tell carolyn.,Do not tell him or do not tell carolyn.,do tell carolyn.,40.04604022545592,0.8229264,do tell carolyn.,do tell him.,65.59338113245946
I did want get with fish.,I did not want to get friendly with this fish.,I wanted to be a fisherman.,15.027911625305704,0.75253534,I wanted to eat them.,I wanted to be a fish.,62.16512924389218
I think it is big.,I think it is at the big.,I think it is huge.,50.81052277412008,0.87506926,I think it is very tall.,I think it is really tall.,51.74888652578774
Do get out your seat permission.,Do not get out of your seat without permission.,Do get out your seat.,29.500043243131262,0.85721695,Do get out of your seat.,Do get out your seat permission.,59.32909683637176
Mister perrot will take questions.,So mister perrot will take questions.,Mister perrot is a politician.,35.209424429910854,0.85717463,Mister perrot is a lawyer.,Mister perrot is a famous author.,55.93370710963475
And liza had go something so they be babysitting cassandra.,And liza had to go do something so they are stuck babysitting cassandra.,liza was the babysitter.,18.409897210651895,0.83986616,liza was exhausted.,liza was happy.,39.92861589522646
I think i was able keep stuff.,I think i was able to keep up with that stuff.,I was able to find a good place to live.,25.506607367040335,0.7669951,I was able to find a lot of it.,I was able to find a good home.,65.5519843555757
You can testify two of them.,So you can testify to two of them.,I can't testify one of them.,42.98014835992432,0.82225007,I can't testify one.,I can testify three.,58.485752200904614
So she be just going watch.,So she is just going to watch.,She don't want to be a part of it.,11.699596933094892,0.774135,She don't know how to play the piano.,She don't know how to play the game.,46.13261851477947
And i can access file.,And i cannot access the file.,I can access the file.,60.870540889756285,0.82264996,I can access the file on my computer.,I can access file.,62.325561217859736
And he comes the cafeterias.,And then he comes into the cafeteria.,He is hungry.,4.320987654320986,0.8084589,He has a lot of friends.,He has a lot of friends there.,33.67170739334466
And you got have a bunches workers.,And you got to have a bunch of workers.,You can't have a bunch of workers if you don't have a business.,57.377784075448524,0.81879425,You can't do this alone.,You can't have a bunch of workers if you don't have a lot of people.,47.12845889224877
I have take them again.,So i have to take them again um.,They want to go to the park.,14.583032940673274,0.6666883,They want to go to school.,They want to go to the park again.,64.27540956468631
Order overcome your fear we must face our fears.,In order to overcome our fears we must face our fears.,We must be willing to face our fears.,35.705639150498705,0.96563435,We must do what we are afraid of.,"We must be willing to face our fears, no matter what.",40.98708115378601
Let me ask you one thing.,Let me ask you one other thing.,What do you want to do?,10.015028133641714,0.76356196,What do you mean?,What do you want to do next?,58.73896551709649
Fight us and leave countries.,Fight against us and leave the country.,Fight us and leave countries.,53.83175642883757,0.95764697,Fight us and leave countries is the best way to fight us.,Fight us and leave countries is the best way to stop us.,66.53595929244652
I like we can sit down,I like when we can sit down to.,I like we can sit down and have a drink.,57.93666053244431,0.9010218,I like we can sit down and talk.,I like we can sit down and have a good meal.,69.91862402755362
And he travel the world.,And he traveled all over the world.,He was in a different country every week.,12.894107341370976,0.8609124,He was in a lot of different countries.,He was in love with the world.,40.02603525963799
I have wait a times.,I have waited a long time.,I have wait a times.,47.00461516684239,0.8629504,I have wait a time.,I have wait a times to see my boyfriend.,54.95591167178034
I am go to rent it.,So no i am going to rent it.,I want to watch a movie.,11.450705083532311,0.76191384,I want to watch the movie.,I want to watch a movie tonight.,65.10546563754583
Yes they put stuff that was three times money.,Yes they put up stuff that was worth three times the money.,They put a lot of money into it.,17.419664764598995,0.82551366,They put a lot of stuff.,They put a lot of money in it.,68.354816351298
My moms do know what do get me.,My mom does not know what to do to get me out.,My mom bought me a new dress.,18.332601889184,0.7257428,My mom bought me a brand new bike for my birthday.,My mom bought me a brand new bike.,58.81488538743044
Midwife said these mother they be have babies without us.,The midwives said well these mothers they are having the babies without us.,They were in labor.,8.156426864881636,0.7787975,They were so happy.,They were so confident.,41.161230570841504
Twenty years they could let guy go.,After twenty years they could let the guy go.,He was a convicted murderer.,9.248978536788833,0.72689986,He had been in jail too long.,He was too old.,16.408883090397435
I do know person can do it.,I do not know how a person can do it.,It's just hard to do.,8.424022571543732,0.81858397,It's just hard.,It's just hard to believe.,64.70109665938357
So jamie old lady go and yelled them.,So jamie the old lady went and yelled at them.,Jamie was very angry.,9.71548847759027,0.84928155,Jamie was angry at them.,Jamie was angry at them for their behavior.,43.70790169892913
They try really great pant and they look in them.,They try on these really great pants and they look really good in them.,They want to wear them all the time.,15.535112982923286,0.82673895,They look like a fashion model.,They look like a fashionista.,35.211538975274614
He get and he would pull thing.,He got up there and he would pull that thing out.,He was a good thief.,9.792787444494566,0.7651696,He was a good wrestler.,He was a good student.,50.94416432861505
She need get into some campus group.,She needs to get into some in campus group.,She is a student at the university.,14.421037448608793,0.8706458,She is a student at a university.,She is a student at a community college.,60.75339838167464
Pick ones you want then.,Pick which ones you want then.,You will have a lot of options to choose from.,14.80976420911714,0.8274176,You will have a lot of options.,You will have a lot to pick from.,69.49719097618787
That that your makeup determines who you are.,That that your genetic makeup largely determines who you are.,I think that's a false idea.,9.838246283204139,0.6588192,I think that's true.,I think that's a very flawed idea.,51.96177388979881
I take that a good sign.,I took that as a pretty good sign.,I have been able to find my way home.,10.409756293860111,0.7412038,I have been able to make it to the concert.,I have been able to make it to the game without an injury.,47.51501291968655
I do know how old it is.,So i do not know how old it is.,It is very old.,10.750248181704903,0.82284546,It is a very old house.,It is a very old boat.,51.15071530458616
You stay right with me.,You stay right here with me.,I'm not going to let you down.,9.371440811677795,0.83497506,I'm not going to let you go.,I'm not going to let you get away with this.,63.84914703133484
I would never be handle it.,I would never be able to handle it.,I would be too scared.,22.906880337489344,0.84455884,I would be too scared to do it.,I would be too scared to be in that situation.,56.01952494008541
What would i be her.,What would i be without her.,I would be her.,23.78990590704261,0.7968766,I would be a tiger.,I would be a lion.,52.99214317139405
And make it standard habits.,And just make it a standard habit.,And make it a standard habit.,78.55145318114673,0.9881308,And make it a habit.,And make it a part of life.,52.291807170666594
Yeah we did have it the dining room.,Yeah we did have it once in the dining room.,We had it for a long time.,11.542450491820388,0.76836544,We had it for a while.,We had a lot of it.,42.03073577836173
No i did bring your set keys.,No i did not bring your set of keys.,I'm sorry.,4.132231404958678,0.68518114,"I'm sorry, I forgot.",I'm sure you didn't forget.,23.824551036605506
The foods be like unique.,The food is like all unique.,The foods be like delicious.,33.75208116537416,0.8792558,The foods be like unique.,The foods be like exotic.,63.91079214278817
I mean that looks of like black person.,I mean that looks kind of like a black person.,I want to slap that black person.,38.761396943907975,0.8127515,I am not sure.,I want to slap that person.,39.25635717908056
I knew i do like guys.,I just knew i did not like the other guy.,I am just not sure how to express it.,15.644493995981035,0.6567498,I am just not sure how to ask for them.,I am just not sure how to express myself.,67.0139124700844
So she goes and gets mother.,So she goes and gets the mother.,She tells her to go to bed.,18.310486195810828,0.7628613,She tells her to go to the store.,She tells her to go home.,69.33229854642268
I just played basketballs main beach.,I just played basketball at main beach.,I had a great time.,8.543458398380803,0.7390772,I had a good time.,I had a great time!,60.07575859376632
You argue me enough i changed my mind.,You argued with me long enough i changed my mind.,I'm going to vote for you.,7.866192294342242,0.70664907,I don't think I'm going to change my mind.,"I don't think I'm going to change my mind, though.",47.300041216853685
I think though it is neat watch them.,I think though it is really neat to watch them.,I like watching them do tricks.,20.140949323429012,0.84461343,I can tell they love it.,I can tell that they are very excited.,21.513365784381563
We will put it business basis.,We will put it on a business basis.,We will put it business basis.,79.7545971011568,0.9853895,We will put it in business.,We will put it into practice.,55.020217332995244
She says we are having them do exercises.,She says now we are having them do uh exercises.,She is a physical therapist.,13.586386420210248,0.7653005,She is a teacher.,She is a doctor.,34.32221984149774
Yeah because i can remember questions.,Yeah because i cannot remember the questions.,I can answer them.,14.045156011214685,0.7477389,I can pass the math test.,I can answer them all.,41.57909385223557
Stay it you be those.,Stay out of it you are not involved in this.,It you be those.,10.014840053346509,0.6863031,It you be them.,It you be those that you are.,49.64309828021089
But i be not volunteer anything.,But i am not volunteering for anything.,I want to be a volunteer.,27.41792537676096,0.7845474,I want to be a volunteer at the soup kitchen.,I am not willing to help.,30.860643253933322
Like describe growth patterns plant or something.,Like describing growth patterns like a plant or something.,I'd like to do something with plants.,29.101633962287405,0.7658999,I'd like to do a word search.,I'd like to do a word search on this.,54.02224719339166
Then i go off and worked couple companies and.,Then i went off and worked for a couple of companies and.,I was able to get a job.,6.219631455795687,0.7791195,I was able to get a job at a good company.,I was able to get a job at a big company.,64.25162706716387
Frets come and spend week him and i said no.,A fret to come and spend a week with him and i said no.,Frets was a jerk.,6.934029619809682,0.7373458,Frets was very disappointed.,Frets was a jerk to me.,45.396087944069905
You are now standing one those diversion tunnels.,You are now standing in one of those old diversion tunnels.,You can now see that there is a fire hydrant.,15.972975661299987,0.72728544,You can now see that there is a fire hydrant at your feet.,You can now see that you are in a tunnel.,63.149970216261494
He rinse peroxide or something.,Maybe he rinsed with peroxide or something.,He dries his hair with a towel.,14.641933451269088,0.73370767,He dries with a towel.,He dries his hair with a drier.,60.53876029450903
I have read books so i do know.,I have not read the book so i do not know.,I know how to read a book.,21.44691972966295,0.76507545,I know how to read.,I know how to spell.,65.63007124340558
And i can always put  up tops.,And i can always put thoughse back up into the top.,I am a person who likes to dress up.,10.897139808508962,0.69172513,I am a person who likes to wear tops.,I am a very creative person.,43.75595500211442
I take two and halves squares.,So i take two and a half squares.,I am a mathematician.,8.908998516890314,0.7293682,I am a math genius.,I am a mathematician!,60.320063923005094
I mean these is drawing points.,So i mean that is a strong drawing point.,I mean these is drawing points.,46.7913938754736,0.7627772,I mean these is drawing lines.,I don't know how to draw.,37.660886805884196
Do you want them put.,Where do you want them put.,I don't want them put.,52.787001398230394,0.79211664,Do you want them put.,I don't want them put in the freezer.,50.849228444222696
What are little thing call.,What are those little things called.,syringes,6.416460678339843,0.75320584,twigs,syringe,45.67179003081794
I do not think you will be get ones.,I do not think you will be getting much out of that one.,I think you will be disappointed.,33.98445751523936,0.82054067,I think you will be get ones.,I think you will be a disappointment.,61.42451255544007
He ride english and drife.,He rides western english and drives.,He was a great drife.,10.74890201360357,0.7642729,He was a great drifer.,He was a horse rider.,52.18670662192256
I do think he do.,I do not think he did.,He's a good friend of mine.,11.22010310217316,0.6350461,He's a good guy.,He's a good friend.,64.36576308841452
And there is um there is nickelodean free.,And there is um also there is also a nickelodean free.,"And there is, there is, there is, there is, there is, there is, there is, there is,",28.885849103921203,0.7170286,And there is um there is nickelodean free.,"And there is, there is, there is, there is, there is, there is nickelodean free.",56.00406748408919
Why did he want ask hector move editorial.,Why did he want to ask hector to move back to editorial.,He wanted to know how hector was doing.,21.40903384800358,0.84439397,He wanted to know how hector felt about the article.,He wanted to know how hector felt about the news.,67.04747341569407
Need fix your gi right.,No need to fix your gi right now.,You're a jerk.,5.779624086968657,0.65437686,You're a good boy.,You're a bad guy.,40.71214385869472
So she come have more friends.,So she came here to have more friends.,She wanted to have more friends.,59.119162846003746,0.9453582,She wanted to have more people in her life.,She wanted to have more friends because she liked them.,53.328625053851866
Grace assists him toward apple.,Prevenient grace assists him toward that apple.,Grace is a helper.,9.92899698431243,0.7655127,Grace is a helpful person.,Grace is a helper for others.,57.20592770461068
I do know where i drew it.,I do not know where i drew it out.,I drew it on the wall.,27.22251268243399,0.7812563,I drew it on the wall of my room.,I drew it on the wall of my bedroom.,68.09777649927587
Today i mean as todays as it was.,As typical today i mean as topical today as it was then.,Today is a good day.,11.77012111088807,0.7079953,Today is today.,Today is todays.,62.166940744524254
