Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2,Total_ChrF
I would put all your guys rights.,I would put all your guys like right around there though.,I would do anything for you.,16.201064033412795,0.6757214,I would put your guys right.,I would do anything for you..,49.42903768537453
What what are we talk now.,What what are we talking about now.,What what are we talk now.,64.36360058067984,0.9616282,What what are we talk now?,What are we talking about now?,65.70413767254952
July second water overtop our spillway here.,On july second water overtopped our spillways out here.,We have a lot of water to deal with.,15.734287123956697,0.8394057,We have a lot of water.,We have a lot of water coming into the city.,58.162085021529045
It will be dug the freezers.,It will be dug out of the freezer.,It will be dug the freezers.,67.45421696729743,0.9204048,It will be dug the freezers. It will be dug the freezers.,It will be dug the freezers. It will be dug the freezers. It will be dug the freezer,54.50660180367372
Something you could load them up.,Of something else you could load them both up.,a truck,2.654739005559801,0.7091895,a gun,a sled,5.5555555555555545
And there be go be even.,And there is going to be even.,And there be go be even.,54.1166639414031,0.93879724,And there be go be even.,"And there be go be even, and there be go be even.",61.80868261677668
We were talk book or movie.,We were talking about the book or about the movie.,The movie was very popular.,18.05895322240155,0.7884946,The movie was really bad.,The book was really bad.,43.46088731611418
Because it no has freedoms that adam had.,Because it no longer has the freedom that adam had.,Adam was a free man.,11.064958542667288,0.7807585,Adam was a free man and had a lot of freedoms.,Adam was a free man and had a lot of freedom.,62.5513140257268
Folks question be did they have to use spillways.,Folks the question is did they ever have to use the spillway.,They didn't have to use spillways.,35.65707626812266,0.80096227,They did not have to use spillways.,"They didn't have to use spillways, but they had to use berms.",62.821164015931444
It be got lotta colors and.,It is got a lotta color and.,It be got lotta colors and.,53.69800392246212,0.9699167,It be got lotta colors and patterns.,It be got lotta colors and a lotta shapes.,66.61681040634157
Or need way look it up.,Or need some way to look it up.,I'm going to have to look it up.,42.233256467107154,0.77977794,I'm going to have to look it up if I can't remember.,I'm going to have to look it up if I can't find it.,68.82980883016091
You know you will just have.,You know you will just have to.,a good time,4.587155963302752,0.6254491,a lot of fun with your friends.,a lot of fun with your friends this weekend,30.640518527310505
He was here two weeks and i miss him.,He was actually here two weeks ago and i missed him.,He is a great guy.,8.791486790199906,0.73698956,He is a great person.,He is my best friend.,29.000913010532535
It should be gear according weights.,It should be geared according to weight.,It should be gear according weights.,69.37100249079248,0.95348394,It should be gear according to weights.,It should be gear according weights because it will be more comfortable.,58.247668611549244
If there be coffee house campus i am not go.,If there is not a coffee house on the campus i am not going.,I hate coffee.,12.080734790436399,0.8200958,I hate coffee.,I hate coffee houses.,69.74362285075343
No she yoused be our floors.,No she yoused to be on our floor.,She is a liar and a thief.,8.092765833544666,0.6950513,She is a thief.,She is a liar.,61.94432806198507
Muscle was just just labored breathing.,The muscle was just hard from just labored breathing.,Muscle had a heart attack.,13.885092573667979,0.78872466,Muscle had a heart condition.,Muscle had a lot of pain.,50.31474721824929
Well i would assume san francisco be cities the country.,Well i would assume san francisco is higher than most cities around the country.,san francisco is a big city.,24.621399800376043,0.8496939,san francisco,san francisco is a very large city.,56.25693714471826
You know save the whale or saving polar bea.,You know saving the whale or saving uh the polar bea.,Save the whale or saving polar bea.,54.419958360322,0.9703764,Save the whale or saving polar bea,Save the whale or saving polar bea. is a campaign to save the whale or saving polar bea.,53.13933255306553
She was go less five months.,She was gone in less than five months.,She was gone for five months.,58.479794663294285,0.90725124,She was gone for a very long time.,She was gone for a very short time.,56.707366513857004
It smells like you are walking dumpster.,It smells like you are walking past a dumpster.,I hate the smell of urine.,14.439304748723899,0.7501371,I hate the smell.,I hate the smell of trash.,69.91068125051684
Do tell him or do tell carolyn.,Do not tell him or do not tell carolyn.,tell carolyn.,38.20482766236659,0.8430134,tell carolyn,tell carolyn because she is a friend.,43.89776945997107
I did want get with fish.,I did not want to get friendly with this fish.,I swam in the pool.,8.228678798478791,0.7042235,I was afraid of them.,I went to the aquarium.,14.973551198716576
What i would like you do is put cans please.,What i would like you to do is put those cans away please.,I want you to put cans please.,26.131326283267846,0.86047006,I want you to put the cans in the box.,I want you to put cans in the box.,66.12422387431775
Do get out your seat permission.,Do not get out of your seat without permission.,Do get out your seat permission.,54.55993355742162,0.88398707,Do get out your seat permission. - Do get out your seat permission. - Do get out your seat permission.,Do get out your seat permission. - Do get out your seat permission.,58.197842354531225
And liza had go something so they be babysitting cassandra.,And liza had to go do something so they are stuck babysitting cassandra.,cassandra is small.,15.462894120240895,0.7765318,cassandra had no idea what to do.,cassandra had no idea what she was doing.,42.311347427281085
I think i was able keep stuff.,I think i was able to keep up with that stuff.,I am glad I didn't have to get rid of it.,12.50871632059095,0.7350656,I am glad I didn't have to get rid of anything.,I am glad I didn't throw it away.,62.33984796987091
You can testify two of them.,So you can testify to two of them.,I can't.,5.934656083842326,0.6457478,I can't do it.,I can't do that.,47.65920919027327
So she be just going watch.,So she is just going to watch.,She be just going watch.,50.17234939185048,0.9641212,She be just going to sit there.,She be just going to sit.,69.98210126731229
I used use it and find.,I used to use it and found.,It is a great tool.,9.304075269167672,0.77113384,It is a great tool for finding things.,It is a great tool for finding a job.,59.04721159744686
Well i am you do hurt yourself it be lesson.,Well i am glad you did not hurt yourself it is a cheap lesson.,I'm trying to teach you a lesson.,20.3455300898898,0.6997924,I'm trying to teach you a very important lesson.,I'm trying to teach you something.,63.66221291314099
This is state has roads go on.,This is where the state has roads going on.,New York,2.2675736961451247,0.76297706,New Hampshire,New Jersey,13.963245431828147
I be wondering how these be like so.,I was wondering how that was like so perfectly straight.,I be curious.,4.2093821951815595,0.7163378,I be a curious person.,I be a curious person by nature.,45.143768947325384
Order overcome your fear we must face our fears.,In order to overcome our fears we must face our fears.,"In order to face our fears, we must confront them.",50.701340319524746,0.9669181,"In order to face our fears, we must accept them.",In order to face our fears we must take a deep breath.,65.12573391815971
Of i did not like him.,First of all i did not like him.,Of i do not know why i did not like him.,55.50805744852384,0.8741123,Of i do not like him.,Of i do not know why he liked me.,57.648262157763405
And we will see what happen big old balloon.,And we will see what happens to this big old balloon.,It will come back to me big old balloon.,36.94770775121714,0.88762844,It will come back to me big old balloon.,It will come down to earth.,64.95456214997421
But sky was get brighter him.,But the sky was getting brighter behind him.,It was a beautiful day.,9.091067365556507,0.81309104,It was a beautiful night.,It was very dark.,42.673021399974495
I am go to rent it.,So no i am going to rent it.,I want to watch a movie.,11.450705083532311,0.76191384,I want to see it.,I want to watch the movie.,48.817459622991
Mary lou its cousin used always.,Mary lou my cousin used to always.,Mary lou is a female name.,24.552099621151818,0.85975814,Mary lou is a woman's name.,Mary lou is a woman.,63.75888631586245
My moms do know what do get me.,My mom does not know what to do to get me out.,I'm a kid and I don't know what I want.,24.842222263669832,0.779932,I'm a kid and I don't know what I want for Christmas.,I'm a kid and I don't know what to get for myself.,66.21341641744927
I be talking greg on friday.,I was talking to greg on friday.,Greg is my best friend.,13.813784201195158,0.79932266,Greg is my best friend in the world.,Greg is my friend.,65.14018450882604
Oh i did know you be frederick.,Oh i did not know you were so talented frederick.,i'm sorry.,3.9599955777291953,0.68509036,i'm just a snob.,i'm just a slut.,29.740186045542956
So jamie old lady go and yelled them.,So jamie the old lady went and yelled at them.,Jamie is a yeller.,14.314460674977708,0.83872414,Jamie is a brave person.,Jamie is a child.,42.15770350288496
They try really great pant and they look in them.,They try on these really great pants and they look really good in them.,They love the pant and decide to buy them.,20.763829778970393,0.8915575,They love the pant and they buy them.,They like them very much.,47.0245434268818
She need get into some campus group.,She needs to get into some in campus group.,She wants to be a part of something.,19.075187377022253,0.84315467,She wants to be a part of a group.,She wants to be a part of a campus group.,67.65483447062235
But like i say things will work.,But uh like i say things will work out for the best.,I'm not going to let it ruin my day.,10.041348558203575,0.7327435,I just have to stay positive.,I'm not going to let it ruin me.,38.777352833363096
I can fit balloons ittybitty container.,So i can fit all those balloons into this little ittybitty container.,I like to blow up balloons.,14.901486912021394,0.78505456,I like to play with balloons.,I like to blow them up.,48.19418220867955
I take that a good sign.,I took that as a pretty good sign.,I think he'll be able to get a job.,12.464387464387466,0.7602045,I think he'll be able to find a job here.,I think he'll be able to get a job with us.,68.83435105406076
I do know how old it is.,So i do not know how old it is.,It was made in the 18th century.,7.062146892655368,0.7455502,It was made in the late 1800's.,It was built in 1927.,35.27385370846422
I still have not find sauces.,I still have not found the sauce.,I want to make something with them.,13.49901709652955,0.66556644,I want to find the sauces.,I want to find the sauces that I need.,43.071702099611926
We have several scars in barn from people bounce trees.,We have several scars in this barn from people bouncing off of trees.,Barns are very hard to repair.,10.984464801821476,0.79033804,Barns are very hard to bounce.,Barns are very strong.,62.07106460423017
I would never be handle it.,I would never be able to handle it.,I am a very squeamish person.,11.148225193385242,0.77732736,I am a very sensitive person.,I am a very weak person.,55.494192248076544
Yeah we did have it the dining room.,Yeah we did have it once in the dining room.,I'm glad you like it.,6.971512446982674,0.68698025,I'm glad you're okay.,I'm glad you're okay though.,54.67389435398279
No i did bring your set keys.,No i did not bring your set of keys.,I'm sorry i forgot.,8.490060800806475,0.7414534,I'm sorry.,I'm sorry for forgetting.,42.89001402013305
See we need to ask ourselves question single day.,See we need to ask ourselves that question every single day.,What do we need to do to be happy?,17.570132820098603,0.7580116,What is the purpose of life?,What do we need to do to be happy.,42.19345630215196
I mean that looks of like black person.,I mean that looks kind of like a black person.,I'm not sure what he looks like.,20.63009232388082,0.80371606,I'm not saying that looks of black person.,I'm not sure what he is.,42.303618561902965
I just played basketballs main beach.,I just played basketball at main beach.,I had fun.,4.166666666666666,0.77653927,I'm a good player.,I'm a good basketball player.,21.556657219935854
You argue me enough i changed my mind.,You argued with me long enough i changed my mind.,You are a good persuader.,12.245153162881216,0.7777033,You are a good friend.,You are a good person.,64.11489476327105
We will put it business basis.,We will put it on a business basis.,We are going to put it on a business basis.,75.22820771689392,0.98930264,We are going to put it business basis.,We are going to put it on the market.,69.29950193669364
She says we are having them do exercises.,She says now we are having them do uh exercises.,She is trying to be nice to them.,17.27349716808206,0.7753478,She wants them to be ready for the test.,She is trying to be nice.,38.90250280876008
But i be not volunteer anything.,But i am not volunteering for anything.,I just want to go to sleep.,10.422254578894936,0.7266982,I just want to go to the store.,I just want to be free.,58.37379597707913
You could even see far away.,You could not even hardly see very far away.,The sky was clear.,7.371690094802223,0.7321217,You were able to see the mountains.,You were able to see the entire city.,28.48508347390345
Then i go off and worked couple companies and.,Then i went off and worked for a couple of companies and.,i get a job at a bank.,5.010735719139668,0.76501924,i get a job at a small company.,i get a job at a company that i love.,46.261469341530365
But it is one of the things that lot colleges use.,Yes but it is one of the things that a lot of colleges use.,It is not a very good test.,9.431620363276688,0.6700704,It is not a good way to test your knowledge.,It is not a good way to test students.,44.657456857938655
I need to get caught my work.,I need to get caught up on my work.,I have a lot to do.,8.225999118828284,0.8892275,I have a lot of homework to do.,I have a lot of things to do.,49.662338875303405
See let us say that be.,See let us say that is approximately.,We say that be.,19.681027735967035,0.8023155,We say that it be.,"We say that be, be, be.",60.35593931541079
Which means you have go the workshop.,Which means you have to go through the workshop.,You have to learn how to play the guitar.,25.920815532235896,0.7153082,You have to learn how to make a mermaid tail.,You have to learn how to make a workshop.,60.661377785797086
Well we would like have this option.,Well we would like to have that as an option.,Well I don't know if it's a good idea.,15.035392663560994,0.7482064,Well I don't know if it's possible.,Well I don't know if it's a good option.,69.57616729933018
Get into what i be get.,Get into what i am getting into.,I be get.,6.153957999805878,0.7875047,I be get a new shirt.,I be get a new dress.,40.40835391635346
I have read books so i do know.,I have not read the book so i do not know.,I have read books so i do know.,39.597418504806534,0.7417028,I have read a lot of books.,I have read books so i do know how to read.,52.200477949955214
It is they have been defined.,It is often when they have been defined.,They have been defined.,58.997057736659585,0.9063377,They have been defined by a set of criteria.,They have been defined by a number of factors.,56.232772074608974
I figured he would be in hearing him at.,I figured he would be interested in hearing him at least.,I figured he would be in hearing him at.,66.86906558172755,0.9163052,I was wrong.,I figured he would be in a good mood.,31.765367860279643
She just do have controls over his body.,She just do not have no control over her body.,She is a witch.,6.318997882768714,0.8035332,She is a witch.,She is a vampire.,52.442803312412835
How get the parking lot because it used be on.,The how to get in the parking lot because it used to be on.,Get the parking lot because it used be on.,64.18115562458793,0.9275781,"Get the parking lot because it used be on., and get the parking lot because it used be on.","Get the parking lot because it used be on., and get the parking lot because it used be on..",67.96307421218386
I mean these is drawing points.,So i mean that is a strong drawing point.,I don't know what I'm talking about.,14.569279063996648,0.5686909,I don't know what they're called.,I don't know what I'm drawing.,55.48132284331516
Just bits but yoyou be go down.,Just a little bit more but yoyou are going down.,yoyou be go down,16.316041927711826,0.87393534,yoyou be go down.,YOYOU,60.617019493372105
And i said what be i you.,And i said what am i not nice to you about.,And he said what be i you.,28.338762843683195,0.83729994,And he said what be i to you.,And he said i be i you.,69.59186716598495
I do transport myself cta properties.,I do not transport myself on cta properties.,I am a very hardworking person.,12.059120847757383,0.6861075,I am a very hard worker.,I have a very large car.,42.080717900491315
She goes tommy spencer opened her mouth.,She goes well tommy spencer opened his big mouth.,Tommy spencer yelled at her.,30.774687359588036,0.8467877,Tommy spencer yelled.,Tommy spencer yelled at her to open her mouth.,63.30069328122859
Why did he want ask hector move editorial.,Why did he want to ask hector to move back to editorial.,He wanted to ask hector move editorial.,50.07421281121457,0.92709327,He wanted to ask hector to move editorial.,He wanted to ask hector move editorial because he wanted to move editorial.,62.41063149288449
And did umbrella have uh end it.,And did the umbrella have uh a smooth end on it.,I'm sorry.,2.587991718426501,0.6651248,I'm going to be in a lot of trouble.,I'm sorry,21.145205413258804
Because if i want her have another one now.,Because if not i want her to have another one now.,I can't have another one now.,48.267494063885366,0.76735437,I can't have one now.,I can't have another baby.,63.60798617042107
Today i mean as todays as it was.,As typical today i mean as topical today as it was then.,Today i mean as todays as it was.,44.31182988311011,0.8271898,Today i mean as today's as it was.,"Today i mean as todays as it was, i mean as todays as it was.",62.07772594164602
We get go symphonies saturday nights.,We got to go to the symphony saturday night.,I love symphonies.,21.521250108082906,0.77589226,I love symphony music.,I love symphonies and classical music.,49.927688563607795
But i want overcome their fears.,But i really want to overcome my fears.,I'm going to help them to overcome their fears.,40.11547920508238,0.83741224,I'm going to help them to learn how to swim.,I'm going to help them.,69.37077199922594
I mean they can make mistakes.,I mean they can make mistakes too.,I don't mean they're stupid.,29.341414332364764,0.8015101,I don't mean they can't do it.,I don't mean they can't learn.,62.00462482788242
Darren drag that crashpad to center mats and.,Darren drag that crashpad to the center of the mats and . bad connection.,Darren is a professional skateboarder.,16.69778036302312,0.73690975,Darren is a wrestler.,Darren is a professional driver.,52.306425394317394
It need be here and they be.,It needs to be baggier here and they are analy.,It be here and they be.,31.220709376638638,0.7268231,It be here and they be not.,They be here.,66.65742911618506
A shots did they give him shot.,A shot why did they give him a shot.,He got a shot.,18.763987812535124,0.88635564,He got a shot of adrenaline.,He got a shot of whiskey.,48.097778541078476
You have wait three hours for it hare.,You have to wait three hours for it to harden.,It is a very long time.,8.095727225664895,0.71832764,It is a long time to wait.,It is a long time.,64.45688380258859
Okay i will wait until those.,Okay i will wait until after that.,are ready to be picked up.,6.916717918729352,0.6831373,are ready to be sent out.,are finished.,32.51529908436077
They tell me stay away her do call or anything.,They tell me to stay away from her do not even call or anything.,They don't want to hear from her.,21.482934638451095,0.87318444,They don't want her to contact me.,They don't want to hear from me.,63.22862588956244
My wives said she would like have register put room.,My wife said she would like to have a register put in this room.,I thought it would be a bad idea.,13.24297786364594,0.66520786,I thought that was a good idea.,I thought it would be a great idea.,51.15535946549849
And i found there is two books list our names one.,And i found there is two books listed under her name besides this one.,I want to read the book list our names one.,23.688560637555618,0.7952478,I think we should write a book together.,I want to read the book list our names.,45.060976718938974
She would not give them for world.,She would not give them up for the world.,She loved them so much.,15.211968181325203,0.85288525,She loved them very much.,She loved them too much.,68.44681267693885
Israelite have become much for us.,The israelites have become much too numerous for us.,Israelite are a great people.,18.561113509483903,0.7636221,Israelite are a lot of people.,Israelite are a great people and we want them to succeed.,49.795414888887166
You know what i am talking.,You know what i am talking about.,I am talking about you.,52.597982128567324,0.83454525,I am talking about you and me.,I'm a little nervous.,37.04615489728714
Well we will keep you posted.,Well we will keep you posted on.,It's a long story.,7.064341893300482,0.6731618,Hopefully it will work out.,Hopefully it will work out well for you.,30.537919184957076
You hate start out ten ofclock.,You hate to start out at ten ofclock.,You're a night owl.,9.923075850140876,0.696321,You're a morning person.,You're a night person.,48.293007247467386
And people went see what have happened.,And the people went out to see what had happened.,It was a huge explosion.,8.37309455942496,0.74616647,It was a very interesting story.,It was a huge explosion that destroyed the city.,30.70370978898606
You look much arike like yeah.,You look so much arike like yeah.,Arike is a cute girl.,12.29092575949959,0.7862451,Arike,Arike likes you.,28.18724354989949
I have not eaten since i eat foods todays.,I have not eaten since i ate that chinese food today.,I have not eaten since I ate foods todays.,55.36238862081559,0.9279642,I have not eaten since I eat foods todays.,I have not eaten in a long time.,62.19631651158445
You do sell that kind things here.,You do not sell that kind of thing here.,I want to buy a new hat.,8.073533439418627,0.6840676,I want to buy a new car.,I want to buy some.,65.01976100496304
I would carry my own paperworks.,I would not carry my own paperwork.,I would rather be able to look at them.,20.047680537749944,0.6450602,I would rather have my own documents.,I would rather be able to look at them later.,53.05667041003721
Good we had such nice day.,Good we had such a nice day.,I'm glad I got to see you.,8.525113388207627,0.78150713,I'm glad I was able to go.,I'm glad I was able to go out.,53.55027033834101
Times it come up i would punch.,Every time it come up busy i would punch redial.,I'm going to punch it in the face.,13.954456507096518,0.7385452,I'm going to punch it.,I'm a ninja.,48.2803049774625
He come end of barn jumped a fourandahalffeet gate.,He came out the end of the barn jumped a fourandahalffoot gate.,He was a very fast horse.,6.238109716829145,0.78790843,He was a fast horse.,He was a very good horse.,58.19826293885101
I was go see wilbur but he did.,I was going to see wilbur but he did not.,I went to see wilbur instead.,37.91877330703183,0.9052192,I went to see wilbur.,I went to see a movie instead.,59.55871297550945
Only heat you have in this room is one register there.,The only heat you have in this room is that one register over there.,You can't afford a furnace.,5.15847721287314,0.7736961,You can't afford a central air conditioner.,You can't afford a central air system.,56.321463035705236
Mothers took the babies put baby put moses in water.,The mother took the baby put the baby put moses in the water.,Mothers took the babies put baby put moses in water.,57.16742385552494,0.9476688,Mothers put the babies in the water.,Mothers took the babies put baby in water.,66.2172550510587
