Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2,Total_ChrF
He was here two weeks and i miss him.,He was actually here two weeks ago and i missed him.,He is a great guy.,8.791486790199906,0.73698956,He is a great person.,He is my best friend.,29.000913010532535
If there be coffee house campus i am not go.,If there is not a coffee house on the campus i am not going.,I hate coffee.,12.080734790436399,0.8200958,I hate coffee.,I hate coffee houses.,69.74362285075343
Well i would assume san francisco be cities the country.,Well i would assume san francisco is higher than most cities around the country.,san francisco is a big city.,24.621399800376043,0.8496939,san francisco,san francisco is a very large city.,56.25693714471826
You know save the whale or saving polar bea.,You know saving the whale or saving uh the polar bea.,Save the whale or saving polar bea.,54.419958360322,0.9703764,Save the whale or saving polar bea,Save the whale or saving polar bea. is a campaign to save the whale or saving polar bea.,53.13933255306553
It smells like you are walking dumpster.,It smells like you are walking past a dumpster.,I hate the smell of urine.,14.439304748723899,0.7501371,I hate the smell.,I hate the smell of trash.,69.91068125051684
Do tell him or do tell carolyn.,Do not tell him or do not tell carolyn.,tell carolyn.,38.20482766236659,0.8430134,tell carolyn,tell carolyn because she is a friend.,43.89776945997107
What i would like you do is put cans please.,What i would like you to do is put those cans away please.,I want you to put cans please.,26.131326283267846,0.86047006,I want you to put the cans in the box.,I want you to put cans in the box.,66.12422387431775
And liza had go something so they be babysitting cassandra.,And liza had to go do something so they are stuck babysitting cassandra.,cassandra is small.,15.462894120240895,0.7765318,cassandra had no idea what to do.,cassandra had no idea what she was doing.,42.311347427281085
I think i was able keep stuff.,I think i was able to keep up with that stuff.,I am glad I didn't have to get rid of it.,12.50871632059095,0.7350656,I am glad I didn't have to get rid of anything.,I am glad I didn't throw it away.,62.33984796987091
Well i am you do hurt yourself it be lesson.,Well i am glad you did not hurt yourself it is a cheap lesson.,I'm trying to teach you a lesson.,20.3455300898898,0.6997924,I'm trying to teach you a very important lesson.,I'm trying to teach you something.,63.66221291314099
This is state has roads go on.,This is where the state has roads going on.,New York,2.2675736961451247,0.76297706,New Hampshire,New Jersey,13.963245431828147
I be wondering how these be like so.,I was wondering how that was like so perfectly straight.,I be curious.,4.2093821951815595,0.7163378,I be a curious person.,I be a curious person by nature.,45.143768947325384
Order overcome your fear we must face our fears.,In order to overcome our fears we must face our fears.,"In order to face our fears, we must confront them.",50.701340319524746,0.9669181,"In order to face our fears, we must accept them.",In order to face our fears we must take a deep breath.,65.12573391815971
And we will see what happen big old balloon.,And we will see what happens to this big old balloon.,It will come back to me big old balloon.,36.94770775121714,0.88762844,It will come back to me big old balloon.,It will come down to earth.,64.95456214997421
My moms do know what do get me.,My mom does not know what to do to get me out.,I'm a kid and I don't know what I want.,24.842222263669832,0.779932,I'm a kid and I don't know what I want for Christmas.,I'm a kid and I don't know what to get for myself.,66.21341641744927
Oh i did know you be frederick.,Oh i did not know you were so talented frederick.,i'm sorry.,3.9599955777291953,0.68509036,i'm just a snob.,i'm just a slut.,29.740186045542956
So jamie old lady go and yelled them.,So jamie the old lady went and yelled at them.,Jamie is a yeller.,14.314460674977708,0.83872414,Jamie is a brave person.,Jamie is a child.,42.15770350288496
They try really great pant and they look in them.,They try on these really great pants and they look really good in them.,They love the pant and decide to buy them.,20.763829778970393,0.8915575,They love the pant and they buy them.,They like them very much.,47.0245434268818
She need get into some campus group.,She needs to get into some in campus group.,She wants to be a part of something.,19.075187377022253,0.84315467,She wants to be a part of a group.,She wants to be a part of a campus group.,67.65483447062235
But like i say things will work.,But uh like i say things will work out for the best.,I'm not going to let it ruin my day.,10.041348558203575,0.7327435,I just have to stay positive.,I'm not going to let it ruin me.,38.777352833363096
I do know how old it is.,So i do not know how old it is.,It was made in the 18th century.,7.062146892655368,0.7455502,It was made in the late 1800's.,It was built in 1927.,35.27385370846422
We have several scars in barn from people bounce trees.,We have several scars in this barn from people bouncing off of trees.,Barns are very hard to repair.,10.984464801821476,0.79033804,Barns are very hard to bounce.,Barns are very strong.,62.07106460423017
Yeah we did have it the dining room.,Yeah we did have it once in the dining room.,I'm glad you like it.,6.971512446982674,0.68698025,I'm glad you're okay.,I'm glad you're okay though.,54.67389435398279
No i did bring your set keys.,No i did not bring your set of keys.,I'm sorry i forgot.,8.490060800806475,0.7414534,I'm sorry.,I'm sorry for forgetting.,42.89001402013305
See we need to ask ourselves question single day.,See we need to ask ourselves that question every single day.,What do we need to do to be happy?,17.570132820098603,0.7580116,What is the purpose of life?,What do we need to do to be happy.,42.19345630215196
I mean that looks of like black person.,I mean that looks kind of like a black person.,I'm not sure what he looks like.,20.63009232388082,0.80371606,I'm not saying that looks of black person.,I'm not sure what he is.,42.303618561902965
You argue me enough i changed my mind.,You argued with me long enough i changed my mind.,You are a good persuader.,12.245153162881216,0.7777033,You are a good friend.,You are a good person.,64.11489476327105
She says we are having them do exercises.,She says now we are having them do uh exercises.,She is trying to be nice to them.,17.27349716808206,0.7753478,She wants them to be ready for the test.,She is trying to be nice.,38.90250280876008
Then i go off and worked couple companies and.,Then i went off and worked for a couple of companies and.,i get a job at a bank.,5.010735719139668,0.76501924,i get a job at a small company.,i get a job at a company that i love.,46.261469341530365
But it is one of the things that lot colleges use.,Yes but it is one of the things that a lot of colleges use.,It is not a very good test.,9.431620363276688,0.6700704,It is not a good way to test your knowledge.,It is not a good way to test students.,44.657456857938655
I need to get caught my work.,I need to get caught up on my work.,I have a lot to do.,8.225999118828284,0.8892275,I have a lot of homework to do.,I have a lot of things to do.,49.662338875303405
Which means you have go the workshop.,Which means you have to go through the workshop.,You have to learn how to play the guitar.,25.920815532235896,0.7153082,You have to learn how to make a mermaid tail.,You have to learn how to make a workshop.,60.661377785797086
Well we would like have this option.,Well we would like to have that as an option.,Well I don't know if it's a good idea.,15.035392663560994,0.7482064,Well I don't know if it's possible.,Well I don't know if it's a good option.,69.57616729933018
I have read books so i do know.,I have not read the book so i do not know.,I have read books so i do know.,39.597418504806534,0.7417028,I have read a lot of books.,I have read books so i do know how to read.,52.200477949955214
I figured he would be in hearing him at.,I figured he would be interested in hearing him at least.,I figured he would be in hearing him at.,66.86906558172755,0.9163052,I was wrong.,I figured he would be in a good mood.,31.765367860279643
She just do have controls over his body.,She just do not have no control over her body.,She is a witch.,6.318997882768714,0.8035332,She is a witch.,She is a vampire.,52.442803312412835
How get the parking lot because it used be on.,The how to get in the parking lot because it used to be on.,Get the parking lot because it used be on.,64.18115562458793,0.9275781,"Get the parking lot because it used be on., and get the parking lot because it used be on.","Get the parking lot because it used be on., and get the parking lot because it used be on..",67.96307421218386
Just bits but yoyou be go down.,Just a little bit more but yoyou are going down.,yoyou be go down,16.316041927711826,0.87393534,yoyou be go down.,YOYOU,60.617019493372105
And i said what be i you.,And i said what am i not nice to you about.,And he said what be i you.,28.338762843683195,0.83729994,And he said what be i to you.,And he said i be i you.,69.59186716598495
She goes tommy spencer opened her mouth.,She goes well tommy spencer opened his big mouth.,Tommy spencer yelled at her.,30.774687359588036,0.8467877,Tommy spencer yelled.,Tommy spencer yelled at her to open her mouth.,63.30069328122859
Why did he want ask hector move editorial.,Why did he want to ask hector to move back to editorial.,He wanted to ask hector move editorial.,50.07421281121457,0.92709327,He wanted to ask hector to move editorial.,He wanted to ask hector move editorial because he wanted to move editorial.,62.41063149288449
And did umbrella have uh end it.,And did the umbrella have uh a smooth end on it.,I'm sorry.,2.587991718426501,0.6651248,I'm going to be in a lot of trouble.,I'm sorry,21.145205413258804
Because if i want her have another one now.,Because if not i want her to have another one now.,I can't have another one now.,48.267494063885366,0.76735437,I can't have one now.,I can't have another baby.,63.60798617042107
Today i mean as todays as it was.,As typical today i mean as topical today as it was then.,Today i mean as todays as it was.,44.31182988311011,0.8271898,Today i mean as today's as it was.,"Today i mean as todays as it was, i mean as todays as it was.",62.07772594164602
Darren drag that crashpad to center mats and.,Darren drag that crashpad to the center of the mats and . bad connection.,Darren is a professional skateboarder.,16.69778036302312,0.73690975,Darren is a wrestler.,Darren is a professional driver.,52.306425394317394
It need be here and they be.,It needs to be baggier here and they are analy.,It be here and they be.,31.220709376638638,0.7268231,It be here and they be not.,They be here.,66.65742911618506
A shots did they give him shot.,A shot why did they give him a shot.,He got a shot.,18.763987812535124,0.88635564,He got a shot of adrenaline.,He got a shot of whiskey.,48.097778541078476
You have wait three hours for it hare.,You have to wait three hours for it to harden.,It is a very long time.,8.095727225664895,0.71832764,It is a long time to wait.,It is a long time.,64.45688380258859
They tell me stay away her do call or anything.,They tell me to stay away from her do not even call or anything.,They don't want to hear from her.,21.482934638451095,0.87318444,They don't want her to contact me.,They don't want to hear from me.,63.22862588956244
My wives said she would like have register put room.,My wife said she would like to have a register put in this room.,I thought it would be a bad idea.,13.24297786364594,0.66520786,I thought that was a good idea.,I thought it would be a great idea.,51.15535946549849
And i found there is two books list our names one.,And i found there is two books listed under her name besides this one.,I want to read the book list our names one.,23.688560637555618,0.7952478,I think we should write a book together.,I want to read the book list our names.,45.060976718938974
She would not give them for world.,She would not give them up for the world.,She loved them so much.,15.211968181325203,0.85288525,She loved them very much.,She loved them too much.,68.44681267693885
And people went see what have happened.,And the people went out to see what had happened.,It was a huge explosion.,8.37309455942496,0.74616647,It was a very interesting story.,It was a huge explosion that destroyed the city.,30.70370978898606
I have not eaten since i eat foods todays.,I have not eaten since i ate that chinese food today.,I have not eaten since I ate foods todays.,55.36238862081559,0.9279642,I have not eaten since I eat foods todays.,I have not eaten in a long time.,62.19631651158445
You do sell that kind things here.,You do not sell that kind of thing here.,I want to buy a new hat.,8.073533439418627,0.6840676,I want to buy a new car.,I want to buy some.,65.01976100496304
Times it come up i would punch.,Every time it come up busy i would punch redial.,I'm going to punch it in the face.,13.954456507096518,0.7385452,I'm going to punch it.,I'm a ninja.,48.2803049774625
He come end of barn jumped a fourandahalffeet gate.,He came out the end of the barn jumped a fourandahalffoot gate.,He was a very fast horse.,6.238109716829145,0.78790843,He was a fast horse.,He was a very good horse.,58.19826293885101
I was go see wilbur but he did.,I was going to see wilbur but he did not.,I went to see wilbur instead.,37.91877330703183,0.9052192,I went to see wilbur.,I went to see a movie instead.,59.55871297550945
Only heat you have in this room is one register there.,The only heat you have in this room is that one register over there.,You can't afford a furnace.,5.15847721287314,0.7736961,You can't afford a central air conditioner.,You can't afford a central air system.,56.321463035705236
Mothers took the babies put baby put moses in water.,The mother took the baby put the baby put moses in the water.,Mothers took the babies put baby put moses in water.,57.16742385552494,0.9476688,Mothers put the babies in the water.,Mothers took the babies put baby in water.,66.2172550510587
This mother know what she be doing.,And it does not say here that she devised a plan but believe me this mother knew what she was doing.,This mother be a great cook.,13.431178096124716,0.7662405,This mother be a good cook.,This mother be a good mother.,66.10353495537468
At he is sitting its feet i pet him.,At least he is not sitting on his feet when i pet him now.,He is a cat.,4.017706546989671,0.7740829,He is a dog.,He is my dog.,31.429574512286067
But he do it on way u back.,But he did it on the way u back too.,He do it when he get home.,11.851133970357688,0.79579294,He do it when he get drunk.,He do it when he get out the car.,62.88849798277568
He would cut his nose spite her faces.,He would cut off his nose to spite his face.,He was very spiteful.,15.747575009701546,0.87690043,He was very cruel.,He was very angry.,52.40507832018848
It do matter you can keep her hand grip.,It does not matter you can keep your right hand grip.,You can keep her hand grip if you can keep her hand grip.,40.11151082868174,0.81305885,You can keep her hand grip.,You can keep her hand grip if you can keep her hand grip on your hand.,66.17441038507322
He has theories draw at art parallels.,He in here has some theories drawing at least art historical parallels.,He is an artist.,7.327676195429464,0.7636939,He is a very observant person.,He is a very creative person.,30.310028147987016
I think there would be a slight chances it being negative.,I think there would be a slight chance of it being a false negative.,I'm worried about the outcome.,9.210008391599601,0.74038744,I'm worried about the test.,I'm afraid of the outcome.,48.74307364430122
Only i have not had ice cubes september.,Only i have not had ice cubes here since september.,I have not had ice cubes september.,62.038027589015265,0.94780743,I have not had ice cubes since I was a kid.,I have not had ice cubes since I was a child.,67.28574210725881
See fears involve the misuses her imagination.,See fear really involves the misuse of our imagination.,She is a very imaginative person.,25.542734249085413,0.73330855,She is a very imaginative person and has a very vivid imagination.,She is a very imaginative person and has a very active imagination.,64.28135316897435
We will have to buy those whiles.,We will not have to buy that for a while.,I haven't bought any in a while.,26.603990650537124,0.7700136,I haven't bought them in a while.,I haven't seen them in a while.,65.72661592917188
My sister make a loaves bread got have piece.,My sister made a loaf of bread got to have a piece.,I like bread.,9.572752153739502,0.8304537,I am hungry.,I am hungry now.,27.372015558279582
Could person be making say danny right now.,You know how much could that person be making less than say danny right now.,yes,2.670357936957754,0.703761,Could person be making say dan right now.,Yes,6.734234234234234
That you did send me flowers and uh.,You know that you did send me flowers and uh.,I'm really sorry.,4.716981132075471,0.7191421,I'm so happy.,I'm so happy to see you.,28.667115747468287
Turn the tv and help us roll tamales.,Turn off the tv and help us roll some tamales.,We're going to make tamales.,25.008831546566736,0.877592,We're going to have tamales for dinner.,We're going to make tamales for dinner.,69.19447982412824
Okay okay i will just call ten or fifteen.,Okay okay so i will just call back in about ten or fifteen.,i will be home in ten or fifteen minutes.,33.059070678635806,0.8658507,i will be home in ten minutes.,i will be more careful next time.,46.30700658584075
Because i think they be just our waist.,Because i always thought they were just below your waist.,I think we should get rid of them.,10.744374193314156,0.64852875,I think we should get rid of our pants.,I think we should get a belt.,69.74429349127853
The thing is technology that come it gets used.,The thing is any technology that comes up it gets used.,It is a good thing that it gets used.,35.78032944265052,0.81512034,It is a good thing.,It is a good thing to use technology.,55.804203188007065
I do know i would wear it.,So i do not know when i would wear it.,I do know i would wear it.,50.47205721094319,0.8706608,I do know i would wear it.,I do not know if I would buy it.,51.9894155378783
But i do want be the one.,But i do not want to be the only one.,I want to be the one for you.,48.62515136168067,0.8188833,I want to be the one that makes you happy.,I want to be the one that makes you happy..,64.91884703083036
What do i have do please him.,What do i have to do to please him.,I have to be nice to him.,25.616656394886807,0.8283143,i have to please him.,i have to please him,54.861282969395795
Connect distributor that do deal with them.,Connected with a distributor that does deal with them.,Connect distributor that do deal with them.,70.35874595487238,0.9362048,Connect distributor that do deal with them. Connect distributor that do deal with them. Connect distributor that do deal with them.,Connect distributor that do deal with them. Connect distributor that do deal with them.,59.33932607667116
You should wear them your birthday party.,You should wear them over here for your birthday party.,They are very nice.,8.419765776853374,0.75451696,They are very cute.,They're so sexy.,36.63395212093665
And i consider myself real free thinker it comes to stuff.,And i consider myself a real free thinker when it comes to that stuff.,I don't believe in religion.,7.632655399212895,0.778244,I don't believe in religion or anything like that.,I don't believe in religion or superstitions.,60.84862458434102
I think you give him herbs some kind.,I think you gave him some herb of some kind.,I don't know what to do.,6.813417190775679,0.6808075,I don't know.,I don't know what to do with him.,58.308311311438345
Nineteen seventynine john head to your new trainer ronald mcanally.,So in late nineteen seventynine john headed west to his new trainer ronald mcanally.,.,1.7543859649122806,0.6848494,john doe.,john doe,35.70278666010341
Absolute value that you bring negative four side.,Absolute value of that you brought negative four over to the other side.,-26,0.0,0.7505906,-41,-26.,31.804841193734923
Well he should just go gas station.,Well he should just go to a gas station.,He doesn't have a lot of money.,11.549641657896057,0.7616947,He doesn't have a car.,He doesn't have a lot of gas.,69.71281027853973
The shops so they can work pharmacy.,Into the garden shop so they can work on the pharmacy.,The shops are arranged in a row.,15.524333430047315,0.7443385,The shops are in the city.,The shops are arranged in a line.,56.8275659632283
If he said there be withholding and everything.,If whatever he just said right there was true with withholding and everything.,If he said there be withholding and everything.,48.608288309085985,0.93926996,If he said there be withholding.,"If he said there be withholding and everything, I'd take it seriously.",64.97076721070053
They go this stupid fire science major,They go through this stupid fire science major out at.,Fire science is a stupid major.,36.40194077253385,0.9134475,Fire science is a stupid major to be in.,"Fire science is a stupid major to be in, they should have gone to a different major.",52.009364900069045
Of call ira it be call an sd for selfdirected.,Instead of called an ira it is called an ira sd for selfdirected.,An sd is a selfdirected ira.,27.328007278030896,0.9527252,"An sd is a selfdirected ira, or sdira.",An sd is a type,58.99332733185363
It do make any difference for her.,It really does not make any difference for her.,It is not a big deal for her.,23.874501725602897,0.89998794,It is not important to her.,It is not a big deal.,50.07204423762379
Come on i want you to grate this cheese me.,Come on over here i want you to grate this cheese for me.,Me grate this cheese.,34.838523831400494,0.8964418,Me grate it.,Me grate this cheese,64.83872795767944
It is got go up and around.,It is got to go up out and around.,It is a roller coaster.,13.9680286673601,0.7447822,It is a roller coaster ride.,It is a roller coaster that I am riding.,64.27809755836029
Well he could find anything he want do.,Well he could not find anything he really wanted to do.,He is a very open minded person.,9.365184092080458,0.6710806,He is a very open person.,He is a very curious person.,61.691543805695105
I will show you end and ends.,I will show you a front end and a hind end.,I will show you end and ends.,52.409652484252824,0.8561094,I will show you end and ends.,"I will show you end and ends, and you will see what I mean.",60.74490829586242
So my measurement a loss power be based what.,So your measurement of a loss of power is based on what.,on watts,4.965337791252278,0.7953633,on the wattage of the light bulb,on the wattage of the bulb,36.440017028381206
They saw the man who have be possessed legions of demons.,When they came to jesus they saw the man who had been possessed by the legion of demons.,They were terrified.,4.995099253942838,0.7635422,They were frightened.,They were terrified of him.,52.479801221484415
You know i have haneve admire president nixon.,You know i have nev particularly admired uh president nixon.,Nixon is a great man.,9.16615944641176,0.782321,Nixon is a great president.,Nixon is a great person.,62.201480953722246
And i keep tell him get relationships before you have children.,And i keep telling him get out of that relationship before you have children.,I want him to be a great husband and father.,11.223688253562834,0.75577605,I want him to be a good person.,I want him to be a good man.,61.766545547066634
She said person were driving their lights.,She said people were driving around with their lights on.,She thought it was a prank.,11.79522541335636,0.7298172,She thought it was a bad idea.,She thought it was funny.,66.35458602496996
And he is rea good at make budget.,And he is rea good at making the budget out.,He has a lot of money.,7.448506925706061,0.7513157,He has a lot of experience in the field.,He has a lot of experience in the financial field.,47.71257633274257
I might have go therapy or something fi out.,I might have to go to therapy or something to fi out.,I'm really stressed out.,9.382949656582323,0.7595011,I'm really stressed lately.,I'm really stressed out about it.,68.05569880229801
Areas that and like be able to have the local food.,In areas like that and like not be able to have the local food.,I like to be able to have the local food.,57.452149629774276,0.859043,I like to be able to have the local food and like be able to have the local food.,I like to be able to have the local food and like be able to have the local food and like be ,64.56992558183308
Sammy davis junior used do it just.,Sammy davis junior used to do it just fine.,Sammy davis junior was a jazz musician.,46.24093567817194,0.85314596,Sammy davis junior was a jazz trumpeter.,Sammy davis junior was a jazz piano player.,68.93765389981571
Well you know i think they quarter an ounce.,Well you know i think they weigh about a quarter of an ounce.,Is that right?,5.669240694348481,0.6918887,Is that how much they weigh?,Is that how you measure them?,28.562888146659176
And you pour it pan and it be done.,And you pour it in the pan and it is done.,You can eat it with a fork.,12.44028334390008,0.781581,You can eat it with a spoon.,You take it out and you eat it.,38.05720707512515
I would be i would have murder him.,I would not be here i would have murdered him.,I am a violent person.,8.0633861619235,0.78623486,I am a violent person and always have been.,I am a violent person and it is my nature.,54.57057738545817
It should be legal for guy do this.,It should not be legal for guys to do this.,It's a lot of fun.,8.965797942025668,0.62738377,It's a lot of fun for him.,It's a lot of fun to watch.,61.95476938518204
I had client offices building next grand central.,I had a client in the office building next to grand central.,I went to the office a lot.,22.361172258840288,0.77266353,I went to the building every day.,I went to the office everyday.,52.84515754761039
Two year after that she have one.,Then two years after that she had another one.,She was happy to have a child.,10.485945076778018,0.78279144,She was happy to have one.,She was very happy.,55.85901436614852
A lot of it has do r.,A lot of it has to do with the with the r.,In't know if it's just a coincidence or if there's something else going on,16.92266498363991,0.75142145,In't know what to do with it.,In't know if it's just a coincidence or if there's something else.,53.383687144093095
You have these organs that you can see.,You have all these internal organs that you cannot see.,Your liver is on the outside of your body.,13.906384369534363,0.8022211,Your liver is one of those organs.,Your liver is one of them.,60.65657963153285
If i was and have pass and fall walls.,If i was alright and had not passed out and fallen over the wall.,I would pass the wall.,19.10918158908414,0.84751457,I would pass the wall to fall on the floor.,I would pass the wall to fall on the ground.,61.49296839633019
I would like i would want them.,I would like ideally i would want them both.,I would like i would want them.,63.49526602851709,0.89596105,I would like to have them.,I would like i would want them because i would like i would want them.,38.42312536713288
Well we got to we get call jack eaker.,Well we got to we got to call up jack eaker.,jack eaker.,27.839101638009726,0.8566496,jack eaker's on the phone.,jack eaker's on the line.,52.69942174905462
It is like its parent were hustling it door.,It is like its parents were hustling it out the door.,It is like it were hustling it door.,56.53202447504977,0.88335526,It is so frightened.,It is like it were hustling it out.,43.04126475204272
I have not spiked fever or seen any signs.,I have not spiked any fever or seen any signs of.,I think I'm out of the woods.,6.996635117562098,0.6447202,I think I am fine.,I think I'm out of the woods now.,51.90354693386743
Yeah he be try to cast spell her.,Yeah he is trying to cast a spell over her.,He be a witch.,5.122155029904108,0.82581234,He be a wizard.,He's a witch.,39.811839197787464
He is judgmental on people it bugs me.,He is like so judgmental on people it bugs me.,He is a jerk.,8.092902591817545,0.82873976,He is a snob.,He is a jerk to everyone.,30.43254031154689
So i will call you and tell you.,So i will call all of you and tell you.,I have a surprise for you.,10.273341390010202,0.76716256,I have a lot to tell you.,I have a surprise for you at work.,44.23956644714171
