Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2,Total_ChrF
Sharon stand in fronts classes go.,Sharon standing in front of the class going.,Sharon is a student.,17.814133883454858,0.87010187,Sharon is a teacher.,Sharon is the teacher.,51.00316497495881
I always make sure i have a fivehundreddollar balance.,So i always make sure i have a minimum fivehundreddollar balance.,I don't want to lose money.,6.571831164307654,0.7585591,I don't want to have a lot of money in my account.,I don't want to have a lot of money in my wallet.,53.79723694379156
This smell like garbage it be.,This smells like guayaquil this smells like rotten garbage it is.,It be a bad smell.,8.00582317998377,0.8429592,It's a smelly skunk.,It's a smelly day.,38.067042450367865
No he does get lunch.,No otherwise he does not get lunch.,"No, he doesn't get lunch.",49.32520139616977,0.90550596,"No, he doesn't get lunch because he doesn't have money.","No, he doesn't get lunch because he doesn't have any money.",60.788236980791524
Then we have distribute it.,Then we have to distribute it.,Then we have to distribute it.,100.0,0.99999964,Then we have to distribute it to the people.,Then we have to get it to the people.,62.79449932722307
Boys he be supposed be awesome.,That boy he is supposed to be awesome.,He's a hero.,4.9994316567206605,0.7951786,He's a hero!,He's a hero in the movie.,50.17338424821518
But she get five or six book,But she got about five or six books and a bunch of cd's apparently frank sinatra.,She can't decide how many books to get.,11.943350800523604,0.8017728,She can't decide which book to read first.,She can't decide which book to read.,63.18188498732885
I do not want do that.,I do not want to do that.,I do not want to go to the gym.,61.38910199308173,0.8166014,I do not want to go to school.,I do not want to go to a party.,67.06306004360924
They are tell you that.,They are telling you that why.,They are a liar.,25.558252419847875,0.7101344,"They are a liar, aren't they?","They are a liar, aren't they.",65.73200080165572
Let me try respond his question sir.,Let me try to respond to your question sir.,I'm not sure what he wants to know.,10.477541896060478,0.7675511,I'm not sure what he's asking.,I'm not sure what he wants to ask.,69.28233892626825
Where be these i be going take it.,Where was this i am going to take it off.,I be going to take it.,40.53400284618907,0.767211,I be going take it.,I be going take it to the store.,60.30071922966809
I have seen him this week.,I have not seen him this week.,He is a nice person.,9.707429948015722,0.70071995,He is a handsome man.,He is a handsome guy.,40.73864656461794
Also lay instep of foot.,Also lay the instep of the foot.,Floats in water.,8.537227723339146,0.6961323,Floats on water.,Float on the floor.,37.83832973073359
I can give you rice cakes.,I can give you a rice cake.,I like rice cakes.,34.490964089477735,0.8553691,I want to eat them.,I want to eat some.,24.927942427942426
Definitely um you know check her your insulin.,Definitely um you know check with her on your insulins.,I'm taking insulin.,14.673299926895703,0.82439435,I'm sorry.,I'm going to go get some.,11.916695748526296
We be all sitting too tired.,We are all sitting here all too tired.,I'm going to bed.,9.870530122501204,0.7093585,I'm going to get up.,I'm going to sleep.,58.78256891769343
Neil say these was one most games he saw.,Neil said that was one of the most exciting games he ever saw.,Neil is a gamer.,10.77726085678769,0.76896214,Neil is a fan of video games.,Neil was a fan of football.,26.350830772649232
Good you do have wind it.,Good you do not have to wind it.,You are a good person.,10.783756468765313,0.7004229,You are a good friend.,You are a good girl.,61.25547586531356
I would put all your guys rights.,I would put all your guys like right around there though.,I would do anything for you.,16.201064033412795,0.6757214,I would put your guys right.,I would do anything for you..,49.42903768537453
What what are we talk now.,What what are we talking about now.,What what are we talk now.,64.36360058067984,0.9616282,What what are we talk now?,What are we talking about now?,65.70413767254952
July second water overtop our spillway here.,On july second water overtopped our spillways out here.,We have a lot of water to deal with.,15.734287123956697,0.8394057,We have a lot of water.,We have a lot of water coming into the city.,58.162085021529045
I mean their parents are.,I mean their parents are so disinterested.,They're a lot of fun.,6.261067025183631,0.59159285,They're a lot of work.,They're a couple.,54.03348763835082
It will be dug the freezers.,It will be dug out of the freezer.,It will be dug the freezers.,67.45421696729743,0.9204048,It will be dug the freezers. It will be dug the freezers.,It will be dug the freezers. It will be dug the freezers. It will be dug the freezer,54.50660180367372
We have tremendous population prisons.,We have a tremendous population in prison.,We have tremendous population prisons.,76.44309184321003,0.97309375,We have tremendous population in prisons.,We have tremendous population prisons because we have a huge prison population.,59.400430010194626
Something you could load them up.,Of something else you could load them both up.,a truck,2.654739005559801,0.7091895,a gun,a sled,5.5555555555555545
And there be go be even.,And there is going to be even.,And there be go be even.,54.1166639414031,0.93879724,And there be go be even.,"And there be go be even, and there be go be even.",61.80868261677668
We were talk book or movie.,We were talking about the book or about the movie.,The movie was very popular.,18.05895322240155,0.7884946,The movie was really bad.,The book was really bad.,43.46088731611418
Like little jokey things like.,Just like just little jokey things just like.,I'm a wuss.,2.6047644030560377,0.64636266,I'm a wussy.,I'm a little bit sarcastic.,21.931340133534768
It is great you know.,It is such a great you know.,I'm going to eat a lot of it.,11.511544011544013,0.67218655,I'm going to buy a new car.,I'm going to eat a lot of cake.,54.24725617624132
Because it no has freedoms that adam had.,Because it no longer has the freedom that adam had.,Adam was a free man.,11.064958542667288,0.7807585,Adam was a free man and had a lot of freedoms.,Adam was a free man and had a lot of freedom.,62.5513140257268
Folks question be did they have to use spillways.,Folks the question is did they ever have to use the spillway.,They didn't have to use spillways.,35.65707626812266,0.80096227,They did not have to use spillways.,"They didn't have to use spillways, but they had to use berms.",62.821164015931444
It be got lotta colors and.,It is got a lotta color and.,It be got lotta colors and.,53.69800392246212,0.9699167,It be got lotta colors and patterns.,It be got lotta colors and a lotta shapes.,66.61681040634157
He be in and wind.,He is in there and winds up.,He be in the sand and the wind.,29.60098167293455,0.7570543,He be in the sand and wind.,He be in the rain.,66.0375350407611
Or need way look it up.,Or need some way to look it up.,I'm going to have to look it up.,42.233256467107154,0.77977794,I'm going to have to look it up if I can't remember.,I'm going to have to look it up if I can't find it.,68.82980883016091
You know you will just have.,You know you will just have to.,a good time,4.587155963302752,0.6254491,a lot of fun with your friends.,a lot of fun with your friends this weekend,30.640518527310505
He brother had lotta things.,He haher brother had a lotta things.,He brother was a rich man.,24.258879177728215,0.8750305,He brother was rich.,He was a rich man.,59.33789598737269
He was here two weeks and i miss him.,He was actually here two weeks ago and i missed him.,He is a great guy.,8.791486790199906,0.73698956,He is a great person.,He is my best friend.,29.000913010532535
It should be gear according weights.,It should be geared according to weight.,It should be gear according weights.,69.37100249079248,0.95348394,It should be gear according to weights.,It should be gear according weights because it will be more comfortable.,58.247668611549244
If there be coffee house campus i am not go.,If there is not a coffee house on the campus i am not going.,I hate coffee.,12.080734790436399,0.8200958,I hate coffee.,I hate coffee houses.,69.74362285075343
No she yoused be our floors.,No she yoused to be on our floor.,She is a liar and a thief.,8.092765833544666,0.6950513,She is a thief.,She is a liar.,61.94432806198507
Muscle was just just labored breathing.,The muscle was just hard from just labored breathing.,Muscle had a heart attack.,13.885092573667979,0.78872466,Muscle had a heart condition.,Muscle had a lot of pain.,50.31474721824929
Water go in wicket gate.,All the water goes in through the wicket gate.,Water go in wicket gate.,38.62650088679365,0.9417802,Water go out wicket gate.,"Water go in wicket gate, but not out.",60.89823762913701
Let us listen to commitments.,Mustang sally let us listen to the commitments.,Let us listen to the commitments.,69.73279833893777,0.8794873,Let us listen to promises.,Let us listen to the promises.,66.12619371336169
Did your gentu penguins come.,Where did our original gentu penguins come from.,Gentu penguins are cute penguins.,31.787975859567098,0.80590445,Gentu penguins are penguins that live in the Antarctic.,Gentu penguins are cute.,61.571338277563626
Well i would assume san francisco be cities the country.,Well i would assume san francisco is higher than most cities around the country.,san francisco is a big city.,24.621399800376043,0.8496939,san francisco,san francisco is a very large city.,56.25693714471826
If you want get something.,So if you want to get into something good.,If you want get something.,44.45443144562874,0.85641396,If you want get something.,"If you want get something, you have to get something.",62.33015106606137
You know save the whale or saving polar bea.,You know saving the whale or saving uh the polar bea.,Save the whale or saving polar bea.,54.419958360322,0.9703764,Save the whale or saving polar bea,Save the whale or saving polar bea. is a campaign to save the whale or saving polar bea.,53.13933255306553
She need get the newspaper.,She needs to get into the newspaper.,She is a news reporter.,17.801812112378414,0.82894766,She needs to read it.,She needs to read it to know what's going on.,26.833360648212135
She was go less five months.,She was gone in less than five months.,She was gone for five months.,58.479794663294285,0.90725124,She was gone for a very long time.,She was gone for a very short time.,56.707366513857004
I think everyone would be.,I thought everyone would be like.,happy if they could get a raise.,14.774272294214564,0.6842831,happy if they could make more money.,happy if they could get a job.,64.33172963591865
It smells like you are walking dumpster.,It smells like you are walking past a dumpster.,I hate the smell of urine.,14.439304748723899,0.7501371,I hate the smell.,I hate the smell of trash.,69.91068125051684
Do tell him or do tell carolyn.,Do not tell him or do not tell carolyn.,tell carolyn.,38.20482766236659,0.8430134,tell carolyn,tell carolyn because she is a friend.,43.89776945997107
I did want get with fish.,I did not want to get friendly with this fish.,I swam in the pool.,8.228678798478791,0.7042235,I was afraid of them.,I went to the aquarium.,14.973551198716576
What i would like you do is put cans please.,What i would like you to do is put those cans away please.,I want you to put cans please.,26.131326283267846,0.86047006,I want you to put the cans in the box.,I want you to put cans in the box.,66.12422387431775
I think it is big.,I think it is at the big.,It is a lot of money.,15.098619606708569,0.7535795,It is a tree.,It is a basketball court.,20.77526689196114
Do get out your seat permission.,Do not get out of your seat without permission.,Do get out your seat permission.,54.55993355742162,0.88398707,Do get out your seat permission. - Do get out your seat permission. - Do get out your seat permission.,Do get out your seat permission. - Do get out your seat permission.,58.197842354531225
Mister perrot will take questions.,So mister perrot will take questions.,Mister perrot is the president of the company.,36.329907554486105,0.81044745,Mister perrot is in the front row.,Mister perrot is in the audience.,55.684323426538704
And liza had go something so they be babysitting cassandra.,And liza had to go do something so they are stuck babysitting cassandra.,cassandra is small.,15.462894120240895,0.7765318,cassandra had no idea what to do.,cassandra had no idea what she was doing.,42.311347427281085
I think i was able keep stuff.,I think i was able to keep up with that stuff.,I am glad I didn't have to get rid of it.,12.50871632059095,0.7350656,I am glad I didn't have to get rid of anything.,I am glad I didn't throw it away.,62.33984796987091
You can testify two of them.,So you can testify to two of them.,I can't.,5.934656083842326,0.6457478,I can't do it.,I can't do that.,47.65920919027327
So she be just going watch.,So she is just going to watch.,She be just going watch.,50.17234939185048,0.9641212,She be just going to sit there.,She be just going to sit.,69.98210126731229
I used use it and find.,I used to use it and found.,It is a great tool.,9.304075269167672,0.77113384,It is a great tool for finding things.,It is a great tool for finding a job.,59.04721159744686
And i can access file.,And i cannot access the file.,I can access file.,33.823202550299754,0.8371073,I can access the file.,I can access the file now.,66.78079954532822
And he comes the cafeterias.,And then he comes into the cafeteria.,And he comes the cafeterias.,55.09160922311903,0.9039586,And he comes to the cafeterias.,"And he comes to the cafeterias, and he comes to the cafeterias.",56.54662462505783
Well i am you do hurt yourself it be lesson.,Well i am glad you did not hurt yourself it is a cheap lesson.,I'm trying to teach you a lesson.,20.3455300898898,0.6997924,I'm trying to teach you a very important lesson.,I'm trying to teach you something.,63.66221291314099
This is state has roads go on.,This is where the state has roads going on.,New York,2.2675736961451247,0.76297706,New Hampshire,New Jersey,13.963245431828147
She have little threeyearold daughter.,She had a little threeyearold daughter.,She is a good mother.,11.061929614842045,0.7597065,She is a very loving mother.,She is a good parent.,41.44091505998111
I have take them again.,So i have to take them again um.,I have failed the test.,17.315809722470025,0.7583761,I have failed them.,I have failed the test and have failed the class.,48.43558261558289
I be wondering how these be like so.,I was wondering how that was like so perfectly straight.,I be curious.,4.2093821951815595,0.7163378,I be a curious person.,I be a curious person by nature.,45.143768947325384
Bring twothirds to the sides.,Just bring twothirds over to the other side.,Bring the remaining third to the middle.,28.900627637692622,0.88817,Bring the remaining third to the front.,Bring the other third to the front.,68.12374090011359
Order overcome your fear we must face our fears.,In order to overcome our fears we must face our fears.,"In order to face our fears, we must confront them.",50.701340319524746,0.9669181,"In order to face our fears, we must accept them.",In order to face our fears we must take a deep breath.,65.12573391815971
Of i did not like him.,First of all i did not like him.,Of i do not know why i did not like him.,55.50805744852384,0.8741123,Of i do not like him.,Of i do not know why he liked me.,57.648262157763405
And we will see what happen big old balloon.,And we will see what happens to this big old balloon.,It will come back to me big old balloon.,36.94770775121714,0.88762844,It will come back to me big old balloon.,It will come down to earth.,64.95456214997421
Fight us and leave countries.,Fight against us and leave the country.,We'll make them do the right thing.,17.44038726011572,0.7288666,We'll win.,We'll make them do the same.,42.21124054582949
And he travel the world.,And he traveled all over the world.,He likes to go to the beach.,10.381047153548948,0.73378813,He likes to go to the beach and take a swim in the ocean.,He likes to go to the beach and take a sunbath.,62.98007171064285
But sky was get brighter him.,But the sky was getting brighter behind him.,It was a beautiful day.,9.091067365556507,0.81309104,It was a beautiful night.,It was very dark.,42.673021399974495
They knew to go station.,So they knew to go to station o.,They had lived in the city for a long time.,13.90256476512309,0.73496443,They had lived in the city for years.,They had lived in the area for years.,69.9223683268026
I am go to rent it.,So no i am going to rent it.,I want to watch a movie.,11.450705083532311,0.76191384,I want to see it.,I want to watch the movie.,48.817459622991
I be going start there.,I am going to start over there.,I'm going to be able to get a job.,31.787158859981645,0.77158594,I'm going to be a doctor.,I'm going to be able to get everything done.,51.7240544884862
Mary lou its cousin used always.,Mary lou my cousin used to always.,Mary lou is a female name.,24.552099621151818,0.85975814,Mary lou is a woman's name.,Mary lou is a woman.,63.75888631586245
My moms do know what do get me.,My mom does not know what to do to get me out.,I'm a kid and I don't know what I want.,24.842222263669832,0.779932,I'm a kid and I don't know what I want for Christmas.,I'm a kid and I don't know what to get for myself.,66.21341641744927
I be talking greg on friday.,I was talking to greg on friday.,Greg is my best friend.,13.813784201195158,0.79932266,Greg is my best friend in the world.,Greg is my friend.,65.14018450882604
I do think i be.,I do not think i am.,I do think i be.,37.61565978951174,0.88402426,I do think i do.,I do think i be a fool.,59.599134426578935
Oh i did know you be frederick.,Oh i did not know you were so talented frederick.,i'm sorry.,3.9599955777291953,0.68509036,i'm just a snob.,i'm just a slut.,29.740186045542956
So jamie old lady go and yelled them.,So jamie the old lady went and yelled at them.,Jamie is a yeller.,14.314460674977708,0.83872414,Jamie is a brave person.,Jamie is a child.,42.15770350288496
They try really great pant and they look in them.,They try on these really great pants and they look really good in them.,They love the pant and decide to buy them.,20.763829778970393,0.8915575,They love the pant and they buy them.,They like them very much.,47.0245434268818
She need get into some campus group.,She needs to get into some in campus group.,She wants to be a part of something.,19.075187377022253,0.84315467,She wants to be a part of a group.,She wants to be a part of a campus group.,67.65483447062235
Pick ones you want then.,Pick which ones you want then.,Go to the store and buy them.,13.047425917348669,0.7812631,Go to the store.,Go to the store and buy some.,68.36792337954827
But like i say things will work.,But uh like i say things will work out for the best.,I'm not going to let it ruin my day.,10.041348558203575,0.7327435,I just have to stay positive.,I'm not going to let it ruin me.,38.777352833363096
I can fit balloons ittybitty container.,So i can fit all those balloons into this little ittybitty container.,I like to blow up balloons.,14.901486912021394,0.78505456,I like to play with balloons.,I like to blow them up.,48.19418220867955
I take that a good sign.,I took that as a pretty good sign.,I think he'll be able to get a job.,12.464387464387466,0.7602045,I think he'll be able to find a job here.,I think he'll be able to get a job with us.,68.83435105406076
I do know how old it is.,So i do not know how old it is.,It was made in the 18th century.,7.062146892655368,0.7455502,It was made in the late 1800's.,It was built in 1927.,35.27385370846422
I still have not find sauces.,I still have not found the sauce.,I want to make something with them.,13.49901709652955,0.66556644,I want to find the sauces.,I want to find the sauces that I need.,43.071702099611926
You stay right with me.,You stay right here with me.,I'll never let you go.,9.163088119222484,0.84125936,I'll never leave you.,I'll never leave you behind.,59.820269571127305
We have several scars in barn from people bounce trees.,We have several scars in this barn from people bouncing off of trees.,Barns are very hard to repair.,10.984464801821476,0.79033804,Barns are very hard to bounce.,Barns are very strong.,62.07106460423017
I would never be handle it.,I would never be able to handle it.,I am a very squeamish person.,11.148225193385242,0.77732736,I am a very sensitive person.,I am a very weak person.,55.494192248076544
I mean he does seem.,I mean he does not seem to.,I mean he does seem.,57.712514817379976,0.8440082,I mean he does seem like a nice guy.,I mean he does seem to be a nice guy.,62.82626901881756
Yeah we did have it the dining room.,Yeah we did have it once in the dining room.,I'm glad you like it.,6.971512446982674,0.68698025,I'm glad you're okay.,I'm glad you're okay though.,54.67389435398279
No i did bring your set keys.,No i did not bring your set of keys.,I'm sorry i forgot.,8.490060800806475,0.7414534,I'm sorry.,I'm sorry for forgetting.,42.89001402013305
The foods be like unique.,The food is like all unique.,The food be like unique.,51.878448186766434,0.97048724,The food be like unique.,The food be like delicious.,68.98291791975046
See we need to ask ourselves question single day.,See we need to ask ourselves that question every single day.,What do we need to do to be happy?,17.570132820098603,0.7580116,What is the purpose of life?,What do we need to do to be happy.,42.19345630215196
I mean that looks of like black person.,I mean that looks kind of like a black person.,I'm not sure what he looks like.,20.63009232388082,0.80371606,I'm not saying that looks of black person.,I'm not sure what he is.,42.303618561902965
I just played basketballs main beach.,I just played basketball at main beach.,I had fun.,4.166666666666666,0.77653927,I'm a good player.,I'm a good basketball player.,21.556657219935854
You argue me enough i changed my mind.,You argued with me long enough i changed my mind.,You are a good persuader.,12.245153162881216,0.7777033,You are a good friend.,You are a good person.,64.11489476327105
We will put it business basis.,We will put it on a business basis.,We are going to put it on a business basis.,75.22820771689392,0.98930264,We are going to put it business basis.,We are going to put it on the market.,69.29950193669364
She says we are having them do exercises.,She says now we are having them do uh exercises.,She is trying to be nice to them.,17.27349716808206,0.7753478,She wants them to be ready for the test.,She is trying to be nice.,38.90250280876008
But i be not volunteer anything.,But i am not volunteering for anything.,I just want to go to sleep.,10.422254578894936,0.7266982,I just want to go to the store.,I just want to be free.,58.37379597707913
You could even see far away.,You could not even hardly see very far away.,The sky was clear.,7.371690094802223,0.7321217,You were able to see the mountains.,You were able to see the entire city.,28.48508347390345
What be that like bottoms.,What is that gelatin like on the bottom.,Is that like bottoms?,29.98158542978696,0.77672863,Is that a bottom?,Is that a bottoms?,69.19480855059162
Then i go off and worked couple companies and.,Then i went off and worked for a couple of companies and.,i get a job at a bank.,5.010735719139668,0.76501924,i get a job at a small company.,i get a job at a company that i love.,46.261469341530365
If i will make ceviche.,If not then i will make ceviche.,I will buy a lime.,12.36586122311896,0.7948148,I will buy a lime and some fish.,I will buy a whole fish.,51.61058520412253
But it is one of the things that lot colleges use.,Yes but it is one of the things that a lot of colleges use.,It is not a very good test.,9.431620363276688,0.6700704,It is not a good way to test your knowledge.,It is not a good way to test students.,44.657456857938655
I need to get caught my work.,I need to get caught up on my work.,I have a lot to do.,8.225999118828284,0.8892275,I have a lot of homework to do.,I have a lot of things to do.,49.662338875303405
See let us say that be.,See let us say that is approximately.,We say that be.,19.681027735967035,0.8023155,We say that it be.,"We say that be, be, be.",60.35593931541079
