Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2
Spending money this trash.,Spending the money on this trash.,I don't want to waste my time.,12.984596514418067,0.68881136,I don't want to waste my money.,I don't want to be a pig.
My case amelia gonzalez um uh that happen in ninety.,In our first case amelia gonzalez um that uh that happened back in ninety.,It's my case amelia gonzalez um uh that happen in ninety.,60.77755748853012,0.93319774,It's my case amelia gonzalez um uh that happened in ninety.,It's my case amelia gonzalez that happen in ninety.
Which you know i am.,Of which you know i am comfortable with.,I am a fucking fucking fucking fucking fucking ,6.837292567336692,0.6734059,I am a fucking fucking fucking fucking idiot.,I am a fucking fucking fucking fucking fuck.
You pop two.,You popped two.,You pop two.,48.08378351399516,0.93652785,Then you eat two.,You pop two pills.
Have had tool he have that overlap.,Has never had a tool where he had that overlap.,Have had tool he have that overlap.,46.50399403734498,0.82471764,Have had tool he have that overlap.,Have had tool he have that overlap.
If i go uh.,If i go with a uh.,It's going to be a long day.,9.090858676604336,0.6889061,It's going to be a long night.,It's going to be ok.
And that it sound but it be hard do.,And that it sounds easy but it is really hard to do.,It's a lot of work.,5.613466839852463,0.8044608,It's a lot of work to do.,It's a lot of work to do something like that.
Because it would be nice have heats in here meantime.,Because it would be nice to have heat in here in the meantime.,I would like to have heats in here.,34.696600729480906,0.90121037,I would like to have heats in here meanwhile.,I would like to have heats in here at the moment.
You know i have get this week.,You know i had to get really tough in this last week.,I have to get my work done.,13.04978145241383,0.7594244,I have to get to work.,I have to get my work done..
They have salt gland.,They have a salt gland.,They are able to eat seaweed.,18.885273069013614,0.80648524,They are able to make salt water.,They are able to eat seaweed and other things.
Kids that i receive be the three thirdgrader education.,The kids that i receive are the three thirdgraders of the lowest education.,Kids that i receive be the three thirdgrader education.,65.5206597674353,0.8989111,Kids that i receive be the three thirdgrader education.,Kids that i receive be the three thirdgrader education.
There be bag it.,There is a good bag in it.,I be bag it.,15.812544111886154,0.82484055,I be a bag.,I be a bag it.
Tell jury that.,Tell the jury that.,It's a matter of public record.,10.239768277637719,0.7265875,It's a very important point.,It's a matter of principle.
But you know when there is that ones.,But you know when there is that many little ones.,They are hard to come by.,8.37309455942496,0.6866797,They are hard to get.,They are so good.
Maxine say okay.,Maxine said okay.,Maxine is going to the store.,28.40873041060607,0.80928165,Maxine is going to the store to buy a new dress.,Maxine is going to the store to buy a new shirt.
See i be pe teacher but.,See i am originally a pe teacher but.,See i be pe teacher but.,47.4701115252847,0.9462749,See i be pe teacher but.,I be pe teacher but.
But one thing we have to be.,But one thing we have to be careful of.,We have to be honest.,30.37679515007077,0.78088653,We have to be a team.,We have to be a family.
Like clear table.,Like clear the table.,I like clear table.,63.53039270207449,0.8368962,I like clear glass.,I can see the ice cream.
And i will try to i will get hold two.,And then i will try to i will get hold of two more.,And i will try to i will get hold two.,62.8376820718439,0.9527354,I will try to i will get hold two.,I will try to I will get hold two.
And we report how sales we had and they.,And we report how much in sales we had and they.,They are a big company.,10.337838806269655,0.73241353,They are a company.,They are a company that reports.
Mm that be.,Mm that is good.,That be.,10.440861963119593,0.7596481,That be the best.,That be the best song ever.
He never try.,He never tried to.,He was too lazy to learn how to drive a car.,16.157686046433085,0.7656924,He was too lazy to learn how to drive a stick shift.,He was too lazy to learn how to drive a stick shift car.
Some surgeon were going and put them back.,Some of these orthopedic surgeons were going and putting them in the back.,The surgeon was a doctor.,13.969554570538062,0.8093549,The surgeon was a very skilled surgeon.,The surgeon was a very skilled one.
He be like that be.,He is like that is fine.,He be like that be.,39.85353704823356,0.81401813,He be like that be.,He be like that be.
Goes his knees.,Goes down to his knees.,"He's a little shaky, but he's moving.",10.941674535492721,0.7562401,He's praying.,He's a little shaky.
You have give them back.,You have to give them back.,I borrowed them.,12.701007529296396,0.8248063,I borrowed them from someone else.,I borrowed them from someone.
I feel that uh margaret is.,So i felt that uh margaret is.,Margaret is.,39.231692942990165,0.86164796,a kind person and a good friend.,a kind person.
Thereby conceptualize will similar to a mas.,Thereby conceptualizing free will as similar to a healthy ma.,Thereby conceptualize will similar to a mas.,58.46704448723094,0.79620117,Thereby conceptualize will similar to a mas.,"Thereby conceptualize will similar to a mas, thereby conceptualize will similar to a mas."
He move near me.,He moved down near me.,He is a thief.,6.088603080835097,0.72219527,He is a frog.,He is a stranger.
Fish be run do you want come and blah,The fish are running do not you want to come up here and blah.,Fish be run do you want come and blah,33.83103779320832,0.9107511,Fish be run do you want come and blah,Fish be run do you want come and blah
I do not have try grab him heads.,I do not have to try to grab him around the head.,I do not have to try grab him heads.,55.58789023908756,0.9597144,I do not have to try grab his head.,I do not have to try grab him.
Sat it i think no lemon.,Sat it down i thought no lemon.,I sat it i think no lemon.,37.3537179573756,0.9449692,I sat it i think no lemon.,I sat it and i think no lemon.
And they said oh that is.,And they said oh that is good.,And he said oh that isn't.,53.084078626345544,0.7551792,And he said oh that is.,And he said oh that isn't it.
Please bounce it back.,Please bounce it back now.,I'm trying to find it.,5.542074832988826,0.7373514,I'm trying to find the ball.,I'm trying to find the right person.
So he is i es si.,So he is i es a si.,So he is i es si.,70.31903329949346,0.98782945,So he is i es si.,So he is i es si.
Well they were transferring power india were not they.,Well they were transferring the power in india were not they.,Well they were transferring power india were not they.,83.97834355011452,0.9884358,They were transferring power india were not they.,They were transferring power india were not they.
He testified trial youm five years ago.,He testified in a trial youm about five years ago.,He was a good witness.,10.690966634292254,0.8174711,He was a great witness.,He was a very good witness.
I am taking and spaces balloon.,I am sorry taking up more and more space inside these balloons.,I am taking and spaces balloon.,28.70569673588853,0.8254174,I am taking and spaces balloon.,I am taking and space balloon.
If you did care.,If you did not care.,If you really cared.,30.01500660313805,0.8391235,If you really did care.,If you really did.
They film movie at oakland catholic.,They filmed a movie at oakland catholic.,They film movie at oakland catholic.,83.78701010587658,0.988894,They film movie at oakland catholic in california.,They are filming a movie.
That be because i mean going from being handf.,That is really interesting because i mean going from being handfed.,That be because i mean going from being handf.,59.98589174063944,0.845445,That be because i mean going from being handf.,That be because i mean going from being hanff.
Righteousnesses he have fill for you.,The righteousness he had to fill for you.,And he hath redeemed you from all your sins.,18.163914064182464,0.84096885,And he hath filled you with righteousnesses.,And he hath redeemed you from your enemies.
Now i am i am forgetting his shoes.,Now i am not worried i am forgetting my shoes.,I am going to forget his shoes.,27.636232023537538,0.8100164,I am going to forget his shoes at the shoe store.,I am going to forget his shoes at home.
Yeah but why do not you just put.,Yeah but why do not you just put the other.,Yeah but why do not you just put.,75.68752073970153,0.9300608,Yeah but why do not you just put it.,Yeah but why do not you just put?
Oh and this turn hard bones.,Oh and then that turns into hard bone.,Oh and this turn hard bones.,44.09315808170551,0.93551946,Oh and this turn hard bones.,Oh and this turn hard bones.
Or level lake low.,Or level the lake of the low.,Or level lake high.,33.37161087371896,0.882159,Or level lake high.,Or level lake low.
And he do know what do situation.,And he does not know what to do about this whole situation.,He do know what do situation.,35.1680526720751,0.8558949,He do know what to do.,He do know what to do in the situation.
That be why i take rock over here.,That is why i took out all these rocks over here.,I like to listen to music.,8.97280568429096,0.6581728,I like to listen to my music loud.,I like to listen to my music loudly.
And she go on explain she say she be too.,And then she went on to explain she said maybe she was too strong.,She's a teacher.,5.187423110218329,0.68775165,She's a very good explainer.,She's a very good teacher.
See you are new creatures christ because you are united him.,See you are a new creature in christ because you are united to him.,You have become a new creation in him.,26.123287166047444,0.90178955,You have become a new creature in him.,You have become a new creature in Christ.
He is like let us have sexes tonight hearts monitor.,So she had to wear that heart monitor and gordy said you know they want to have a baby and he is like he is like let us have sex tonight with that heart monitor.,He is sexy.,2.269525163057353,0.73983884,He is a man.,He is sexy and charming.
Alright i be pouring cold liquid nitrogens over balloon.,Alright i am pouring the very cold liquid nitrogen over this balloon.,i'm going to blow it up.,8.383101726884929,0.8018328,i'm going to blow the balloon up.,i'm going to blow the balloon up with liquid nitrogen.
I be just kid.,No i am just kidding.,I don't know what to do.,8.679102000287894,0.6783576,I don't know what to do with my life.,I don't know what to do with myself.
I want to rewind it and hear that.,I want to rewind it and hear that back again.,I want to hear it again.,33.925114276256544,0.92876065,I want to hear it again and again.,I want to hear it all.
I do not know they did either.,I do not know why they did not either.,I do not know how they were able to do it.,40.01309176314277,0.792922,I do not know what they did.,I do not know how they were able to do that.
I give stickers you know to.,I gave sticker you know to the.,It's a good way to remember a date.,13.100234483453093,0.6966392,It's a good way to remember a birthday.,It's a good way to remember.
And he give me permission tell story.,And he gave me permission to tell the story.,He was a man of integrity.,10.164219386121404,0.71207243,He was a man of great wisdom.,He was a man of great stories.
I have three.,I have three.,"I have a cat, a dog, and a catfish.",23.193652900792298,0.8384914,"I have a cat, a dog and a catfish.","I have a dog, a cat, and a fish."
Uh i had lot interesting adventures there.,So uh i had a lot of interesting adventures there.,I stayed there for a long time.,17.542946932714145,0.8086027,I stayed there for a year and a half.,I stayed there for a year.
You can overcome that little bits by get their muscle shape.,You can overcome that a little bit by getting your muscle in better shape.,They will be able to run faster.,8.991711290490569,0.73971,They will be able to overcome their little bits.,They will be able to run faster than before.
So now we can have christmas.,So now we can have a merry christmas.,We don't have to worry about the snow.,18.580551757585837,0.74526453,We don't have to worry about the tree.,We don't have to worry about the gifts.
They have definitely lost powers.,No they have definitely lost power.,They are no longer in control.,12.788905560507057,0.78772926,They are no longer in control of the company.,They are no longer able to do magic tricks.
Beth did decide.,Beth did not decide.,Beth was in a hurry to get out of there.,15.672654554543044,0.77800566,Beth was in a hurry to get to the store.,Beth was in a hurry to get to the airport.
So he get radio this summer.,So he got another radio this summer.,He is going to be a radio jockey.,17.59205634331062,0.8143248,He is going to be a radio DJ.,He is going to be a radio jockey in the summer.
Well she never did anything it.,Well she never did anything about it.,She was always so busy.,7.014149892590038,0.7277624,She was a good girl.,She was just a person.
And she broughbotch case.,And then she broughbought a brand new attache case.,She was a thief and a thief's thief.,12.980511216582698,0.67543036,She was a thief.,She was a thief and a thief's victim.
Get his hands me.,Get your hands off me.,He's got his hands on me.,29.46175303151413,0.8609414,He's got his hands full.,He's got his hands.
It can move.,It cannot move.,It is a car.,9.807159934566505,0.7459184,It is a car.,It's a frog.
Like how come it is the news.,Like how come it is not on the news.,I don't get it.,7.477519200339623,0.7180723,I don't know.,I don't get it. I don't know.
At least twenty year work be complete.,For at least twenty years after the work is completed.,At least twenty year work be complete.,52.15530292884611,0.9292658,At least ten year work be complete.,At least twenty year work be done.
A reason to base our decision.,Not a good reason to base your decision though.,We have a reason to be concerned about the situation.,28.91409189650699,0.7239723,We have a reason to be concerned about this issue.,We have a reason to be concerned.
They be make rubbers.,They are made of rubber.,They be a rubber factory.,34.36357989482337,0.8900068,They be a rubber company.,They be a company.
Goes see he be already eliminated this place,Goes in see he is already eliminated this place all you have to do is jerk me around to it and come to me.,Goes see he be already eliminated this place.,39.69478586120077,0.8900777,Goes see he be already eliminated this place,Goes see he be already eliminated this place.
He wants work features.,He wants to work actually features.,He is a hard worker.,11.91000226997011,0.7888681,He is a hard worker at his job.,He is a hard worker at the office.
If you take more.,If you take more advanced.,You will get sicker and sicker.,11.796519302782938,0.70810914,You will get sick.,You will get sicker.
I made it.,I made it.,I was finally able to get a job.,8.771929824561402,0.7644568,I was finally able to get a job in my field.,I was finally able to get a new car.
And he was consider killer.,And he was considered a killer.,He was convicted of murder.,28.605865310900924,0.87390584,He was convicted of murdering a young girl.,He was convicted of murdering a young woman.
Because i had not heard that.,Because i had not heard all of this.,I didn't know if it was true or not.,11.679711891386303,0.79987144,I didn't know what to do.,I didn't know if it was true.
You probably will have ta.,Then you probably will have a ta.,You probably will have to ta.,68.56280419434849,0.9180409,You probably will have to eat ta.,You probably will have to ta.
People say you.,People say you.,You are a good person.,11.996451680233774,0.7594507,You are a bad person.,You are a bad person and you should be embarrassed.
Stephanie said to me friday this is historic day.,Stephanie said to me on friday this is an historic day.,Stephanie is very excited.,21.42282653788691,0.81840765,Stephanie is excited.,Stephanie is very excited about it.
Oh but these fell.,Oh but that fell through.,They are too heavy.,6.666666666666665,0.66052413,They are too heavy for me to lift.,They are too heavy for me to carry.
I invent it.,I invented it.,I am the inventor.,37.98878696304675,0.94809127,I make it.,I make it.
We do know if there is any particular areas those.,So we do not know if there is any particular areas like that.,We do know if there is any particular areas those.,67.67962116247249,0.91114557,We do know if there is any particular areas those.,We do know if there is any particular areas those.
Saw relative coming them.,Saw relatives coming for them.,The relative was in a hurry.,30.862854732932384,0.7857286,The relative was in a hurry to get there.,The relative was in a hurry to go to work.
A herds of pig was feed hillside.,A large herd of pigs was feeding on the nearby hillside.,The pigs were in a pen.,12.63777337785698,0.83450246,The pigs were in a barn.,The pigs were in the pasture.
And now i have probably about five horse.,And right now i have probably only shod about five horses.,I have been riding horses for a long time.,19.959654207362007,0.80970573,I have been riding horses for ten years.,I have been riding horses for a long time now.
And it sounds like.,And so it sounds like.,It's like.,25.430224596507824,0.82515836,It's like.,It's a great idea.
He said you put it.,He said when you put it in.,You didn't put it.,20.42844247577876,0.7531828,You put it.,You put it on the table.
I think i will stop.,I think i will stop there.,I've had enough.,6.802721088435374,0.8127873,I've had enough of this.,I've had enough of it.
I have like city life.,I have always liked city life.,I can walk to my favorite restaurant.,13.459776801535241,0.75707996,I can walk everywhere.,I can walk to my favorite restaurants.
Learn la lambada.,Learn some la lambada.,Learn the lambada.,51.43532097396576,0.9744782,Learn the lambada. Learn the lambada. Learn the lambada. Learn the lamba,Learn the lambada. Learn the lambada. Learn the lambada.
Of bringing beauty.,Of bringing beauty.,Of bringing joy.,56.36546591532462,0.8354373,Of bringing happiness.,Of bringing harmony.
Rule have it that you have have at eighteen.,Hisd rules has it that you have to have at least eighteen.,Rule have it that you have have at eighteen.,53.812265193113795,0.91935617,Rule have it that you have have at eighteen.,Rule have it that you have have at eighteen.
What would i do with scanners.,What would i do with a scanner.,I would scan my family's heirlooms.,21.968114652736652,0.82175374,I would scan my papers.,I would scan my family's photos.
I do know people.,I do not know those people.,I have a lot of friends.,10.1627941039064,0.68566877,I have a lot of acquaintances.,I have a lot of acquaintances in my life.
Did they live.,Where did they live.,"Yes, they did.",19.785985946886342,0.7684865,"Yes, they did and they lived happily ever after.","Yes, they did and are still alive."
He will have much lefts.,He will have this much left.,He will have a lot of leftovers.,44.62689591107441,0.8352543,He will have much lefts if he eats all the food.,He will have much lefts if he eats all of the food.
Votes the way that you vote or.,Vote in the same way that you vote or whatever.,Votes the way that you vote or.,53.09566497575031,0.9018777,Votes the way that you vote or not.,Votes the way that you vote or.
They have a tendencies do everything you.,They have a tendency to do everything for you.,They have a tendencies do everything you.,70.16260801721495,0.93157554,They have a tendency do everything you.,They have a tendencies do everything you do.
And i say debby.,And i said to debby.,And i say debby.,51.636303917600046,0.9029598,And he says debby.,And i say debby.
Even though navys threw you out.,Even though the navy threw you out.,You were still a sailor.,7.399750232253545,0.8207828,You were still a good guy.,You were still a good man.
The people begin plead jesus to leave their region.,Then the people began to plead with jesus to leave their region.,jesus is unable to leave.,18.83441082972206,0.7681248,jesus is unable to leave and begins to scream at the people.,jesus is unable to leave and begins to scold them.
He have cup.,He has a little cup too.,He is a thief.,10.653517182601284,0.7318312,He is a teddy bear.,He drink coffee.
As we read.,As we read in.,As we read.,67.96762956160171,0.9673202,As we read the book.,As we read the story.
Days go by.,Until the day just goes by maybe.,I can't believe it.,8.092804770459356,0.65091634,I can't believe it's already summer.,I can't believe it's already tomorrow.
That would do.,That would do.,I'll put it in the drawer.,9.66183574879227,0.7389903,I'll put it in the refrigerator.,I'll put it in the fridge.
He have telescope.,He has a telescope though.,He can see the stars.,15.321785552701492,0.8393504,He can see the moon.,He can see the stars from his house.
And you turn it and put chocolate side.,And then you turn it over and put chocolate on the other side.,And you put it on a plate and eat it.,17.81022968587137,0.7849078,And you put it on top of ice cream.,And you put it on a plate and eat.
They be and they asked jesus leave region.,They were afraid and they asked jesus to leave the region.,They be and they asked jesus leave region.,56.18674099115677,0.94254583,They be and they asked jesus leave region.,They be and they asked jesus leave region.
Person do that theirselves lea.,People normally do this theirselves lea.,Person do that theirselves lea.,49.42861428542539,0.9145781,Person do that theirselves.,Person do that themselves lea.
Do touch anything.,Do not touch anything yellow.,Do not touch anything.,73.30076691916071,0.8799663,Do not touch anything!,Do not touch anything..
Today and i mean everything looked at stores.,Today and i mean everything looked good at the store.,Today everything looked at stores.,50.19583424511575,0.8637583,Today everything looked at stores.,Today was a good day.
I want fortify.,I want to fortify.,I want to be a soldier.,37.47928196679316,0.82856977,I want to be a soldier.,I want to be a king.
I love bit potty training.,I loved the little bit about the potty training.,I am a big fan of potty training.,36.14270687200804,0.8835137,I am a huge fan of potty training.,I am a big fan of potty training for kids.
It can keep itself right.,So it can keep itself waterproof right.,It's a good thing it can keep itself right.,56.58246015756879,0.8114449,It's a good thing.,It's a good thing it can.
And leave houses.,And never leave the house.,And leave houses. And leave houses. And leave houses. And leave houses. And leave houses. And leave houses.,23.8116986479997,0.7771293,And leave houses. And leave houses. And leave houses. And leave houses. And leave houses. And leave houses. And,"And leave houses. And leave houses, and leave houses, and leave houses, and leave houses, and leave houses, and"
I have d,I have the d the.,I have d id id id id id id id,21.730634376511134,0.9120383,I have d id id id id id id.,I have d id id id id id id and i
If i said way.,If i said no way.,If i said way.,57.37832878297168,0.89943063,If i said way.,If i said yes.
Just s kind show him it i.,Just to s kind of show him how it i.,Just s kind show him it i.,42.94256663321964,0.90589774,Just s kind show him it i.,Just s kind show him it i.
There be no getting it.,There is no getting around it.,There be no getting around it.,79.30166572557877,0.98803914,There be no getting out of it.,There be no getting around that.
You can have house.,You can have the house.,I can have car.,29.847667327625654,0.7982812,I can have a car.,I can have a house.
I ate today than i have week long though.,I ate more today than i probably have all week long though.,I was so hungry.,4.888289823526323,0.8227211,I was so hungry today.,I was hungry today.
But none ours go killers ends its life.,But none of ours go to the killers at the end of their life.,We all have killers in our family.,19.581275864520418,0.7653532,We all have killers in our lives.,We all have killers in us.
Try some it.,Try some of it first.,It is very good.,10.35580022624242,0.66800785,It is good.,It is a good idea.
You would have have monies left.,You would not have had any money left anyway proba.,You would have have monies left.,32.12771999442137,0.9025556,You would be able to pay your rent.,You would be able to pay your bill.
It was like a little dribbles.,It was just like a little dribble.,It was like a little dribbles.,72.90083988171196,0.96803087,It was like a little dribbles.,It was like a little dribble.
You might have add.,You might have to add.,You might have to add.,100.0,1.0,You might have to add more.,You might have to add more water.
See nancy was go.,See nancy was going off.,Nancy was naughty.,29.69088665230648,0.8753853,Nancy was nancy.,Nancy was nancy go.
And kind thing is.,And that kind of thing is.,I'm a very kind person.,12.57171669309716,0.6336878,I'm a very generous person.,I'm a very kind person and I always try to be.
Well it be pack up garbage bags now.,Well it is all packed up in garbage bags now.,The garbage truck be coming soon.,23.153121748394376,0.7694529,The garbage truck is going to pick them up.,The garbage truck be coming.
No it is it looks.,No it is it looks pretty good.,"It's a beautiful day, isn't it?",11.016536778623262,0.765687,"It's a beautiful day, isn't it.",It's a beautiful day.
You be guy talk.,You are the guy to talk to then.,You be guy talk.,24.101826351613422,0.83032775,You be guy talk.,You be guy talk to.
I do know she was pregnant three months.,I did not even know she was pregnant three months ago.,I just don't know how long she was pregnant.,38.232544583780474,0.8415482,I just don't know how long.,I just don't know how long she had been pregnant.
Can you teach threeyearold tap dances.,How can you teach a threeyearold to tap dance.,"Yes, you can.",7.29026095463941,0.6430682,yes you can.,"yes, you can."
And something in me say no.,And then something in me said no.,"I'm not in love with you, you're not in love with me.",14.578653540569078,0.7356793,"I'm not in love with you, you're in love with me.","I'm not in love with you, you're not in love with me!"
Kim was stay night.,Kim was not staying the night.,Kim had a lot of work to do that day.,13.859389671210195,0.8147789,Kim had a lot of work to do.,Kim had a lot of work to do at the office.
