Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2
Alright you little shit i be going throw you wall.,Alright you little shit i am going to throw you against this wall.,Complete this sentence: Alright you little shit i be going throw you wall.,60.693750134511326,0.94235086,Complete this sentence: Alright little shit i be going throw you wall.,Complete this sentence: Alright you little shit i be going throw you wall!
Those be things i said.,That was the first thing i said.,True. Complete this sentence: Those be things i said.,28.5901107459087,0.7957794,True or false. Complete this sentence: Those be things i said.,True. Complete this sentence: These be things i said.
Bring the bottle.,Bring the bottles.,Complete the sentence: Bring the bottle.,68.80302912263842,0.896964,Complete the sentence: Bring the bottle.,Bring the bottle.
You do it.,You did it too much.,sentence: You do it. complete this sentence: You do it. complete this sentence: You do it. complete this sentence,12.795564251822416,0.719378,sentence: You do it. complete this sentence: You do it. complete this sentence: You do it.,sentence: You do it. you do it. you do it. you do it. you do it. you do it
I have it store.,I have it at the store.,unacceptable,6.0152643543505855,0.66042244,unacceptable,acceptable
It take lo time teach them to work.,It takes a lo time to teach them how to work together.,Complete the sentence: It took lo time teach them to work.,44.48166548463321,0.8830843,Complete the sentence: It took lo time teach them work.,Complete the sentence: It took lo time teach them how to work.
There is like tamara that shop.,There is like tamara that sandwich shop.,4. Complete this sentence: There is like tamara that shop.,65.23860886908349,0.84665835,The tamara that shop is like tamara that shop.,4. Complete this sentence: There is like tamara that shop..
I mean greg.,I mean greg.,I mean greg.,100.0,1.0000002,I mean greg.,Complete the sentence: I mean greg.
Then winds died and it be calm.,Then the wind died down and it was completely calm.,Then winds died and it be calm.,27.604508088202596,0.95054793,Then winds died and it be calm.,Then winds died and it be calm. Complete the sentence:
You probably could get todays.,You probably could not get that today.,acceptable,6.7362396792552515,0.6733037,acceptable,acceptable
I go and see their house night.,I went and saw their house the other night.,Complete the sentence: I go and see their house night.,44.84273550198091,0.8815764,Complete the sentence: I go and see their house night.,Complete the sentence: I go to see their house night.
There be just one.,No there is just one.,There be just one.,48.82090971281909,0.9021286,There be just one.,There be just one.
Thaand these is that kick on side like that water.,Thaand that is that kicked up on the side like that the water.,Complete the sentence: Thaand these is that kick on side like that water.,58.38367898410232,0.91362166,Complete the sentence: Thaand these is that kick on side like that water.,Complete the sentence Thaand these is that kick on side like that water.
They are than i think.,They are higher than i thought.,Complete this sentence: They are than i think.,37.87358795397041,0.81285036,Complete this sentence: They are than i think. Complete this sentence: They are than i think.,Complete this sentence: They are than i think. Complete this sentence: They are than i think. Complete this sentence
And i will hand your documents.,And i will hand back your documents.,Complete the sentence: i will hand your documents.,60.373947576098665,0.90228176,Complete the sentence: I will hand your documents.,Complete the sentence: i will hand you your documents.
Which show that my lack history.,Which shows that my lack of history.,Complete this sentence: Which show that my lack history.,62.981134469027985,0.9494702,Complete this sentence: Complete this sentence: Which show that my lack history.,Complete this sentence: which show that my lack history.
So you got go this time.,So you got to go this time.,acceptable,1.7730496453900706,0.64214474,unacceptable,unacceptable
Like shoots say twentyfive or.,Like shoot for say twentyfive or.,Complete the sentence: Like shoots say twentyfive or.,68.81205646788243,0.8696431,Like shoots say twentyfive or.,Like shoots say twentyfive or.
And uh we are pull and i see girls.,And uh we are pulling up and i see this girl.,Complete the sentence: And uh we are pull and i see girls.,54.1191709309483,0.8288602,Complete the following sentence: And uh we are pull and i see girls.,Complete the sentence: We are pull and i see girls.
I get up so i think these be probably.,When i got up so i thought that is probably not good.,True or False Complete this sentence: I get up so i think these be probably.,33.021802531678404,0.76463795,True or False Complete this sentence: i get up so i think these be probably.,True or false: I get up so i think these be probably.
Well turn them.,Well turn them up.,Complete the sentence: Well turn them.,60.4236924084577,0.84124875,Complete the sentence: Well turn them.,Well turn them.
I be oh shoet.,I was like oh shoot.,The sentence: I be oh shoet.,27.316603799032112,0.79364735,"The sentence: ""I be oh shoet."" Complete this sentence: ""I be oh shoet.""","The sentence: ""I be oh shoet."" Complete this sentence: I be oh shoet."
Problems go out.,The problem going out.,Problems go out.,34.29779372226601,0.90795666,Complete the sentence: Problems go out.,Complete the sentence: Problems go in.
We have a lots catch up.,We have a lot to catch up on.,Complete this sentence: We have a lot catch up.,54.216207603950785,0.9075172,Complet this sentence: We have a lot catch up.,Complete this sentence: We have a lots catch up.
I think you guy put it.,I think you guys put it in.,acceptable,1.7730496453900706,0.6973864,acceptable,acceptable
And green and peppers cut up.,And um green and red peppers cut up.,Complete the sentence: And green and peppers cut up.,60.86782455974787,0.94658524,Complete the sentence: And green and peppers cut up.,Complete the sentence: And green and peppers cut up.
I would hate bounce a check.,I would hate to bounce a check.,True,2.403846153846154,0.68233716,True,acceptable
It be go be,It is going to be hard to.,Complete the following sentence: It be go be.,17.268452512371155,0.6966977,Complete the sentence: It be go be.,Complete the following sentence: It be go be!
Time you go bed last nights.,Time you go to bed last night.,unacceptable,6.172839506172839,0.6647854,acceptable,acceptable
That be that be.,That is that is very true.,3.............,0.8503401360544217,0.6595974,3. Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence:,3. Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence: complete this sentence:
And kid had to do was get her through.,And all the kids had to do was get her through.,Complete the sentence: And kid had to get her through.,47.626668752237116,0.85734177,Complete the following sentence: And kid had to get her through.,True
I thought why.,I thought why.,I thought why.,100.0,0.9999999,I thought why. Complete the sentence: I thought why.,I thought why. I thought why.
Spending money this trash.,Spending the money on this trash.,Complete the sentence: Spending money this trash.,58.43451238306251,0.9575404,False,Complete the sentence: Spending money on this trash.
My case amelia gonzalez um uh that happen in ninety.,In our first case amelia gonzalez um that uh that happened back in ninety.,acceptable,3.950347582836928,0.6449768,acceptable,unacceptable
Which you know i am.,Of which you know i am comfortable with.,Complete this sentence: Which you know i am.,43.007585554150594,0.8270923,Complete this sentence: Which you know i am. Complete this sentence: Complete this sentence: Which you know i am,Complete this sentence: Which you know i am. Complete this sentence: Complete this sentence: Complete this sentence: Complete this
You pop two.,You popped two.,You pop two.,48.08378351399516,0.93652785,You pop two.,You pop three.
Have had tool he have that overlap.,Has never had a tool where he had that overlap.,unacceptable,4.0650406504065035,0.6599018,unacceptable,True
If i go uh.,If i go with a uh.,4. complete this sentence: if i go uh. complete this sentence: if i go u,15.729450237717243,0.86149,4. complete this sentence: if i go uh.,4. complete this sentence: if i go uh. complete this sentence: i go uh.
And that it sound but it be hard do.,And that it sounds easy but it is really hard to do.,Complete the sentence: And that it sound but it be hard do.,43.97111515217092,0.8503014,Complete the following sentence: And that it sound but it be hard do.,Complete the following sentence: And that it sound but it be hard do.
Because it would be nice have heats in here meantime.,Because it would be nice to have heat in here in the meantime.,True,1.8382352941176467,0.69853914,True,False
You know i have get this week.,You know i had to get really tough in this last week.,acceptable,2.8089887640449436,0.6160723,acceptable,unacceptable
They have salt gland.,They have a salt gland.,Complete the sentence: They have salt gland.,63.10726201844544,0.9528837,Complete the sentence: They have salt gland.,Complete this sentence: They have salt gland.
Kids that i receive be the three thirdgrader education.,The kids that i receive are the three thirdgraders of the lowest education.,unacceptable,3.4783794957698073,0.7315938,unacceptable,unacceptable
There be bag it.,There is a good bag in it.,There be bag it.,28.75523150098275,0.88767636,Complete the sentence: There be bag it.,Complete the following sentence: There be bag it.
Tell jury that.,Tell the jury that.,Tell jury that.,61.134030725173986,0.9800692,Tell jury that.,Tell jury that.
But you know when there is that ones.,But you know when there is that many little ones.,Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence: Complete,9.960228252235485,0.6520958,Complete this sentence: But you know when there is that ones.,Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence:
Maxine say okay.,Maxine said okay.,acceptable,3.571428571428571,0.7632783,OK. Complete the sentence: Maxine say okay.,OK. – Complete the sentence: Maxine say okay.
See i be pe teacher but.,See i am originally a pe teacher but.,Complete the sentence: See i be pe teacher but.,43.132271043655535,0.91079265,Complete the sentence: See i be pe teacher but.,Complete the sentence: I be pe teacher but.
But one thing we have to be.,But one thing we have to be careful of.,Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence: Complete,8.147371452779113,0.6696026,Complete this sentence: complete this sentence: complete this sentence: complete this sentence: complete this sentence: complete this sentence: complete,Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence:
Like clear table.,Like clear the table.,Like clear table.,71.17797632250696,0.895799,Like clear table.,Complete the sentence: Like clear table.
And i will try to i will get hold two.,And then i will try to i will get hold of two more.,Complete the sentence: And i will try to i will get hold two.,61.27616877401708,0.92239916,Complete the following sentence: And i will try to i will get hold two.,Complete the sentence: And i will try to i will get hold of two.
And we report how sales we had and they.,And we report how much in sales we had and they.,True,2.4038461538461537,0.67521214,True,False
Mm that be.,Mm that is good.,Complete the following sentence: Mm that be.,27.244057608290955,0.77476794,Mm that be.,Complete the following sentence: Mmm that be.
He never try.,He never tried to.,Completion of the sentence: He never try.,43.191689317660284,0.9063581,Completion of the sentence: He never try.,Completion of the sentence: She never try.
Some surgeon were going and put them back.,Some of these orthopedic surgeons were going and putting them in the back.,Complete the sentence: Some surgeon were going and put them back.,47.34942616267793,0.87655985,Complete the sentence: Some surgeon were going and put them back.,Complete the sentence: Some surgeon were going and put them back.
He be like that be.,He is like that is fine.,Complete the sentence: He be like that be.,33.46442830462215,0.79134303,Complete the sentence: He be like that be.,Complete the sentence: He be as that be.
Goes his knees.,Goes down to his knees.,Complete this sentence: Goes his knees.,43.857398873551624,0.9125476,"Or, complete this sentence: Goes his knees.",Complete this sentence: Goes to his knees.
You have give them back.,You have to give them back.,You have to give them back.,100.0,0.99999976,You have to give them back.,You have to give them back.
I feel that uh margaret is.,So i felt that uh margaret is.,Complete this sentence: I feel that uh margaret is.,63.244533434489256,0.93750995,Complete this sentence: uh margaret is.,Complete this sentence: uh uh margaret is.
Thereby conceptualize will similar to a mas.,Thereby conceptualizing free will as similar to a healthy ma.,unacceptable,6.90994147916191,0.6313407,unacceptable,True
He move near me.,He moved down near me.,Complete the sentence: He move near me.,43.49821069150438,0.8827636,Complete the sentence: He moved near me.,Complete the sentence: He move near you.
Fish be run do you want come and blah,The fish are running do not you want to come up here and blah.,Complete the following sentence: Fish be run do you want come and blah.,38.69255611732868,0.8780607,Complete the following sentence: Fish be run do you want come and blah?,Complete the sentence: Fish be run do you want come and blah.
I do not have try grab him heads.,I do not have to try to grab him around the head.,Comple this sentence: I do not have try grab him heads.,44.774632364477526,0.8697829,Complet this sentence: I do not have try grab him heads.,Comple this sentence: I do not try grab him heads.
Sat it i think no lemon.,Sat it down i thought no lemon.,Complete the sentence: Sat it i think no lemon.,36.938723718517366,0.9309051,Complete the sentence: sat it i think no lemon.,Complete the sentence: i think no lemon.
And they said oh that is.,And they said oh that is good.,Complete this sentence: And they said oh that is.,67.3397459182269,0.829659,Complete this sentence: And they said oh that is.,Complete this sentence: And they said oh that is.
Please bounce it back.,Please bounce it back now.,Please bounce it back.,82.64354712091236,0.9679464,Please bounce it back.,Please complete the sentence: Please bounce it back.
So he is i es si.,So he is i es a si.,Complete this sentence: So he is i es si.,50.313924776078146,0.9511605,Complete the following sentence: So he is i es si.,Complete the sentence: So he is i es si.
Well they were transferring power india were not they.,Well they were transferring the power in india were not they.,True,1.201923076923077,0.72114325,True,acceptable
He testified trial youm five years ago.,He testified in a trial youm about five years ago.,Complete the sentence: He was convicted trial youm five years ago.,47.954171955285645,0.91285545,Complete the sentence: He was convicted of trial youm five years ago.,Complete this sentence: He was arrested five years ago.
I am taking and spaces balloon.,I am sorry taking up more and more space inside these balloons.,Complete the sentence: I am taking and spaces balloon.,35.47032551585597,0.79487085,I am taking and spaces balloon.,I am taking and spaces balloon.
If you did care.,If you did not care.,True.,7.36162361623616,0.6905129,True.,True.
They film movie at oakland catholic.,They filmed a movie at oakland catholic.,acceptable,4.5662100456621,0.68344295,acceptable,True
That be because i mean going from being handf.,That is really interesting because i mean going from being handfed.,Complete the sentence: That be because i mean going from being handf.,59.418899531491085,0.8091303,Complete the sentence: i mean going from being handf.,Complete the sentence: That be because i mean going from being h.
Righteousnesses he have fill for you.,The righteousness he had to fill for you.,Completion of sentence: Righteousnesses he have fill for you.,58.84455474160548,0.91355157,Completion of the sentence: Righteousnesses he have fill for you.,Complete the sentence: Righteousnesses he have fill for you.
Now i am i am forgetting his shoes.,Now i am not worried i am forgetting my shoes.,Complete the sentence: Now i am i am forgetting his shoes.,49.68774534772941,0.7998054,Complete the sentence: Now i am i am forgetting his shoes.,Complete the sentence: Now i am i am forgetting his shoes.
Yeah but why do not you just put.,Yeah but why do not you just put the other.,True or false Complete the sentence: Yeah but why do not you just put.,67.4893017987694,0.8679584,True or false Complete the sentence: Yeah but why do you not you just put.,True or false Complete the sentence: Yeah but why do not you just put?
Oh and this turn hard bones.,Oh and then that turns into hard bone.,Complete the sentence: Oh and this turn hard bones.,45.60712889210417,0.89600146,Complete the following sentence: Oh and this turn hard bones.,Complete the sentence: Oh and this turn hard bone.
Or level lake low.,Or level the lake of the low.,Or level lake low.,43.108740580738385,0.89018697,Or level lake low.,Or level lake low.
And he do know what do situation.,And he does not know what to do about this whole situation.,Complete the sentence: And he do know what do situation.,43.86754896677135,0.8519584,Complete the sentence: And he know what do situation.,Complete the sentence: And he did know what do situation.
That be why i take rock over here.,That is why i took out all these rocks over here.,Complete this sentence: That be why i take rock over here.,40.26546962411448,0.8180342,Complete this sentence: That be why i take rock over here.,Complete this sentence: That be why i take rock over here.
And she go on explain she say she be too.,And then she went on to explain she said maybe she was too strong.,Complete the sentence: And she go on explain she say she be too.,36.01660121002773,0.79531276,Complete the following sentence: And she go on explain she say she be too.,Complete the sentence: She go on explain she say she be too.
See you are new creatures christ because you are united him.,See you are a new creature in christ because you are united to him.,Declare: See you are new creatures christ because you are united him.,74.86101683058723,0.9372287,Declare: See you are new creatures christ because you are united him. Complete the sentence: See you are new creatures,Declare: See you are new creatures christ because you are united to him.
He is like let us have sexes tonight hearts monitor.,So she had to wear that heart monitor and gordy said you know they want to have a baby and he is like he is like let us have sex tonight with that heart monitor.,Complete the sentence: He is like let us have sexes tonight hearts monitor.,30.136740256534473,0.86494017,Complete the sentence: I am like let us have sexes tonight hearts monitor.,Complete the sentence: He is like let us have sexes tonight.
Alright i be pouring cold liquid nitrogens over balloon.,Alright i am pouring the very cold liquid nitrogen over this balloon.,acceptable,3.0991735537190084,0.68041825,acceptable,acceptable
I be just kid.,No i am just kidding.,Complete the sentence: I be just kid.,28.66409570904988,0.77012867,Complete the sentence: I be just kid.,Complete the sentence: I be kid.
I want to rewind it and hear that.,I want to rewind it and hear that back again.,Complete this sentence: I want to rewind it.,41.54685308977813,0.919754,Complete this sentence: I want to rewind it.,Complete this sentence: I want to rewind it.
I do not know they did either.,I do not know why they did not either.,acceptable,1.923076923076923,0.63530827,True,unacceptable
I give stickers you know to.,I gave sticker you know to the.,acceptable,3.787878787878788,0.69735014,acceptable,True
And he give me permission tell story.,And he gave me permission to tell the story.,Complete the sentence: And he give me permission tell story.,61.66357354515174,0.9366715,Complete the sentence: And he give me permission to tell story.,Complete the sentence: And I give him permission tell story.
I have three.,I have three.,sentence: I have three. complete this sentence: I have three. complete this sentence: I have three. complete this sentence,31.292444131147313,0.8986242,sentence: I have three. complete this sentence: I have three. complete this sentence: I have three. complete this sentence,sentence: I have three. complete this sentence: I have three. complete this sentence: I have three.
Uh i had lot interesting adventures there.,So uh i had a lot of interesting adventures there.,Complete this sentence: uh i had lot interesting adventures there.,69.59991751869113,0.9673095,Complete this sentence: Uh i had lot interesting adventures there.,Complete this sentence: i had lot interesting adventures there.
You can overcome that little bits by get their muscle shape.,You can overcome that a little bit by getting your muscle in better shape.,Complete this sentence: Complete this sentence: You can overcome this sentence: You can overcome this sentence: You can overcome this sentence,28.63386743362411,0.7736683,Complete this sentence: Complete this sentence: You can overcome this sentence: You can overcome this sentence: You can overcome this sentence,Complete this sentence: Complete this sentence: Complete this sentence: You can overcome this sentence: You can overcome this sentence: You
So now we can have christmas.,So now we can have a merry christmas.,Complete the sentence: So now we can have christmas.,63.28942115844012,0.92609274,Complete the sentence: So now we can have christmas.,Complete the sentence: We can have christmas.
They have definitely lost powers.,No they have definitely lost power.,the following sentence: They have definitely lost powers.,77.03589358837664,0.86990976,the following sentence: Complete the following sentence: They have definitely lost powers.,the following sentence: They have definitely lost powers. complete this sentence:
Beth did decide.,Beth did not decide.,Complete the sentence: Beth did decide.,51.387572123675874,0.87943673,Complete the sentence: Beth did decide.,Complete the sentence: Beth did not decide.
So he get radio this summer.,So he got another radio this summer.,Complete the sentence: So he get radio this summer.,57.35213276549269,0.8857541,Complete the sentence: So he get radio this summer.,Complete the sentence: So he get radio this summer?
Well she never did anything it.,Well she never did anything about it.,Complete the sentence: Well she never did anything it.,68.96413144886569,0.8579691,Complete the following sentence: Well she never did anything it.,Complete the sentence: Well she never did anything to me.
And she broughbotch case.,And then she broughbought a brand new attache case.,False,2.276761657209877,0.6280153,True,True
Get his hands me.,Get your hands off me.,Complete the sentence: Get his hands me.,23.181400699342678,0.82521594,Complete the sentence: Get her hands me.,Complete the sentence: Get his hands off me.
It can move.,It cannot move.,Complete the sentence: It can move.,36.51890971446773,0.8248709,Complete the sentence: It can move.,It can move.
Like how come it is the news.,Like how come it is not on the news.,Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence: Complete,9.520527727362065,0.6255139,Complete this sentence: Complete this sentence: Complete this sentence: complete this sentence: complete this sentence: complete this sentence: complete,Complete this sentence: Complete this sentence: Complete this sentence: Complete this sentence: complete this sentence: complete this sentence: complete
At least twenty year work be complete.,For at least twenty years after the work is completed.,Complet this sentence: At least twenty year work be complete.,51.40881407292932,0.89531183,complete this sentence: At least twenty year work be complete.,complete this sentence: at least twenty year work be complete.
A reason to base our decision.,Not a good reason to base your decision though.,4. Complete this sentence: A reason to base our decision.,49.57288074478171,0.7792709,3. complete this sentence: A reason to base our decision.,4. Complete this sentence: A reason to base our decision. Complete this sentence:
They be make rubbers.,They are made of rubber.,Complete this sentence: They be make rubbers.,29.651494588315714,0.88354206,Complete this sentence: They be make rubbers.,complete this sentence: They be make rubbers.
Goes see he be already eliminated this place,Goes in see he is already eliminated this place all you have to do is jerk me around to it and come to me.,Complete this sentence: Goes see he be already eliminated this place,41.66534996490108,0.8747617,Complete this sentence: Goes see he be already eliminated this place.,Complete this sentence: Gos see he be already eliminated this place.
He wants work features.,He wants to work actually features.,Complete the sentence: He wants work features.,44.72790200712888,0.8931818,Complete the sentence: She wants work features.,Complete the sentence: He wants to work features.
If you take more.,If you take more advanced.,acceptable,6.894571155481896,0.7103708,equivalent.,acceptable.
I made it.,I made it.,I made it.,100.0,1.0000002,I made it.,Complete this sentence: I made it.
And he was consider killer.,And he was considered a killer.,Complete this sentence: And he was consider killer.,66.46336236050264,0.94680405,Complete this sentence: And he was consider killer.,Complete this sentence: And he was considered killer.
Because i had not heard that.,Because i had not heard all of this.,acceptable,4.62962962962963,0.6480069,unacceptable,unacceptable
You probably will have ta.,Then you probably will have a ta.,You probably will have ta. Complete this sentence: You probably will have ta.,54.016110581140765,0.912663,You probably will have ta.,You probably will have ta. Completion this sentence: You probably will have ta.
People say you.,People say you.,Complete the sentence: People say you.,72.23022794760757,0.9433967,Complete the following sentence: People say you.,Complete the following sentence: People say you are.
Stephanie said to me friday this is historic day.,Stephanie said to me on friday this is an historic day.,Complete this sentence: Stephanie said to me friday this is historic day.,73.70462244776844,0.9735817,Complete this sentence: Stephanie said friday this is historic day.,Complete this sentence: Stephanie said to me on friday this is historic day.
Oh but these fell.,Oh but that fell through.,Oh but these fell.,35.0179409752481,0.8293308,Oh but these fell.,Oh but these fell.
I invent it.,I invented it.,----------------------------------------------------------------------,0.0,0.69838583,The....................................,------------------------------------------------------------- --------
We do know if there is any particular areas those.,So we do not know if there is any particular areas like that.,Complete this sentence: We do know if there is any particular areas those.,64.50626487517044,0.8920481,Complete this sentence: We do know if there are any particular areas those.,Complete this sentence: We do not know if there is any particular areas those.
Saw relative coming them.,Saw relatives coming for them.,Complete the sentence: Saw relative coming them.,55.03606500702497,0.88669246,Complete the following sentence: Saw relative coming them.,True or false: Saw relative coming them.
A herds of pig was feed hillside.,A large herd of pigs was feeding on the nearby hillside.,Comple this sentence: A herds of pig was feed hillside.,39.78329258132706,0.9477711,Comple this sentence: a herds of pig was feed hillside.,Completion this sentence: A herds of pig was feed hillside.
And now i have probably about five horse.,And right now i have probably only shod about five horses.,Complete this sentence: And now i have probably about five horse.,58.19910360801962,0.855173,Complete this sentence: And now i have probably about five horse.,Complete this sentence: And i have probably about five horse.
And it sounds like.,And so it sounds like.,Complete the sentence: And it sounds like.,60.98485917290755,0.8921509,Complete the sentence: And it sounds like.,Complete the following sentence: And it sounds like.
He said you put it.,He said when you put it in.,acceptable,4.4326241134751765,0.67873657,acceptable,unacceptable
I think i will stop.,I think i will stop there.,sentence: i think i will stop. complete this sentence: i think i will stop.,46.32915475422345,0.89109606,sentence: I think i will stop. complete this sentence: i think i will stop.,sentence: i think i will stop. complete this sentence: i think i will stop. complete this sentence
I have like city life.,I have always liked city life.,Complete the sentence: I have like city life.,42.578441654543475,0.86130476,I have like city life.,Complete the sentence: I have liked city life.
Learn la lambada.,Learn some la lambada.,Learn la lambada.,62.056075065709614,0.9918347,Learn la lambada.,La lambada.
Of bringing beauty.,Of bringing beauty.,Complete the sentence: Of bringing beauty.,78.2789392642038,0.93984973,Complete the following sentence: Of bringing beauty.,Complete this sentence: Of bringing beauty.
Rule have it that you have have at eighteen.,Hisd rules has it that you have to have at least eighteen.,unacceptable,3.76077484648789,0.67404854,unacceptable,unacceptable
What would i do with scanners.,What would i do with a scanner.,Complete this sentence: What would i do with scanners.,67.45978759343745,0.94365156,Completion this sentence: What would i do with scanners.,Complete this sentence: What would i do with scanners?
I do know people.,I do not know those people.,or a similar phrase: I do know people.,35.80170155143845,0.7533952,or a similar sentence: I do know people.,or a similar sentence: I know people.
Did they live.,Where did they live.,True or False.,6.3195254764683,0.71863896,Did they live.,Did they die.
He will have much lefts.,He will have this much left.,Complete the sentence: He will have much lefts.,58.18066894859029,0.84596837,Complete the sentence: He will have much lefts.,Complete the sentence: He will have much left.
Votes the way that you vote or.,Vote in the same way that you vote or whatever.,True or False,5.690269298151573,0.67663264,True or false,True
They have a tendencies do everything you.,They have a tendency to do everything for you.,True or false: They have a tendency to do everything you.,82.34357543530831,0.8888432,True or false: They have a tendency to do everything you.,True or false: They have a tendencies do everything you.
And i say debby.,And i said to debby.,complete this sentence: and i say debby.,35.993829620875246,0.8954872,complete this sentence: and i say debby..........................................................................................................................................................................................,i say debby. i say debby. i say debby. i say de
Even though navys threw you out.,Even though the navy threw you out.,False,1.6528925619834716,0.66230005,True,True
The people begin plead jesus to leave their region.,Then the people began to plead with jesus to leave their region.,Complete this sentence: the people begin plead jesus to leave their region.,66.9702991064731,0.94562817,Complete this sentence: the people begin pleading jesus to leave their region.,Complete this sentence: The people begin pleading jesus to leave their region.
He have cup.,He has a little cup too.,Complete the sentence: He have cup.,22.873831636699567,0.88091564,Complete the sentence: He have cup.,Complete the sentence: He have a cup.
As we read.,As we read in.,As we read.,67.96762956160171,0.9673202,As we read.,"As we read, complete the sentence: As we read."
Days go by.,Until the day just goes by maybe.,Days go by.,7.93086435836566,0.8756316,Days go by.,Days go by.
That would do.,That would do.,acceptable,4.310344827586206,0.79364437,acceptable,acceptable
He have telescope.,He has a telescope though.,Complete the sentence: He have telescope.,41.24547322322073,0.89862764,Complete this sentence: He have telescope.,Complete the sentence: He has telescope.
And you turn it and put chocolate side.,And then you turn it over and put chocolate on the other side.,Complete this sentence: And you turn it and put chocolate side.,51.01040374556779,0.93185115,Complete the sentence: And you turn it and put chocolate side.,Complete the sentence: And you turn it and put chocolate side.
