Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2
Tell jury that.,Tell the jury that.,Tell the jury that.,100.0,1.0,Tell the jury that.,Tell the jury about that.
But you know when there is that ones.,But you know when there is that many little ones.,But you know when there is that one.,66.79228083219633,0.78735536,But you know when there is that one.,But you know when there is that one.
Maxine say okay.,Maxine said okay.,Maxine said okay.,100.0,1.0000002,Maxine said okay.,Maxine said okay.
See i be pe teacher but.,See i am originally a pe teacher but.,See i am a pe teacher but.,58.19377938144298,0.95602465,See i am a pe teacher but.,See i am a pe teacher but.
But one thing we have to be.,But one thing we have to be careful of.,But one thing we have to be.,69.73943150423221,0.8317326,But one thing we have to be.,But one thing we have to be careful about.
Like clear table.,Like clear the table.,Like clear table.,71.17797632250696,0.895799,Like clear table.,Like clear the table.
And i will try to i will get hold two.,And then i will try to i will get hold of two more.,And i will try to i will get hold of two.,73.29977310697939,0.96946055,And i will try to i will get hold of two.,And i will try to i will get hold of the other two.
And we report how sales we had and they.,And we report how much in sales we had and they.,And we report how much sales we had and they.,88.05371765891114,0.99565315,And then we report how much sales we had and they.,And we report how much sales we had and they all.
Mm that be.,Mm that is good.,Mm that is.,56.72208192208554,0.8630806,Mm that is.,Mm that is pretty.
He never try.,He never tried to.,He never tried.,79.21892115428204,0.9575231,He never tried.,He never tried.
Some surgeon were going and put them back.,Some of these orthopedic surgeons were going and putting them in the back.,Some surgeon was going to put them back.,29.179902598302043,0.8864849,Some surgeon was going to put them back.,Some surgeon was going to put them back together.
He be like that be.,He is like that is fine.,He is like that is.,73.85244328778371,0.8522427,He is like that is.,He is like that is.
Goes his knees.,Goes down to his knees.,Goes to his knees.,63.31935566544045,0.98539484,Goes to his knees.,Goes on his knees.
You have give them back.,You have to give them back.,You have to give them back.,100.0,0.99999976,You have to give them back.,You have to give them back.
I feel that uh margaret is.,So i felt that uh margaret is.,I feel that uh margaret is.,73.61649558940611,0.9710783,I feel that uh margaret is not.,I feel that uh margaret is great.
Thereby conceptualize will similar to a mas.,Thereby conceptualizing free will as similar to a healthy ma.,Thereby conceptualize will be similar to a mas.,58.30899527087621,0.7811402,Thereby conceptualize will be similar to a mas.,Thereby conceptualize will be like a mas.
He move near me.,He moved down near me.,He moved near me.,59.31686519948626,0.9554274,He moved near me.,He moved near me.
Fish be run do you want come and blah,The fish are running do not you want to come up here and blah.,Fish are running do you want to come and blah blah blah blah.,63.08236567503781,0.92286587,Fish are running do you want to come and blah blah blah.,Fish are running do you want to come and blah blah blah blah blah.
I do not have try grab him heads.,I do not have to try to grab him around the head.,I do not have to try to grab him in the head.,77.9610309770085,0.9902841,I do not have to try to grab him in his head.,I do not have to try to grab him in the head again.
Sat it i think no lemon.,Sat it down i thought no lemon.,Sat it i think no lemon.,41.533586136450516,0.9420982,Sat it i think no lemon.,Sat it i think no lemon.
And they said oh that is.,And they said oh that is good.,And they said oh that is.,80.29262718195105,0.89496017,And they said oh that is awesome.,And they said oh that is really.
Please bounce it back.,Please bounce it back now.,Please bounce it back.,82.64354712091236,0.9679464,Please bounce it back.,Please bounce it back.
So he is i es si.,So he is i es a si.,So he is i es si.,70.31903329949346,0.98782945,So he is i es si.,So he is i es si.
Well they were transferring power india were not they.,Well they were transferring the power in india were not they.,Well they were transferring power to india were not they.,80.4267332862726,0.98815566,Well they were transferring power to india were not they?,Well they were transferring power to india weren't they.
He testified trial youm five years ago.,He testified in a trial youm about five years ago.,He testified at trial youm five years ago.,69.14497032239993,0.9887885,He testified at trial youm five years ago.,He testified in trial youm five years ago.
I am taking and spaces balloon.,I am sorry taking up more and more space inside these balloons.,I am taking and the space balloon.,34.41027895613444,0.77609336,I am taking and the spaces balloon.,I am taking and the spaces balloon.
If you did care.,If you did not care.,If you did not care.,100.0,1.0,If you did not care.,If you did not care.
They film movie at oakland catholic.,They filmed a movie at oakland catholic.,They film the movie at oakland catholic.,82.68284266634149,0.9875095,They film the movie at oakland catholic.,They film this movie at oakland catholic.
That be because i mean going from being handf.,That is really interesting because i mean going from being handfed.,That is because i mean going from being handf.,63.276172769678055,0.8497236,That is because i mean going from being handf.,That is because i mean going from being handf.
Righteousnesses he have fill for you.,The righteousness he had to fill for you.,The righteousness he has filled for you.,75.002149471883,0.9619094,Righteousness he has filled for you.,The righteousness he has to fill for you.
Now i am i am forgetting his shoes.,Now i am not worried i am forgetting my shoes.,Now i am i am forgetting his shoes.,53.31677757322011,0.81946516,Now i am i am forgetting his shoes.,Now i am i am forgetting his shoes.
Yeah but why do not you just put.,Yeah but why do not you just put the other.,Yeah but why do not you just put the.,84.06121431819138,0.9327135,Yeah but why do not you just put that in.,Yeah but why do not you just put that.
Oh and this turn hard bones.,Oh and then that turns into hard bone.,Oh and this turns into hard bones.,68.15165320719788,0.9631911,Oh and this turns into a hard bone.,Oh and this turns into a hard bone.
Or level lake low.,Or level the lake of the low.,Or level the lake low.,70.04724003437659,0.91559714,Or level lake low.,Or level lake low.
And he do know what do situation.,And he does not know what to do about this whole situation.,And he does not know what to do in this situation.,69.52948792014723,0.9724122,And he does not know what to do in this situation.,And he does not know what to do in that situation.
That be why i take rock over here.,That is why i took out all these rocks over here.,That is why i took the rock over here.,61.24431685616598,0.8560414,That is why i took the rock over here.,That is why i took a rock over here.
And she go on explain she say she be too.,And then she went on to explain she said maybe she was too strong.,And she goes on to explain she says she is too.,40.99882718219683,0.7934585,And she goes on to explain she says she is too.,And she goes on to explain she said she was too.
See you are new creatures christ because you are united him.,See you are a new creature in christ because you are united to him.,See you are a new creature christ because you are united with him.,83.24207846875781,0.9856199,See you are a new creature christ because you are united with him.,See you are a new creature christ because you are united to him.
He is like let us have sexes tonight hearts monitor.,So she had to wear that heart monitor and gordy said you know they want to have a baby and he is like he is like let us have sex tonight with that heart monitor.,He is like let us have sexes tonight on our hearts monitor.,28.39192239307829,0.88946486,He is like let us have sexes tonight on the heart monitor.,He is like let us have sexes tonight on the heart monitor.
Alright i be pouring cold liquid nitrogens over balloon.,Alright i am pouring the very cold liquid nitrogen over this balloon.,Alright i am pouring cold liquid nitrogen over the balloon.,77.67318151613021,0.9851489,Alright i am pouring cold liquid nitrogen over the balloon.,Alright i am pouring cold liquid nitrogen over a balloon.
I be just kid.,No i am just kidding.,I am just a kid.,32.29688088684701,0.79007065,I am just a kid.,I am just a kid.
I want to rewind it and hear that.,I want to rewind it and hear that back again.,I want to rewind it and hear that.,74.5478409020513,0.96304417,I want to rewind it and hear that.,I want to rewind it and hear that.
I do not know they did either.,I do not know why they did not either.,I do not know they did either.,61.73213852117115,0.8445413,I do not know they did either.,I do not know they did either.
I give stickers you know to.,I gave sticker you know to the.,I gave you stickers you know to.,58.75788429852825,0.9133717,I gave you the stickers you know to.,I gave you the stickers you know to.
And he give me permission tell story.,And he gave me permission to tell the story.,And he gave me permission to tell a story.,84.28362542414224,0.9901038,And he gave me permission to tell the story.,And he gave me permission to tell you the story.
I have three.,I have three.,I have three.,100.0,1.0,I have three.,I have three.
Uh i had lot interesting adventures there.,So uh i had a lot of interesting adventures there.,Uh i had a lot of interesting adventures there.,93.16217958355494,0.9961629,Uh i had a lot of interesting adventures there.,Uh i had a lot of interesting adventures there.
You can overcome that little bits by get their muscle shape.,You can overcome that a little bit by getting your muscle in better shape.,You can overcome that little bit by getting their muscle shape.,69.36958373660408,0.93780684,You can overcome that little bit by getting their muscle shape.,You can overcome that little bit by getting their muscle shape back.
So now we can have christmas.,So now we can have a merry christmas.,So now we can have christmas.,71.7035809789244,0.95882595,So now we can have christmas.,So now we can have a christmas.
They have definitely lost powers.,No they have definitely lost power.,They have definitely lost their powers.,75.96496674316614,0.8882077,They have definitely lost their powers.,They have definitely lost their powers.
Beth did decide.,Beth did not decide.,Beth did not decide.,100.0,0.99999976,Beth did not decide.,Beth did not decide.
So he get radio this summer.,So he got another radio this summer.,So he got the radio this summer.,72.21753968746032,0.9531004,So he got the radio this summer.,So he got a radio this summer.
Well she never did anything it.,Well she never did anything about it.,Well she never did anything about it.,100.0,1.0000001,Well she never did anything with it.,Well she never did anything with it.
And she broughbotch case.,And then she broughbought a brand new attache case.,And she broughbotch the case.,40.90315393661488,0.7060212,And she broughbotch the case.,And she broughbotch the case out.
Get his hands me.,Get your hands off me.,Get his hands on me.,34.009285732472364,0.8499888,Get his hands on me.,Get his hands on me.
It can move.,It cannot move.,It can move.,45.82419564447899,0.8842658,It can move.,It can move.
Like how come it is the news.,Like how come it is not on the news.,Like how come it is not the news.,83.1228132217191,0.97996265,Like how come it is not the news.,Like how come it is not in the news.
At least twenty year work be complete.,For at least twenty years after the work is completed.,At least twenty years of work to be done.,43.58415988248221,0.9110417,At least twenty years of work is finished.,At least twenty years of work is done.
A reason to base our decision.,Not a good reason to base your decision though.,A reason to base our decision.,53.49988847530152,0.81658626,A reason to base our decision.,A reason to base our decision.
They be make rubbers.,They are made of rubber.,They are made of rubber.,100.0,1.0000005,They are making rubbers.,They are making rubber.
Goes see he be already eliminated this place,Goes in see he is already eliminated this place all you have to do is jerk me around to it and come to me.,Goes to see he is already eliminated from this place.,42.90180885934036,0.87797296,Goes to see he is already eliminated in this place.,Goes to see he is already eliminated in this place.
He wants work features.,He wants to work actually features.,He wants to work on the features.,63.209161961028315,0.92891765,He wants to work on the feature.,He wants to work on some features.
If you take more.,If you take more advanced.,If you take more.,59.11955990987393,0.8573324,If you take more.,If you take more.
I made it.,I made it.,I made it.,100.0,1.0000002,I made it.,I made it.
And he was consider killer.,And he was considered a killer.,And he was considered a killer.,100.0,1.0000002,And he was considered a killer.,And he was considered a killer.
Because i had not heard that.,Because i had not heard all of this.,Because i had not heard that before.,65.6560743681058,0.90377843,Because i had not heard that before.,Because i had not heard that.
You probably will have ta.,Then you probably will have a ta.,You probably will not have ta.,58.459798074172376,0.8836088,You probably will not have ta.,You probably will not have ta.
People say you.,People say you.,People say you.,100.0,0.9999999,People say you.,People say you are not.
Stephanie said to me friday this is historic day.,Stephanie said to me on friday this is an historic day.,Stephanie said to me friday this is a historic day.,81.97636440630669,0.99794376,Stephanie said to me friday this is a historic day.,Stephanie said to me friday this is a historic day.
Oh but these fell.,Oh but that fell through.,Oh but these fell.,35.0179409752481,0.8293308,Oh but these fell down.,Oh but these fell in.
I invent it.,I invented it.,I invent it.,56.762006949159485,0.9709871,I invent it.,I invent it.
We do know if there is any particular areas those.,So we do not know if there is any particular areas like that.,We do not know if there is any particular area in that.,79.2976165377341,0.9509264,We do not know if there is any particular area in that.,We do not know if there is any particular area in those.
Saw relative coming them.,Saw relatives coming for them.,Saw a relative coming up to them.,51.76155455974229,0.8744328,Saw a relative coming up to them.,Saw a relative coming up from them.
A herds of pig was feed hillside.,A large herd of pigs was feeding on the nearby hillside.,A herd of pigs was feeding on the hillside.,70.76691542416053,0.9905505,A herd of pigs was feeding on the hillside.,A herd of pigs was feeding on the hillside.
And now i have probably about five horse.,And right now i have probably only shod about five horses.,And now i have probably about five horses.,64.95722039030444,0.9053242,And now i have probably about five horses.,And now i have probably about five horses.
And it sounds like.,And so it sounds like.,And it sounds like.,75.05826539988783,0.9634664,And it sounds like.,And it sounds like.
He said you put it.,He said when you put it in.,He said you put it there.,51.09242502029051,0.8525605,He said you put it in.,He said you put it in.
I think i will stop.,I think i will stop there.,I think i will stop.,71.99673051031552,0.93736494,I think i will stop.,I think i will stop.
I have like city life.,I have always liked city life.,I have like a city life.,49.98777040383541,0.85908484,I have like a city life.,I have like the city life.
Learn la lambada.,Learn some la lambada.,Learn la lambada.,62.056075065709614,0.9918347,Learn la lambada.,Learn la lambada.
Of bringing beauty.,Of bringing beauty.,Of bringing beauty.,100.0,1.0000002,Of bringing beauty.,Of bringing beauty.
Rule have it that you have have at eighteen.,Hisd rules has it that you have to have at least eighteen.,Rule has it that you have to have at eighteen.,69.90901153838666,0.93612444,Rule has it that you have to have at eighteen.,Rule has it that you have to have at eighteen.
What would i do with scanners.,What would i do with a scanner.,What would i do with the scanner.,82.31272076344145,0.99272764,What would i do with a scanner.,What would i do with a scanner.
I do know people.,I do not know those people.,I do not know anyone.,43.245774525053406,0.85090935,I do not know anyone.,I do not know people.
Did they live.,Where did they live.,Did they live.,62.38411897844034,0.82237947,Did they live.,Did they live.
He will have much lefts.,He will have this much left.,He will not have much left.,57.338460821817215,0.88198256,He will not have much left.,He will not have much left.
Votes the way that you vote or.,Vote in the same way that you vote or whatever.,Votes the way that you vote or.,53.09566497575031,0.9018777,Votes the way that you vote or not.,Votes the way that you vote or not.
They have a tendencies do everything you.,They have a tendency to do everything for you.,They have a tendency to do everything you.,86.20032848857976,0.94139504,They have a tendency to do everything you.,They have a tendency to do everything you.
And i say debby.,And i said to debby.,And i say debby.,51.636303917600046,0.9029598,And i say debby.,And i say debby.
Even though navys threw you out.,Even though the navy threw you out.,Even though the navy threw you out.,100.0,1.0000005,Even though the navys threw you out.,Even though navys threw you out.
The people begin plead jesus to leave their region.,Then the people began to plead with jesus to leave their region.,The people begin to plead jesus to leave their region.,73.63617673902608,0.9707491,The people begin to plead jesus to leave their region.,The people began to plead jesus to leave their region.
He have cup.,He has a little cup too.,He has a cup.,29.818005764295318,0.9284013,He has a cup.,He has a cup.
As we read.,As we read in.,As we read.,67.96762956160171,0.9673202,As we read.,As we read.
Days go by.,Until the day just goes by maybe.,Days go by.,7.93086435836566,0.8756316,Days go by.,The days go by.
That would do.,That would do.,That would do.,100.0,1.0000001,That would do.,That would do.
He have telescope.,He has a telescope though.,He has a telescope.,68.84072681921332,0.97232246,He has a telescope.,He has a telescope.
And you turn it and put chocolate side.,And then you turn it over and put chocolate on the other side.,And you turn it over and put chocolate on the side.,74.13621215984844,0.9790037,And you turn it over and put the chocolate side down.,And you turn it over and put the chocolate side.
They be and they asked jesus leave region.,They were afraid and they asked jesus to leave the region.,They were and they asked jesus to leave the region.,85.25286560862916,0.9469522,They were and they asked jesus to leave the region.,They were there and they asked jesus to leave the region.
Person do that theirselves lea.,People normally do this theirselves lea.,The person does not do that theirselves lea.,47.397047899870905,0.79566896,The person does not do that theirselves lea.,The person does that theirselves lea.
Do touch anything.,Do not touch anything yellow.,Do not touch anything.,73.30076691916071,0.8799663,Do not touch anything.,Do not touch anything.
Today and i mean everything looked at stores.,Today and i mean everything looked good at the store.,Today and i mean everything looked at the stores.,85.374592700633,0.87168914,Today and i mean everything looked at the stores.,Today and i mean everything looked at the stores.
I want fortify.,I want to fortify.,I want to fortify.,100.0,0.9999999,I want to fortify.,I want to fortify.
I love bit potty training.,I loved the little bit about the potty training.,I love bit potty training.,45.15495841815941,0.908846,I love bit potty training.,I love a bit of potty training.
It can keep itself right.,So it can keep itself waterproof right.,It can keep itself right.,55.87117860736603,0.8279915,It can keep itself right.,It can keep itself right.
And leave houses.,And never leave the house.,And leave the house.,66.76797195692107,0.82908845,And leave the houses.,And left the house.
I have d,I have the d the.,I have a d.,26.59781584015053,0.90281343,I have a d.,I have a d..
If i said way.,If i said no way.,If i said that way.,53.31782678656627,0.8461795,If i said that way.,If i said that the way.
Just s kind show him it i.,Just to s kind of show him how it i.,Just s kind of showed him it i.,52.26713364732245,0.8862488,Just s kind of show him it i.,Just s kind of show him it i.
There be no getting it.,There is no getting around it.,There is no getting it.,67.47647259619377,0.7858944,There is no getting it.,There is no getting it.
You can have house.,You can have the house.,You can have a house.,66.81372182998697,0.9439967,You can have a house.,You can have a house here.
I ate today than i have week long though.,I ate more today than i probably have all week long though.,I ate more today than i had a week long though.,65.91902199631366,0.972932,I ate more today than i had a week long though.,I ate more today than i had in a week though.
But none ours go killers ends its life.,But none of ours go to the killers at the end of their life.,But none of ours goes to the killer to end its life.,58.28919035684043,0.9352503,But none of ours goes to a killer to end his life.,But none of ours goes to the killer and ends up with a life.
Try some it.,Try some of it first.,Try some of it.,64.5380682267067,0.9545909,Try some of it.,Try some of it.
You would have have monies left.,You would not have had any money left anyway proba.,You would have had a lot of monies left.,38.30935708454773,0.85805064,You would have had a lot of money left.,You would have had some monies left.
It was like a little dribbles.,It was just like a little dribble.,It was like a little dribble.,76.3314544783276,0.9877374,It was like a little dribble.,It was like a little dribble.
You might have add.,You might have to add.,You might have added.,68.4968068423951,0.91335523,You might have added.,You might have added something.
See nancy was go.,See nancy was going off.,See nancy was going.,80.53650925829021,0.88652897,See nancy was going to.,See nancy was going to.
And kind thing is.,And that kind of thing is.,And the kind of thing is.,75.41096773855239,0.9596294,And kind of thing is.,And kind of the thing is.
Well it be pack up garbage bags now.,Well it is all packed up in garbage bags now.,Well it is just packing up the garbage bags now.,61.26369691001956,0.8946228,Well it is not packing up the garbage bags now.,Well it is just packing up garbage bags now.
No it is it looks.,No it is it looks pretty good.,No it is not how it looks.,40.41105802666536,0.8278016,No it is not it looks.,No it is not how it looks like.
You be guy talk.,You are the guy to talk to then.,You are a guy talking.,31.522897362606578,0.8352134,You are a guy talking.,You are the guy talking.
I do know she was pregnant three months.,I did not even know she was pregnant three months ago.,I do not know she was pregnant for three months.,63.31867969622304,0.9468297,I do not know she was pregnant for three months.,I do not know she was pregnant for three months.
Can you teach threeyearold tap dances.,How can you teach a threeyearold to tap dance.,Can you teach a threeyearold to tap dance.,90.23472620744847,0.96205616,Can you teach a threeyearold to tap dance.,Can you teach a threeyearold to tap dance.
And something in me say no.,And then something in me said no.,And something in me said no.,77.62454774220909,0.9890692,And something in me says no.,And something in me says no.
Kim was stay night.,Kim was not staying the night.,Kim was staying the night.,76.87495851897405,0.9208461,Kim was staying the night.,Kim was staying the night.
I see lots them.,I see lots of them in here.,I see lots of them.,67.00045656630355,0.93947804,I see lots of them.,I see a lot of them.
I do remember.,Hmm i do not remember.,I do not remember.,76.88233872447599,0.97409654,I do not remember.,I do not remember.
But i want act in english.,But i want to act in english.,But i want to act in english.,100.0,0.9999999,But i want to act in english.,But i want to act in english.
I say i would be get seven hundred.,I said i would be happy to get seven hundred.,I say i would be getting seven hundred.,55.73071457703297,0.9199444,I said i would be getting seven hundred.,I say i would be getting seven hundred dollars.
Because i have receive note.,No because i have received notes back.,Because i have received a note.,64.83459218000867,0.8756176,Because i have received a note.,Because i have received a note.
He think we are.,He just thinks we are weird.,He thinks we are.,48.199404207648875,0.8396065,He thinks we are.,He thinks we are not.
