,Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2,Total_ChrF
948,They design cards.,Where they design the cards.,They designed a card.,40.66097616011541,0.8945863,They design the cards.,They design cards.,65.49248147212411
962,I use do but.,I used to do this but.,I used to do but.,57.63499268228264,0.967698,I used to do but.,I used to do that but.,69.20195889143163
964,I feel ladies.,I feel like such an old lady.,I feel like a lady.,47.14955431407783,0.864131,I feel like a lady.,I feel like ladies.,69.81362919352718
990,You seem and.,Now you both seem very truthful and honest.,You seem like and.,11.794102529388336,0.7730515,You seem to like and.,You seem to be and.,63.49732479610359
999,Look much be do.,Look how much is done now.,Look how much is done.,81.65080336342024,0.943442,Look how much is to do.,Looks like a lot is done.,40.083807246219536
1030,I would go than that.,I would go further than that.,I would go farther than that.,82.97912518450275,0.99718225,I would go more than that.,I would go more than this.,65.08518365957752
1034,Make their pictures.,To make their pictures.,Make their pictures.,84.64306399121192,0.94367456,Make their own pictures.,Make your pictures.,62.45395447679911
1047,I have have weeks.,I have had a few this week.,I have had a week.,51.15267349296733,0.8739616,I have had a week.,I have had a few weeks.,67.32737957079073
1051,We came houston.,When we came from houston.,We came from houston.,78.14194318071551,0.9655574,We came from houston.,We came out of houston.,69.72293032560265
1053,But i do miss lot thing about a city.,But i do miss a lot of things about a city.,But i do miss a lot about a city.,68.74816094778834,0.98104453,But i do miss a lot of things about a city.,But i do miss a lot of the stuff about a city.,69.70563561694264
1058,We had youm.,We had youm.,We had youm.,100.0,1.0000001,We had youm.,We had youm right.,67.16394793031965
1061,And i see guys nierman.,And i saw this guy nierman.,And i see the guys nierman.,47.549540815794685,0.9151212,And i saw the guys nierman.,And i saw a guy nierman.,63.55541688378159
1076,You tell me.,You told me.,You told me.,100.0,1.0000002,You tell me.,You tell me.,54.14902998236332
1111,Oh i sell.,Oh i sold.,Oh i sell.,28.53174603174603,0.91743404,Oh i sell.,Oh i sold.,52.35449735449736
1115,This be i think battle.,That is i think half the battle.,This is i think a battle.,46.64357982690199,0.7853837,This is i think the battle.,This is i think a good battle.,69.68181218729524
1126,Put covers it.,Put a cover on it.,Put the cover on it.,69.5453120554973,0.9559133,Put on a cover over it.,Put on a cover over it.,58.32777687254035
1129,So i get.,So i get.,So i got.,36.23015873015873,0.9428906,So i got.,So i got to.,66.81722128454882
1133,I do is.,All i do is.,I do not know is.,16.324678414414667,0.66692317,I do not have to.,I do not know.,51.87434251630453
1145,We will write letters one.,We will write very short letters to one another.,We will write letters one.,41.200606403735776,0.84295774,We will write a letter one.,We will write a letter on the one.,68.15225858567314
1162,I be voting favors it.,I am voting in favor of it.,I am voting for it.,45.61048496235311,0.9702085,I am voting for it.,I am voting in favor of it.,59.88202458076386
1178,You look great.,You look great.,You look great.,100.0,1.0,You look so good.,You look so great.,55.53069551332817
1197,Certain areas of hold their values.,Certain areas s of held their value.,Certain areas hold their values.,71.84379217096422,0.9498866,Certain areas of hold their values.,Certain areas of the country hold up their values.,65.24941977869065
1198,Put the masas.,To put the masa.,Put the masa in.,62.130277130277136,0.94933176,Put the masa on.,Put the masa in there.,63.53297847405223
1200,I put it their ha.,I put it on their ha.,I put it on their ha.,100.0,0.99999994,I put it in their ha.,I put it on his ha.,55.87894689309054
1225,You get it.,You get it.,You got it.,42.3941798941799,0.9113763,You got it.,You got it wrong.,63.31547091215492
1233,Cha be plan.,Cha was planned for.,Cha is not a plan.,22.32297645072532,0.7883999,Cha is not a plan.,Cha is not planned.,67.59325280578656
1282,And it sort them.,And it automatically sorts them.,And it sorts them out.,40.67438604804583,0.86638236,And it sort of sort of sort them out.,And it sort of sort of sort them.,61.43973281872116
1302,Cute all very.,Not cute at all very elegant.,Cute all the very.,21.91258193541149,0.7395598,Cute all very.,Cute all the very very.,62.656220745953725
1317,And this is kind of you go by.,And that is kind of where you go by to.,And this is kind of the way you go by.,48.7203440063256,0.92449725,And this is the kind of you go by.,And this is the kind of thing you go by.,68.69511288051388
1323,Jews look them too.,The jews look down on them too.,Jews look at them too.,46.38833943549424,0.8238238,The Jews look at them too.,Judah looked at them too.,62.80694391954091
1349,It seem ways.,It seems that way.,It seems like a way.,47.12317638732678,0.8704475,It seems like a different way.,It seems the way.,50.01393359592045
1356,I be all night night i come and told you.,I was home all night last night i came home and told you.,I was all night night i came and told you.,63.09889623641299,0.8924259,I was all night all night when i came and told you.,I was all night all night when i came to tell you.,65.54185656841008
1385,Get our pen these.,Get your pen back from that.,Get our pen in this.,25.573504445271723,0.833321,Get our pen here.,Get our pen in this kind of.,53.977093821193236
1392,I mean it be me.,I mean it is from me.,I mean it is me.,57.19012143525959,0.9162105,I mean it is me.,I mean it is just me.,68.65617052865403
1427,See it be.,See it is a.,See it is.,70.94035405158957,0.9459394,See it is.,See how it is.,53.5942763714365
1449,I would go carrier.,I would probably go with the carrier.,I would go with a carrier.,46.69179966337419,0.97672355,I would go with the carrier.,I would go to the carrier.,69.55321351040993
1450,And going it.,And going after it.,And going through it.,47.03673567026147,0.83107984,And going to it.,And going on about it.,50.06430364346433
1452,I want those.,I want that.,I want that.,100.0,1.0000002,I want those.,I want those.,69.38631190949312
1455,I mean i think these are.,I mean i really think those are the.,I mean i think these are really good.,53.91842327829853,0.8528342,I mean i think these are really awesome.,I mean i think these are not too bad.,68.2237118380509
1460,I get so.,I got so.,I got so.,100.0,0.99999964,I got so.,I got so excited.,45.29288714806173
1479,Yeah that was.,Yeah that was.,Yeah that was.,100.0,1.0000002,Yeah that was.,Yeah that was pretty good.,59.681671987303766
1488,And it comes two.,And it comes to two.,And it comes out in two.,65.23063752580697,0.85196006,And it comes to two.,And it comes out to two.,68.66231036574175
1532,It is one long go flus things.,It is just one of these long going flu things.,It is one long go through the flu.,30.127571608500165,0.93369144,It is one long way from the flu.,It is one long go flus things.,53.18877433938337
1556,Be you do that.,Were you to do that.,Be you doing that.,31.969903167317558,0.87937564,Be you doing that.,So how did you do that.,52.15499383076416
1560,They feed of,They feed off of all these.,They feed off of.,59.11955990987393,0.92121935,They feed on.,They feed off of that.,62.39946353144701
