,Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2
44,And uh we are pull and i see girls.,And uh we are pulling up and i see this girl.,And uh we are pull and i see girls.,57.47395613486211,0.85373795,And uh we are pull and i see girls.,And uh we are pull and uh i see girls.
45,I get up so i think these be probably.,When i got up so i thought that is probably not good.,I want to go to the store.,10.736109016377023,0.67214143,I want to go to bed.,I want to go to work.
49,We have a lots catch up.,We have a lot to catch up on.,We need to do a lot of work.,15.750760106739357,0.83847225,We need to do a lot of homework.,We need to do a lot of work on the house.
50,I think you guy put it.,I think you guys put it in.,I think you guy put it.,66.62928062461711,0.94722974,I think you guy put it. I think you guy put it.,I think you guy put it. - I think you guy put it.
51,And green and peppers cut up.,And um green and red peppers cut up.,You can use any type of cheese you like.,10.75726353040401,0.7228171,You can use any type of cheese you want.,You can use any type of cheese.
52,I would hate bounce a check.,I would hate to bounce a check.,I always write out a check before I give it to the cashier.,23.493406001002963,0.8000314,I always write out a check before I leave the bank.,I always write out a check before I leave the house.
54,Time you go bed last nights.,Time you go to bed last night.,You were up all night.,21.800812026865227,0.8436326,You were up all night drinking.,You were up all night drinking with friends.
56,And kid had to do was get her through.,And all the kids had to do was get her through.,She was such a good student.,12.789038544468214,0.7559375,She was such a good girl.,She was such a good kid.
59,My case amelia gonzalez um uh that happen in ninety.,In our first case amelia gonzalez um that uh that happened back in ninety.,It's my case amelia gonzalez um uh that happen in ninety.,60.77755748853012,0.93319774,It's my case amelia gonzalez um uh that happened in ninety.,It's my case amelia gonzalez that happen in ninety.
62,Have had tool he have that overlap.,Has never had a tool where he had that overlap.,Have had tool he have that overlap.,46.50399403734498,0.82471764,Have had tool he have that overlap.,Have had tool he have that overlap.
64,And that it sound but it be hard do.,And that it sounds easy but it is really hard to do.,It's a lot of work.,5.613466839852463,0.8044608,It's a lot of work to do.,It's a lot of work to do something like that.
65,Because it would be nice have heats in here meantime.,Because it would be nice to have heat in here in the meantime.,I would like to have heats in here.,34.696600729480906,0.90121037,I would like to have heats in here meanwhile.,I would like to have heats in here at the moment.
66,You know i have get this week.,You know i had to get really tough in this last week.,I have to get my work done.,13.04978145241383,0.7594244,I have to get to work.,I have to get my work done..
68,Kids that i receive be the three thirdgrader education.,The kids that i receive are the three thirdgraders of the lowest education.,Kids that i receive be the three thirdgrader education.,65.5206597674353,0.8989111,Kids that i receive be the three thirdgrader education.,Kids that i receive be the three thirdgrader education.
71,But you know when there is that ones.,But you know when there is that many little ones.,They are hard to come by.,8.37309455942496,0.6866797,They are hard to get.,They are so good.
73,See i be pe teacher but.,See i am originally a pe teacher but.,See i be pe teacher but.,47.4701115252847,0.9462749,See i be pe teacher but.,I be pe teacher but.
74,But one thing we have to be.,But one thing we have to be careful of.,We have to be honest.,30.37679515007077,0.78088653,We have to be a team.,We have to be a family.
76,And i will try to i will get hold two.,And then i will try to i will get hold of two more.,And i will try to i will get hold two.,62.8376820718439,0.9527354,I will try to i will get hold two.,I will try to I will get hold two.
77,And we report how sales we had and they.,And we report how much in sales we had and they.,They are a big company.,10.337838806269655,0.73241353,They are a company.,They are a company that reports.
80,Some surgeon were going and put them back.,Some of these orthopedic surgeons were going and putting them in the back.,The surgeon was a doctor.,13.969554570538062,0.8093549,The surgeon was a very skilled surgeon.,The surgeon was a very skilled one.
84,I feel that uh margaret is.,So i felt that uh margaret is.,Margaret is.,39.231692942990165,0.86164796,a kind person and a good friend.,a kind person.
85,Thereby conceptualize will similar to a mas.,Thereby conceptualizing free will as similar to a healthy ma.,Thereby conceptualize will similar to a mas.,58.46704448723094,0.79620117,Thereby conceptualize will similar to a mas.,"Thereby conceptualize will similar to a mas, thereby conceptualize will similar to a mas."
87,Fish be run do you want come and blah,The fish are running do not you want to come up here and blah.,Fish be run do you want come and blah,33.83103779320832,0.9107511,Fish be run do you want come and blah,Fish be run do you want come and blah
88,I do not have try grab him heads.,I do not have to try to grab him around the head.,I do not have to try grab him heads.,55.58789023908756,0.9597144,I do not have to try grab his head.,I do not have to try grab him.
89,Sat it i think no lemon.,Sat it down i thought no lemon.,I sat it i think no lemon.,37.3537179573756,0.9449692,I sat it i think no lemon.,I sat it and i think no lemon.
90,And they said oh that is.,And they said oh that is good.,And he said oh that isn't.,53.08407862634554,0.7551792,And he said oh that is.,And he said oh that isn't it.
92,So he is i es si.,So he is i es a si.,So he is i es si.,70.31903329949346,0.98782945,So he is i es si.,So he is i es si.
93,Well they were transferring power india were not they.,Well they were transferring the power in india were not they.,Well they were transferring power india were not they.,83.97834355011452,0.9884358,They were transferring power india were not they.,They were transferring power india were not they.
94,He testified trial youm five years ago.,He testified in a trial youm about five years ago.,He was a good witness.,10.690966634292254,0.8174711,He was a great witness.,He was a very good witness.
95,I am taking and spaces balloon.,I am sorry taking up more and more space inside these balloons.,I am taking and spaces balloon.,28.70569673588853,0.8254174,I am taking and spaces balloon.,I am taking and space balloon.
97,They film movie at oakland catholic.,They filmed a movie at oakland catholic.,They film movie at oakland catholic.,83.78701010587658,0.988894,They film movie at oakland catholic in california.,They are filming a movie.
98,That be because i mean going from being handf.,That is really interesting because i mean going from being handfed.,That be because i mean going from being handf.,59.98589174063944,0.845445,That be because i mean going from being handf.,That be because i mean going from being hanff.
99,Righteousnesses he have fill for you.,The righteousness he had to fill for you.,And he hath redeemed you from all your sins.,18.163914064182464,0.84096885,And he hath filled you with righteousnesses.,And he hath redeemed you from your enemies.
100,Now i am i am forgetting his shoes.,Now i am not worried i am forgetting my shoes.,I am going to forget his shoes.,27.636232023537534,0.8100164,I am going to forget his shoes at the shoe store.,I am going to forget his shoes at home.
101,Yeah but why do not you just put.,Yeah but why do not you just put the other.,Yeah but why do not you just put.,75.68752073970153,0.9300608,Yeah but why do not you just put it.,Yeah but why do not you just put?
102,Oh and this turn hard bones.,Oh and then that turns into hard bone.,Oh and this turn hard bones.,44.09315808170551,0.93551946,Oh and this turn hard bones.,Oh and this turn hard bones.
104,And he do know what do situation.,And he does not know what to do about this whole situation.,He do know what do situation.,35.1680526720751,0.8558949,He do know what to do.,He do know what to do in the situation.
105,That be why i take rock over here.,That is why i took out all these rocks over here.,I like to listen to music.,8.97280568429096,0.6581728,I like to listen to my music loud.,I like to listen to my music loudly.
106,And she go on explain she say she be too.,And then she went on to explain she said maybe she was too strong.,She's a teacher.,5.187423110218329,0.68775165,She's a very good explainer.,She's a very good teacher.
107,See you are new creatures christ because you are united him.,See you are a new creature in christ because you are united to him.,You have become a new creation in him.,26.123287166047444,0.90178955,You have become a new creature in him.,You have become a new creature in Christ.
108,He is like let us have sexes tonight hearts monitor.,So she had to wear that heart monitor and gordy said you know they want to have a baby and he is like he is like let us have sex tonight with that heart monitor.,He is sexy.,2.269525163057353,0.73983884,He is a man.,He is sexy and charming.
109,Alright i be pouring cold liquid nitrogens over balloon.,Alright i am pouring the very cold liquid nitrogen over this balloon.,i'm going to blow it up.,8.383101726884929,0.8018328,i'm going to blow the balloon up.,i'm going to blow the balloon up with liquid nitrogen.
111,I want to rewind it and hear that.,I want to rewind it and hear that back again.,I want to hear it again.,33.925114276256544,0.92876065,I want to hear it again and again.,I want to hear it all.
112,I do not know they did either.,I do not know why they did not either.,I do not know how they were able to do it.,40.01309176314277,0.792922,I do not know what they did.,I do not know how they were able to do that.
113,I give stickers you know to.,I gave sticker you know to the.,It's a good way to remember a date.,13.100234483453091,0.6966392,It's a good way to remember a birthday.,It's a good way to remember.
114,And he give me permission tell story.,And he gave me permission to tell the story.,He was a man of integrity.,10.164219386121404,0.71207243,He was a man of great wisdom.,He was a man of great stories.
116,Uh i had lot interesting adventures there.,So uh i had a lot of interesting adventures there.,I stayed there for a long time.,17.542946932714145,0.8086027,I stayed there for a year and a half.,I stayed there for a year.
117,You can overcome that little bits by get their muscle shape.,You can overcome that a little bit by getting your muscle in better shape.,They will be able to run faster.,8.991711290490569,0.73971,They will be able to overcome their little bits.,They will be able to run faster than before.
118,So now we can have christmas.,So now we can have a merry christmas.,We don't have to worry about the snow.,18.58055175758584,0.74526453,We don't have to worry about the tree.,We don't have to worry about the gifts.
121,So he get radio this summer.,So he got another radio this summer.,He is going to be a radio jockey.,17.59205634331062,0.8143248,He is going to be a radio DJ.,He is going to be a radio jockey in the summer.
122,Well she never did anything it.,Well she never did anything about it.,She was always so busy.,7.014149892590038,0.7277624,She was a good girl.,She was just a person.
126,Like how come it is the news.,Like how come it is not on the news.,I don't get it.,7.477519200339623,0.7180723,I don't know.,I don't get it. I don't know.
127,At least twenty year work be complete.,For at least twenty years after the work is completed.,At least twenty year work be complete.,52.15530292884611,0.9292658,At least ten year work be complete.,At least twenty year work be done.
128,A reason to base our decision.,Not a good reason to base your decision though.,We have a reason to be concerned about the situation.,28.91409189650699,0.7239723,We have a reason to be concerned about this issue.,We have a reason to be concerned.
130,Goes see he be already eliminated this place,Goes in see he is already eliminated this place all you have to do is jerk me around to it and come to me.,Goes see he be already eliminated this place.,39.69478586120077,0.8900777,Goes see he be already eliminated this place,Goes see he be already eliminated this place.
135,Because i had not heard that.,Because i had not heard all of this.,I didn't know if it was true or not.,11.679711891386305,0.79987144,I didn't know what to do.,I didn't know if it was true.
138,Stephanie said to me friday this is historic day.,Stephanie said to me on friday this is an historic day.,Stephanie is very excited.,21.42282653788691,0.81840765,Stephanie is excited.,Stephanie is very excited about it.
141,We do know if there is any particular areas those.,So we do not know if there is any particular areas like that.,We do know if there is any particular areas those.,67.67962116247249,0.91114557,We do know if there is any particular areas those.,We do know if there is any particular areas those.
143,A herds of pig was feed hillside.,A large herd of pigs was feeding on the nearby hillside.,The pigs were in a pen.,12.63777337785698,0.83450246,The pigs were in a barn.,The pigs were in the pasture.
144,And now i have probably about five horse.,And right now i have probably only shod about five horses.,I have been riding horses for a long time.,19.959654207362007,0.80970573,I have been riding horses for ten years.,I have been riding horses for a long time now.
151,Rule have it that you have have at eighteen.,Hisd rules has it that you have to have at least eighteen.,Rule have it that you have have at eighteen.,53.8122651931138,0.91935617,Rule have it that you have have at eighteen.,Rule have it that you have have at eighteen.
152,What would i do with scanners.,What would i do with a scanner.,I would scan my family's heirlooms.,21.96811465273665,0.82175374,I would scan my papers.,I would scan my family's photos.
156,Votes the way that you vote or.,Vote in the same way that you vote or whatever.,Votes the way that you vote or.,53.09566497575031,0.9018777,Votes the way that you vote or not.,Votes the way that you vote or.
157,They have a tendencies do everything you.,They have a tendency to do everything for you.,They have a tendencies do everything you.,70.16260801721495,0.93157554,They have a tendency do everything you.,They have a tendencies do everything you do.
159,Even though navys threw you out.,Even though the navy threw you out.,You were still a sailor.,7.399750232253545,0.8207828,You were still a good guy.,You were still a good man.
160,The people begin plead jesus to leave their region.,Then the people began to plead with jesus to leave their region.,jesus is unable to leave.,18.83441082972206,0.7681248,jesus is unable to leave and begins to scream at the people.,jesus is unable to leave and begins to scold them.
166,And you turn it and put chocolate side.,And then you turn it over and put chocolate on the other side.,And you put it on a plate and eat it.,17.81022968587137,0.7849078,And you put it on top of ice cream.,And you put it on a plate and eat.
167,They be and they asked jesus leave region.,They were afraid and they asked jesus to leave the region.,They be and they asked jesus leave region.,56.18674099115677,0.94254583,They be and they asked jesus leave region.,They be and they asked jesus leave region.
170,Today and i mean everything looked at stores.,Today and i mean everything looked good at the store.,Today everything looked at stores.,50.19583424511575,0.8637583,Today everything looked at stores.,Today was a good day.
177,Just s kind show him it i.,Just to s kind of show him how it i.,Just s kind show him it i.,42.94256663321964,0.90589774,Just s kind show him it i.,Just s kind show him it i.
180,I ate today than i have week long though.,I ate more today than i probably have all week long though.,I was so hungry.,4.888289823526323,0.8227211,I was so hungry today.,I was hungry today.
181,But none ours go killers ends its life.,But none of ours go to the killers at the end of their life.,We all have killers in our family.,19.581275864520418,0.7653532,We all have killers in our lives.,We all have killers in us.
183,You would have have monies left.,You would not have had any money left anyway proba.,You would have have monies left.,32.12771999442137,0.9025556,You would be able to pay your rent.,You would be able to pay your bill.
184,It was like a little dribbles.,It was just like a little dribble.,It was like a little dribbles.,72.90083988171196,0.96803087,It was like a little dribbles.,It was like a little dribble.
188,Well it be pack up garbage bags now.,Well it is all packed up in garbage bags now.,The garbage truck be coming soon.,23.153121748394376,0.7694529,The garbage truck is going to pick them up.,The garbage truck be coming.
191,I do know she was pregnant three months.,I did not even know she was pregnant three months ago.,I just don't know how long she was pregnant.,38.23254458378048,0.8415482,I just don't know how long.,I just don't know how long she had been pregnant.
192,Can you teach threeyearold tap dances.,How can you teach a threeyearold to tap dance.,"Yes, you can.",7.29026095463941,0.6430682,yes you can.,"yes, you can."
193,And something in me say no.,And then something in me said no.,"I'm not in love with you, you're not in love with me.",14.578653540569078,0.7356793,"I'm not in love with you, you're in love with me.","I'm not in love with you, you're not in love with me!"
197,But i want act in english.,But i want to act in english.,But i want act in English.,60.45108074262773,0.98126364,But i want act in english.,But i want act in German.
198,I say i would be get seven hundred.,I said i would be happy to get seven hundred.,I am a skeptic.,4.807692307692308,0.68517596,I am a sailor.,I am a math major.
201,Sharon stand in fronts classes go.,Sharon standing in front of the class going.,Sharon is a teacher.,16.772454908848143,0.88376826,Sharon is a teacher in a school.,Sharon is a teacher in a classroom.
202,I always make sure i have a fivehundreddollar balance.,So i always make sure i have a minimum fivehundreddollar balance.,I want to be able to pay my bills.,7.826523567438648,0.75600004,I want to be able to pay my bill.,I want to be able to pay off my credit card.
203,It be that i need money it be galleria.,It is not that i needed money it is the galleria.,It be that i need money it be galleria.,58.60606865810225,0.8891862,It be that i need money it be galleria.,It be that i need money it be galleria.
205,This smell like garbage it be.,This smells like guayaquil this smells like rotten garbage it is.,The trash smells like garbage.,30.66661141685479,0.8779024,I'm sure it's rotten.,I'm sure it's rotting.
207,But uh spirit liberties do work way.,But uh holy spirit liberty does not work that way.,But uh spirit liberties do work way.,44.11310356360125,0.8388605,Uh spirit liberties do work way.,But uh spirit liberties do work.
209,One from top look guy who be oba skit.,One from the top looks like a guy who was in the oba skit.,One from top look guy who be oba skit.,49.58340136629302,0.9081035,One from top look guy who be oba.,One from top look guy who be oba skit.
213,Of defeats purpose of getting morning.,Kind of defeats the purpose of getting up in the morning.,I can't sleep at night because I have to get up early.,13.796670365277476,0.7605024,I can't sleep at night because I have to wake up early.,I can't sleep at night because I have to get up early tomorrow.
215,Well then i do understand you like rita.,Well then i do not understand why you like rita.,I do understand that you like rita.,52.08470421892994,0.86058354,I do like rita too.,I do like rita.
217,Boys he be supposed be awesome.,That boy he is supposed to be awesome.,Boys he be supposed to be awesome.,67.00720871411994,0.9683828,Boys he be supposed to be awesome.,Boys he be supposed be awesome.
218,But she get five or six book,But she got about five or six books and a bunch of cd's apparently frank sinatra.,But she get five or six book.,29.565356718014325,0.868506,But she get five or six book,"But she get five or six book, and that was enough."
221,I do not want do that.,I do not want to do that.,I am too lazy to do it.,17.617087027559318,0.84151244,I am too lazy to do that.,I am too lazy.
222,Well it sound like there you would be.,Well it sounds like there you would not be though.,You would be right in the middle of the action.,24.15435827173667,0.7602022,You would be right in the middle of everything.,You would be right in the middle of it.
223,And it is gear according that.,And it is geared according to that.,It is gear according that.,56.03805636247864,0.8953525,It is gear according to that.,It is gear according to the time.
226,Let me try respond his question sir.,Let me try to respond to your question sir.,"I'm not sure, but I'll try.",9.873156691877965,0.7690662,"I'm not sure, sir.",I'm not sure.
231,Where be these i be going take it.,Where was this i am going to take it off.,Where be these i be going take it.,35.076354206949055,0.8290663,Where be these i be going take it.,Where be these i be going to take it.
235,And humanistic thinkings will consent this is brendler ob.,And then humanistic thinking will never consent this is brendler now ob.,And humanistic thinkings will consent this is brendler ob.,66.58783440939663,0.8438957,And humanistic thinkings will consent that this is brendler ob.,And humanistic thinkings will consent this is brendler ob.
237,I have seen him this week.,I have not seen him this week.,He has been in the office all week.,22.953548643852752,0.7696723,He has been in the office.,He has been in the office all week long.
240,I can give you rice cakes.,I can give you a rice cake.,You can eat them with a spoon.,11.765210247988916,0.72535634,You can eat them.,I can give you rice cakes.
241,What do you do typical day paris.,What did you do in a typical day in paris.,"You go to the cafes, you go to the museums, you go to the parks, you go to the cafes",9.829815253358287,0.7823249,"You go to the cafes, you go to the museums, you go to the parks, you go to the cinemas","You go to the cafes, you go to the museums, you go to the parks."
242,Definitely um you know check her your insulin.,Definitely um you know check with her on your insulins.,You know check her your insulin.,45.337213816597725,0.94439167,You know check her your blood sugar.,You know check her insulin.
243,We be all sitting too tired.,We are all sitting here all too tired.,We be all sitting too tired.,56.90116896401815,0.9408771,We be all sitting too tired.,We be all sitting too tired.
249,That he refuses which would be easy feed.,That he refuses which would be easy to feed cheap.,That he refuses which would be easy to eat.,78.04447173203484,0.91000867,That he refuses which would be easy to eat.,That he refuses which would be easy to feed.
250,Neil say these was one most games he saw.,Neil said that was one of the most exciting games he ever saw.,Neil was a big fan of football.,11.248505951449538,0.80317366,Neil was a big fan of basketball.,Neil was a big sports fan.
252,Good you do have wind it.,Good you do not have to wind it.,You have a lot to do.,17.743429273204786,0.66815007,You have a lot of it.,You have a lot of practice.
253,I would put all your guys rights.,I would put all your guys like right around there though.,I would put all your guys rights.,49.506766400529,0.82357466,I would put all your guys rights.,I would put all your guys rights first.
254,Gay thing i have be there was signer.,Every gay thing i have ever been to there was a signer.,Gay thing i have be there was signer.,51.12608122628393,0.91109157,Gay thing i have be there was signer.,Gay thing i have be there was signer.
257,What what are we talk now.,What what are we talking about now.,What what are we talk now.,64.36360058067984,0.9616282,What what are we talk now.,What what are we talk now?
259,July second water overtop our spillway here.,On july second water overtopped our spillways out here.,July second water overtop our spillway here.,68.71712057476668,0.9521476,July second water overtop our spillway here.,July second water overtop our spillway.
262,Might as take everything they be to give you.,Might as well not take everything they are willing to give you.,Might as take everything they be to give you.,59.15590464876394,0.8643602,Might as take everything they be to give you.,Might as take everything they be to give me.
263,It will be dug the freezers.,It will be dug out of the freezer.,It will be dug the freezers.,67.45421696729743,0.9204048,It will be dug the freezers.,It will be dug the freezers.
270,Alright lug swing that arm his way.,Alright lug swing that arm out of your way.,He's going to hit you.,13.452200361082944,0.76729834,He's going to hit it.,He's going to hit you with it.
271,Something you could load them up.,Of something else you could load them both up.,Something you could load them up with.,58.229923913996494,0.88403916,Something you could load them up.,Something you could load them up on.
272,And there be go be even.,And there is going to be even.,And there be go be even.,54.1166639414031,0.93879724,And there be go be even.,And there go be even.
273,It be it be sport for either or.,It is a it is sport for either the brave or the stupid.,It be it be sport for either or.,36.988170154019,0.8248882,It be it be sport for either or.,It be sport for either or.
274,We were talk book or movie.,We were talking about the book or about the movie.,We were talk book and movie.,36.59212357210931,0.9197159,We were talk book.,We were talk about the book.
278,Because it no has freedoms that adam had.,Because it no longer has the freedom that adam had.,Adam was a free man.,11.064958542667288,0.7807585,Adam was a man.,Adam was a free man..
279,Folks question be did they have to use spillways.,Folks the question is did they ever have to use the spillway.,"No, they didn't have to use spillways.",37.02001963034493,0.81890225,The answer is yes.,"No, they didn't have to."
281,Alderman speak you feel that processes that has been established.,The alderman spoke to you feel that somehow the process that has been established.,Alderman speak you feel that processes that has been established.,65.18177248530027,0.95919037,Alderman speak you feel that processes that has been established.,Alderman speak you feel that processes that has been established.
282,It be got lotta colors and.,It is got a lotta color and.,It be got lotta colors and.,53.69800392246212,0.9699167,It be got lotta colors and.,It be got lotta colors and.
285,I know somebody who makes living a musician.,I know somebody who makes a living as a musician.,He is a very talented musician.,24.385435989905027,0.8301245,He is a very talented person.,He is a famous singer.
288,In afternoons take capsule and one lazik.,Then in the afternoon take the capsule and one lazik.,In evenings take capsule and one lazik.,52.99931789015936,0.9087168,"In the evenings, take one capsule and one lazik.",In evenings take capsule and lazik.
289,Or need way look it up.,Or need some way to look it up.,Or need way look it up.,52.71001497424584,0.9412272,Or need way look it up.,Or need way to look it up.
291,You know you will just have.,You know you will just have to.,You know you will just have to.,100.0,0.9999999,You will just have to wait.,You know you will just have to go.
292,There be such things a haneuchimata.,There is no such thing as a haneuchimata.,There be such things a haneuchimata.,68.87199686387028,0.799159,There be such things a haneuchimata.,There be such things a haneuchimata.
293,I mean there be lot of things you will find something.,I mean there is a lot of things out there you will find something.,You will find a lot of things.,38.15414640716569,0.92222726,You will find something.,You will find a lot of things there.
297,Figure one separately because we may have axe it.,Figure this one separately because we may have to axe it.,Figure one separately because we may have axe it.,77.02032818649096,0.96326363,Figure one separately because we may have axed it.,Figure one separately because we may have to axe it.
299,He was here two weeks and i miss him.,He was actually here two weeks ago and i missed him.,He is a great person and a good friend.,14.401525041787597,0.73202085,He is a great person.,He is a great person and i want him back.
300,It should be gear according weights.,It should be geared according to weight.,You should wear a shirt with a long sleeve and a long sleeve shirt,21.6936056917334,0.71339107,You should wear a shirt with a long sleeve and a long sleeve.,You should wear a shirt with a long sleeve and a long sleeved
301,If there be coffee house campus i am not go.,If there is not a coffee house on the campus i am not going.,I am not a coffee person.,26.831043661745795,0.84385586,I am not a coffee drinker.,I don't like the smell of coffee.
304,Fred yours be go be good.,See fred yours is not going to be as good then.,Fred yours be go be good.,27.595194570909165,0.82144475,Fred yours be go be good.,Fred yours go be good.
306,Or do things that you have define rules this house.,Or doing things that you have cleareally defined as rules in this house.,Or do things that you have define rules this house.,54.909445833665615,0.94569504,Or things that you have define rules this house.,Or do things that you have define rules this house?
309,No she yoused be our floors.,No she yoused to be on our floor.,She washed our floors.,32.0357247742634,0.8066276,She washed the floors.,She washed them.
310,Muscle was just just labored breathing.,The muscle was just hard from just labored breathing.,Muscle was in a lot of pain.,18.88972795588512,0.8746439,Muscle was in a bad way.,Muscle was in a lot of pain from the exercise.
311,Sorts of dictates i feel about be spacesuit.,Sort of dictates how i feel about being in this spacesuit.,I don't think i'd like to be in a spacesuit.,28.132807532639813,0.8270476,I don't think i'd be comfortable in a spacesuit.,I don't think i'd like to wear a spacesuit.
313,Her door have two locks now.,Our front door has two locks now.,She was able to lock and unlock it with one key.,18.754361224130104,0.74483675,She was able to unlock it with one key.,She was able to unlock it with her key.
316,What we do that is where ferrier come.,What we do then that is where the ferrier comes in.,Ferrier come.,23.22152220503154,0.85272074,Ferrier come.,Ferrier come from ferrier.
317,That be amount water that goes niagara falls.,That is the same amount of water that goes over niagara falls.,That be amount water that goes niagara falls.,58.73531353609757,0.91911054,That be amount water that goes niagara falls.,That be amount water that goes niagara falls.
318,Well they did a bunch people.,Well they did a whole bunch of people.,They did a bunch of people.,59.353440874902816,0.9816483,They did a bunch people.,They did a bunch of people in the hospital.
320,I say so he be bully school.,I said so therefore he probably is a big bully at school.,I say so he be bully school.,23.86478924062237,0.8830718,I say so he be bully school.,I say so he be bully school.
324,That is the biggest crocks shits i have heard.,That is the biggest crock of shit i have ever heard.,I don't want to believe it.,8.831998534174645,0.75978386,I don't want to believe that.,I don't get it.
331,There is a movie sit desk.,There is a movie sitting on the desk out there.,There is a movie sitting on a desk.,63.33161199116324,0.9755062,There is a movie sit desk.,There is a movie playing on the television.
333,And they have this and they have understanding souls.,And they had this and they had this understanding of the souls.,They have this and they have understanding souls.,56.731407333970566,0.9094279,They have this and they have understanding hearts.,"They have this and they have understanding souls,"
337,And they came it say they were.,And they came out it says they were afraid too.,And they came it say they were.,49.9505723447796,0.8046204,And they came it say they were.,They came it say they were.
339,Well i would assume san francisco be cities the country.,Well i would assume san francisco is higher than most cities around the country.,Well i would assume san francisco be cities the country.,62.328006581113286,0.8825276,Well i would assume san francisco be cities the country.,Well i would assume san francisco be cities the world.
340,Do it keep you relationship god.,Does it keep you from a personal relationship with god.,Do it keep you relationship god.,45.25224003879521,0.7910105,Do it keep you relationship god.,Do it keep you relationship good.
341,Well schools has this good point.,Well this school has this good point.,Well schools has this good point.,70.22955437506484,0.9464489,Well schools has this good point.,Well schools has this good point.
