Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2,Total_ChrF
He is like let us have sexes tonight hearts monitor.,So she had to wear that heart monitor and gordy said you know they want to have a baby and he is like he is like let us have sex tonight with that heart monitor.,He is like let us have sexes tonight on our hearts monitor.,28.39192239307829,0.88946486,He is like let us have sexes tonight on the heart monitor.,He is like let us have sexes tonight on the heart monitor.,87.53837212125067
Alright i be pouring cold liquid nitrogens over balloon.,Alright i am pouring the very cold liquid nitrogen over this balloon.,Alright i am pouring cold liquid nitrogen over the balloon.,77.67318151613021,0.9851489,Alright i am pouring cold liquid nitrogen over the balloon.,Alright i am pouring cold liquid nitrogen over a balloon.,94.30260119322715
I want to rewind it and hear that.,I want to rewind it and hear that back again.,I want to rewind it and hear that.,74.5478409020513,0.96304417,I want to rewind it and hear that.,I want to rewind it and hear that.,100.0
I do not know they did either.,I do not know why they did not either.,I do not know they did either.,61.73213852117115,0.8445413,I do not know they did either.,I do not know they did either.,100.0
I give stickers you know to.,I gave sticker you know to the.,I gave you stickers you know to.,58.75788429852825,0.9133717,I gave you the stickers you know to.,I gave you the stickers you know to.,87.14284299733599
And he give me permission tell story.,And he gave me permission to tell the story.,And he gave me permission to tell a story.,84.28362542414224,0.9901038,And he gave me permission to tell the story.,And he gave me permission to tell you the story.,82.9720909225602
Uh i had lot interesting adventures there.,So uh i had a lot of interesting adventures there.,Uh i had a lot of interesting adventures there.,93.16217958355494,0.9961629,Uh i had a lot of interesting adventures there.,Uh i had a lot of interesting adventures there.,100.0
You can overcome that little bits by get their muscle shape.,You can overcome that a little bit by getting your muscle in better shape.,You can overcome that little bit by getting their muscle shape.,69.36958373660408,0.93780684,You can overcome that little bit by getting their muscle shape.,You can overcome that little bit by getting their muscle shape back.,94.87614038914978
So now we can have christmas.,So now we can have a merry christmas.,So now we can have christmas.,71.7035809789244,0.95882595,So now we can have christmas.,So now we can have a christmas.,89.54984269409995
So he get radio this summer.,So he got another radio this summer.,So he got the radio this summer.,72.21753968746032,0.9531004,So he got the radio this summer.,So he got a radio this summer.,87.952235777385
Well she never did anything it.,Well she never did anything about it.,Well she never did anything about it.,100.0,1.0000001,Well she never did anything with it.,Well she never did anything with it.,85.19556213109234
Like how come it is the news.,Like how come it is not on the news.,Like how come it is not the news.,83.1228132217191,0.97996265,Like how come it is not the news.,Like how come it is not in the news.,88.49489311955777
At least twenty year work be complete.,For at least twenty years after the work is completed.,At least twenty years of work to be done.,43.58415988248221,0.9110417,At least twenty years of work is finished.,At least twenty years of work is done.,77.76690178189727
A reason to base our decision.,Not a good reason to base your decision though.,A reason to base our decision.,53.49988847530152,0.81658626,A reason to base our decision.,A reason to base our decision.,100.0
Goes see he be already eliminated this place,Goes in see he is already eliminated this place all you have to do is jerk me around to it and come to me.,Goes to see he is already eliminated from this place.,42.90180885934036,0.87797296,Goes to see he is already eliminated in this place.,Goes to see he is already eliminated in this place.,91.64689331303921
Because i had not heard that.,Because i had not heard all of this.,Because i had not heard that before.,65.6560743681058,0.90377843,Because i had not heard that before.,Because i had not heard that.,94.3507469605917
Stephanie said to me friday this is historic day.,Stephanie said to me on friday this is an historic day.,Stephanie said to me friday this is a historic day.,81.97636440630669,0.99794376,Stephanie said to me friday this is a historic day.,Stephanie said to me friday this is a historic day.,100.0
We do know if there is any particular areas those.,So we do not know if there is any particular areas like that.,We do not know if there is any particular area in that.,79.2976165377341,0.9509264,We do not know if there is any particular area in that.,We do not know if there is any particular area in those.,94.21256670105215
A herds of pig was feed hillside.,A large herd of pigs was feeding on the nearby hillside.,A herd of pigs was feeding on the hillside.,70.76691542416053,0.9905505,A herd of pigs was feeding on the hillside.,A herd of pigs was feeding on the hillside.,100.0
And now i have probably about five horse.,And right now i have probably only shod about five horses.,And now i have probably about five horses.,64.95722039030444,0.9053242,And now i have probably about five horses.,And now i have probably about five horses.,100.0
Rule have it that you have have at eighteen.,Hisd rules has it that you have to have at least eighteen.,Rule has it that you have to have at eighteen.,69.90901153838666,0.93612444,Rule has it that you have to have at eighteen.,Rule has it that you have to have at eighteen.,100.0
What would i do with scanners.,What would i do with a scanner.,What would i do with the scanner.,82.31272076344145,0.99272764,What would i do with a scanner.,What would i do with a scanner.,88.13632463057363
Votes the way that you vote or.,Vote in the same way that you vote or whatever.,Votes the way that you vote or.,53.09566497575031,0.9018777,Votes the way that you vote or not.,Votes the way that you vote or not.,91.3303485343576
They have a tendencies do everything you.,They have a tendency to do everything for you.,They have a tendency to do everything you.,86.20032848857976,0.94139504,They have a tendency to do everything you.,They have a tendency to do everything you.,100.0
Even though navys threw you out.,Even though the navy threw you out.,Even though the navy threw you out.,100.0,1.0000005,Even though the navys threw you out.,Even though navys threw you out.,83.01652308832944
The people begin plead jesus to leave their region.,Then the people began to plead with jesus to leave their region.,The people begin to plead jesus to leave their region.,73.63617673902608,0.9707491,The people begin to plead jesus to leave their region.,The people began to plead jesus to leave their region.,94.39296084124975
And you turn it and put chocolate side.,And then you turn it over and put chocolate on the other side.,And you turn it over and put chocolate on the side.,74.13621215984844,0.9790037,And you turn it over and put the chocolate side down.,And you turn it over and put the chocolate side.,83.44048817134045
They be and they asked jesus leave region.,They were afraid and they asked jesus to leave the region.,They were and they asked jesus to leave the region.,85.25286560862916,0.9469522,They were and they asked jesus to leave the region.,They were there and they asked jesus to leave the region.,92.83219755919853
Today and i mean everything looked at stores.,Today and i mean everything looked good at the store.,Today and i mean everything looked at the stores.,85.374592700633,0.87168914,Today and i mean everything looked at the stores.,Today and i mean everything looked at the stores.,100.0
Just s kind show him it i.,Just to s kind of show him how it i.,Just s kind of showed him it i.,52.26713364732245,0.8862488,Just s kind of show him it i.,Just s kind of show him it i.,89.64154394924968
I ate today than i have week long though.,I ate more today than i probably have all week long though.,I ate more today than i had a week long though.,65.91902199631366,0.972932,I ate more today than i had a week long though.,I ate more today than i had in a week though.,85.1653700895969
You would have have monies left.,You would not have had any money left anyway proba.,You would have had a lot of monies left.,38.30935708454773,0.85805064,You would have had a lot of money left.,You would have had some monies left.,72.53605208217976
It was like a little dribbles.,It was just like a little dribble.,It was like a little dribble.,76.3314544783276,0.9877374,It was like a little dribble.,It was like a little dribble.,100.0
Well it be pack up garbage bags now.,Well it is all packed up in garbage bags now.,Well it is just packing up the garbage bags now.,61.26369691001956,0.8946228,Well it is not packing up the garbage bags now.,Well it is just packing up garbage bags now.,84.01297139613526
I do know she was pregnant three months.,I did not even know she was pregnant three months ago.,I do not know she was pregnant for three months.,63.31867969622304,0.9468297,I do not know she was pregnant for three months.,I do not know she was pregnant for three months.,100.0
Can you teach threeyearold tap dances.,How can you teach a threeyearold to tap dance.,Can you teach a threeyearold to tap dance.,90.23472620744847,0.96205616,Can you teach a threeyearold to tap dance.,Can you teach a threeyearold to tap dance.,100.0
And something in me say no.,And then something in me said no.,And something in me said no.,77.62454774220909,0.9890692,And something in me says no.,And something in me says no.,86.61408865451583
But i want act in english.,But i want to act in english.,But i want to act in english.,100.0,0.9999999,But i want to act in english.,But i want to act in english.,100.0
I say i would be get seven hundred.,I said i would be happy to get seven hundred.,I say i would be getting seven hundred.,55.73071457703297,0.9199444,I said i would be getting seven hundred.,I say i would be getting seven hundred dollars.,80.24390468613717
Sharon stand in fronts classes go.,Sharon standing in front of the class going.,Sharon stands in front of the class go.,74.76328001541643,0.9712843,Sharon stands in front of the class going.,Sharon stands in front of the class.,92.79492379091069
I always make sure i have a fivehundreddollar balance.,So i always make sure i have a minimum fivehundreddollar balance.,I always make sure i have a fivehundreddollar balance.,78.75828534813967,0.9550605,I always make sure i have a fivehundreddollar balance.,I always make sure i have a fivehundreddollar balance.,100.0
It be that i need money it be galleria.,It is not that i needed money it is the galleria.,It is that i need money it is a galleria.,66.75349308486527,0.9013065,It is that i need money it is galleria.,It is that i need money for it is galleria.,82.96026727946659
This smell like garbage it be.,This smells like guayaquil this smells like rotten garbage it is.,This smells like garbage it is.,46.57217655068699,0.91208434,This smells like garbage it is.,This smells like garbage it is.,100.0
But uh spirit liberties do work way.,But uh holy spirit liberty does not work that way.,But uh spirit liberties do work this way.,48.09814596601535,0.80783796,But uh spirit liberties do work way.,But uh spirit liberties do work in the way.,82.32990225675917
One from top look guy who be oba skit.,One from the top looks like a guy who was in the oba skit.,One from the top looks like a guy who is oba skit.,78.03324950447225,0.96258783,One from top look guy who is oba skit.,One from the top look guy who is oba skit.,84.44743799918497
Well then i do understand you like rita.,Well then i do not understand why you like rita.,Well then i do not understand you like rita.,86.09299625623683,0.9842112,Well then i do not understand you like rita.,Well then i do not understand you like rita.,100.0
Boys he be supposed be awesome.,That boy he is supposed to be awesome.,Boys he is supposed to be awesome.,78.63840113124164,0.96699953,Boys he is supposed to be awesome.,Boys he is supposed to be awesome.,100.0
But she get five or six book,But she got about five or six books and a bunch of cd's apparently frank sinatra.,But she got five or six books.,34.33015611113223,0.88508636,But she got five or six books.,But she got five or six books out of that.,79.51504309687418
I do not want do that.,I do not want to do that.,I do not want to do that.,100.0,1.0000002,I do not want to do that.,I do not want to do that.,100.0
Well it sound like there you would be.,Well it sounds like there you would not be though.,Well it sounds like there you would be.,73.86034956099118,0.88058525,Well it sounds like there you would be.,Well it sounds like there you would be there.,90.25897078819763
And it is gear according that.,And it is geared according to that.,And it is gear according to that.,83.79241775132304,0.9273276,And it is gear according to that.,And it is geared according to that.,88.96130810200127
Let me try respond his question sir.,Let me try to respond to your question sir.,Let me try to answer his question sir.,55.15052827221453,0.95611334,Let me try to answer his question sir.,Let me try to answer his question sir.,100.0
Where be these i be going take it.,Where was this i am going to take it off.,Where is this i am going to take it.,73.25392697724455,0.85364586,Where is this i am going to take it.,Where is this i am going to take it.,100.0
And humanistic thinkings will consent this is brendler ob.,And then humanistic thinking will never consent this is brendler now ob.,And humanistic thinking will consent this is brendler ob.,71.06679305224094,0.8492025,And humanistic thinking will consent this is brendler ob.,And humanistic thinking will consent that is brendler ob.,93.44952662102787
I have seen him this week.,I have not seen him this week.,I have seen him this week.,75.72290736770455,0.88231194,I have seen him this week.,I have seen him this week.,100.0
I can give you rice cakes.,I can give you a rice cake.,I can give you rice cakes.,75.39392803905187,0.9664529,I can give you rice cakes.,I can give you rice cakes.,100.0
What do you do typical day paris.,What did you do in a typical day in paris.,What do you do a typical day in paris.,71.15835993524952,0.9800967,What do you do typical day in paris.,What do you do in typical day paris.,79.22849273023994
Definitely um you know check her your insulin.,Definitely um you know check with her on your insulins.,Definitely um you know check her with your insulin.,76.08235669027412,0.9629436,Definitely um you know check on her with your insulin.,Definitely um you know check her with the insulin.,84.64265945596728
We be all sitting too tired.,We are all sitting here all too tired.,We are all sitting too tired.,69.59477576381451,0.968842,We are all sitting here too tired.,We are all sitting here too tired.,84.39418924988577
That he refuses which would be easy feed.,That he refuses which would be easy to feed cheap.,That he refuses which would be easy to feed.,87.05614673332694,0.9683696,That he refuses which would be easy to feed.,That he refuses which would be easy to feed.,100.0
Neil say these was one most games he saw.,Neil said that was one of the most exciting games he ever saw.,Neil said this was the one of the most interesting games he saw.,60.966838779629164,0.95041835,Neil said this was the one of the most exciting games he saw.,Neil said this was the one of the most popular games he saw.,80.81231640289579
Good you do have wind it.,Good you do not have to wind it.,Good you do not have to wind it up.,94.5089249770447,0.9728229,Good you do not have to wind it.,Good you do not have to wind it.,96.31719211949951
I would put all your guys rights.,I would put all your guys like right around there though.,I would put all your guys rights.,49.506766400528996,0.82357466,I would put all your guys rights here.,I would put all your guys rights up there.,82.47636082400905
Gay thing i have be there was signer.,Every gay thing i have ever been to there was a signer.,Gay thing i have been there was a signer.,64.04310194412326,0.9295806,Gay thing i have been there was a signer.,Gay thing i have been there was the signer.,89.00140283091645
What what are we talk now.,What what are we talking about now.,What what are we talking about now.,100.0,0.99999976,What what are we talking about now.,What what are we talking about right now.,86.80506770464882
July second water overtop our spillway here.,On july second water overtopped our spillways out here.,July second water over top of our spillway here.,68.4469085215122,0.94295716,July second water overtop our spillway here.,July second water overtop of our spillway here.,95.03900515136498
Might as take everything they be to give you.,Might as well not take everything they are willing to give you.,Might as well take everything they are to give you.,72.33775227062644,0.8593861,Might as well take everything they are to give you.,Might as well take everything they are to give to you.,93.42353618827728
It will be dug the freezers.,It will be dug out of the freezer.,It will be dug into the freezer.,71.20084727112355,0.9602211,It will be dug in the freezer.,It will be dug in the freezer.,93.27212093420188
Alright lug swing that arm his way.,Alright lug swing that arm out of your way.,Alright lug swing that arm his way.,67.27496517688425,0.9067929,Alright lug swing that arm his way.,Alright lug swing that arm his way.,100.0
Something you could load them up.,Of something else you could load them both up.,Something you could load them up.,59.17648104712,0.8885115,Something you could load them up.,Something you could load them up for.,91.97818423803544
And there be go be even.,And there is going to be even.,And there is going to be even.,100.0,1.0000001,And there is going to be even.,And there is going to be even more.,88.51610227142467
It be it be sport for either or.,It is a it is sport for either the brave or the stupid.,It is it is a sport for either or.,42.94181280834366,0.8609204,It is it is a sport for either or.,It is it is not a sport for either or.,86.61394968589295
We were talk book or movie.,We were talking about the book or about the movie.,We were talking about a book or a movie.,64.40563592972303,0.9661195,We were talking about a book or a movie.,We were talking about the book or the movie.,78.05038183944853
Because it no has freedoms that adam had.,Because it no longer has the freedom that adam had.,Because it no has the freedoms that adam had.,73.58021253658711,0.96369636,Because it no has all the freedoms that adam had.,Because it no has the freedom that adam had.,87.18494430101276
Folks question be did they have to use spillways.,Folks the question is did they ever have to use the spillway.,Folks question is did they have to use the spillways.,74.54834477815842,0.94181776,Folks question is did they have to use the spillways.,Folks question is did they have to use spillways.,96.1002670611868
Alderman speak you feel that processes that has been established.,The alderman spoke to you feel that somehow the process that has been established.,Alderman speaking you feel that the process that has been established.,71.16033246171085,0.9625565,Alderman speak you feel that the process that has been established.,Alderman speak you feel that the process that has been established.,96.16732842767452
It be got lotta colors and.,It is got a lotta color and.,It is got a lotta colors and.,86.3978369205582,0.9829885,It is got a lotta colors and.,It is got a lotta of colors and.,86.82347363743818
I know somebody who makes living a musician.,I know somebody who makes a living as a musician.,I know somebody who makes a living as a musician.,100.0,0.99999964,I know somebody who makes a living as a musician.,I know somebody who makes a living as a musician.,100.0
In afternoons take capsule and one lazik.,Then in the afternoon take the capsule and one lazik.,In the afternoon take a capsule and one lazik.,76.701893149559,0.9864018,In the afternoon take one capsule and one lazik.,In the afternoon take one capsule and one lazik.,90.70838312270014
Or need way look it up.,Or need some way to look it up.,Or need a way to look it up.,70.90576865993604,0.99295735,Or need a way to look it up.,Or need a way to look at it up.,85.40864439258424
You know you will just have.,You know you will just have to.,You know you will just have to.,100.0,0.9999999,You know you will just have to.,You know you will just have.,96.08208477962447
There be such things a haneuchimata.,There is no such thing as a haneuchimata.,There is such a thing as a haneuchimata.,78.18997397958532,0.80915225,There is such a thing a haneuchimata.,There is such a great haneuchimata.,80.69566928306494
I mean there be lot of things you will find something.,I mean there is a lot of things out there you will find something.,I mean there are a lot of things you will find there.,58.19930863646554,0.93159115,I mean there are a lot of things you will find in there.,I mean there are a lot of things you will find.,92.63734273744744
Figure one separately because we may have axe it.,Figure this one separately because we may have to axe it.,Figure one separately because we may have axed it.,73.17623011555067,0.9364743,Figure one separately because we may have to axe it.,Figure one out separately because we may have axed it.,83.23622577025755
He was here two weeks and i miss him.,He was actually here two weeks ago and i missed him.,He was here for two weeks and i miss him.,46.676500451009524,0.9521903,He was here for two weeks and i miss him.,He was here for about two weeks and i miss him.,86.30193821078133
It should be gear according weights.,It should be geared according to weight.,It should be geared according to the weight.,90.0310920553627,0.9948108,It should be geared according to the weight.,It should be geared according to the weight.,100.0
If there be coffee house campus i am not go.,If there is not a coffee house on the campus i am not going.,If there is a coffee house campus i am not going.,75.03484700435233,0.95834804,If there is a coffee house campus i am not going to.,If there is a coffee house campus i am not going to.,95.73017235995593
Fred yours be go be good.,See fred yours is not going to be as good then.,Fred yours is going to be good.,49.62646249535878,0.8400565,Fred yours is going to be good.,Fred yours was going to be good.,87.11522101677373
Or do things that you have define rules this house.,Or doing things that you have cleareally defined as rules in this house.,Or do things that you have defined rules for this house.,55.93621049866595,0.96026826,Or do things that you have defined rules for this house.,Or do things that you have defined rules in this house.,92.59036378087886
No she yoused be our floors.,No she yoused to be on our floor.,No she yoused be on our floors.,77.23368336815099,0.9509923,No she yoused not on our floors.,No she yoused be on our floor.,81.40811586356045
